Rank,Team,G,W-L,Plays,YDS,Yds/Play,Off TDs,YPG
1,Tennessee (SEC),12,10-2,879,6457,7.35,74,538.1
2,Washington (Pac-12),12,10-2,892,6260,7.02,62,521.7
3,UCLA (Pac-12),12,9-3,873,6094,6.98,61,507.8
4,Oregon (Pac-12),12,9-3,878,6093,6.94,60,507.8
5,Southern California (Pac-12),13,11-2,904,6498,7.19,67,499.8
6,Ohio St. (Big Ten),12,11-1,810,5912,7.3,67,492.7
7,Georgia (SEC),13,13-0,917,6395,6.97,61,491.9
8,Ole Miss (SEC),12,8-4,917,5895,6.43,51,491.2
9,UTSA (C-USA),13,11-2,972,6319,6.5,61,486.1
10,Western Ky. (C-USA),13,8-5,955,6285,6.58,53,483.5
11,UCF (AAC),13,9-4,995,6248,6.28,55,480.6
12,SMU (AAC),12,7-5,918,5758,6.27,59,479.8
13,Florida St. (ACC),12,9-3,832,5708,6.86,57,475.7
14,Alabama (SEC),12,10-2,841,5706,6.78,57,475.5
15,North Carolina (ACC),13,9-4,965,6157,6.38,59,473.6
16,TCU (Big 12),13,12-1,899,6149,6.84,64,473.0
17,Utah (Pac-12),13,10-3,923,6145,6.66,66,472.7
18,Oklahoma (Big 12),12,6-6,904,5666,6.27,51,472.2
19,Ga. Southern (Sun Belt),12,6-6,914,5613,6.14,49,467.8
20,North Texas (C-USA),13,7-6,892,6030,6.76,54,463.8
21,Houston (AAC),12,7-5,837,5563,6.65,54,463.6
22,Arizona (Pac-12),12,5-7,811,5543,6.83,45,461.9
23,Texas Tech (Big 12),12,7-5,1006,5514,5.48,50,459.5
24,East Carolina (AAC),12,7-5,835,5508,6.6,46,459.0
25,App State (Sun Belt),12,6-6,833,5464,6.56,55,455.3
26,Arkansas (SEC),12,6-6,881,5445,6.18,46,453.8
27,Michigan (Big Ten),13,13-0,895,5895,6.59,60,453.5
28,James Madison (Sun Belt),11,8-3,807,4977,6.17,51,452.5
29,Wake Forest (ACC),12,7-5,907,5365,5.92,56,447.1
30,LSU (SEC),13,9-4,928,5755,6.2,54,442.7
31,UAB (C-USA),12,6-6,783,5307,6.78,44,442.2
32,Florida (SEC),12,6-6,783,5294,6.76,47,441.2
33,BYU (FBS Independent),12,7-5,776,5286,6.81,49,440.5
34,Tulane (AAC),13,11-2,884,5640,6.38,58,433.8
35,Penn St. (Big Ten),12,10-2,858,5189,6.05,52,432.4
36,Texas (Big 12),12,8-4,810,5164,6.38,49,430.3
37,Baylor (Big 12),12,6-6,878,5150,5.87,51,429.2
38,Kansas (Big 12),12,6-6,727,5099,7.01,54,424.9
39,Ohio (MAC),13,9-4,885,5512,6.23,48,424.0
40,South Alabama (Sun Belt),12,10-2,873,5087,5.83,44,423.9
41,Duke (ACC),12,8-4,815,5054,6.2,48,421.2
42,Memphis (AAC),12,6-6,871,5048,5.8,48,420.7
43,Kansas St. (Big 12),13,10-3,884,5462,6.18,51,420.2
44,Kent St. (MAC),12,5-7,866,5007,5.78,40,417.2
45,Georgia St. (Sun Belt),12,4-8,875,5005,5.72,44,417.1
46,Oklahoma St. (Big 12),12,7-5,943,4985,5.29,42,415.4
47,Tulsa (AAC),12,5-7,843,4942,5.86,45,411.8
48,Fla. Atlantic (C-USA),12,5-7,870,4938,5.68,44,411.5
49,Coastal Carolina (Sun Belt),12,9-3,811,4934,6.08,45,411.2
50,Purdue (Big Ten),13,8-5,971,5334,5.49,42,410.3
51,Maryland (Big Ten),12,7-5,836,4878,5.83,43,406.5
52,Marshall (Sun Belt),12,8-4,898,4870,5.42,33,405.8
53,Toledo (MAC),13,8-5,936,5275,5.64,52,405.8
54,Louisville (ACC),12,7-5,814,4861,5.97,35,405.1
55,Clemson (ACC),13,11-2,925,5260,5.69,54,404.6
56,Minnesota (Big Ten),12,8-4,813,4849,5.96,42,404.1
57,Pittsburgh (ACC),12,8-4,823,4830,5.87,40,402.5
58,Liberty (FBS Independent),12,8-4,848,4809,5.67,42,400.8
59,Oregon St. (Pac-12),12,9-3,781,4795,6.14,48,399.6
60,West Virginia (Big 12),12,5-7,870,4788,5.5,44,399.0
61,Air Force (Mountain West),12,9-3,815,4784,5.87,41,398.7
62,Fresno St. (Mountain West),13,9-4,871,5138,5.9,46,395.2
63,Mississippi St. (SEC),12,8-4,862,4718,5.47,47,393.2
64,Cincinnati (AAC),12,9-3,788,4713,5.98,40,392.8
65,Louisiana Tech (C-USA),12,3-9,833,4704,5.65,39,392.0
66,South Fla. (AAC),12,1-11,767,4690,6.11,43,390.8
67,Middle Tenn. (C-USA),12,7-5,892,4683,5.25,39,390.2
