Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Baylor (Big 12),13,11-2,1074.0,8044.0,7.49,82.0,618.8,986.0,4684.0,4.75,38.0,41.0,360.3,10.0,19.0,29.0,10.0,6.0,16.0,13.0,1.0,354:41,27:17,79.0,40.0,338.0,99.0,7.6,22.0,113.0,1.69,91.0,88.0,1.0,0.0,15.0,0.0,681.0,52.4,41.0,37.0,0.0,0.0,7.0,1.0,306.0,23.5,626.0,3376.0,5.39,47.0,259.7,546.0,1890.0,3.46,15.0,145.4,67.0,37.0,6.0,12.0,55.0,0.821,42.0,12.0,14.0,6.0,32.0,0.762,12.0,202.0,0.0,16.83,12.0,202.0,0.0,16.83,448.0,277.0,6.0,4668.0,10.42,16.85,35.0,359.1,212.0,440.0,2794.0,23.0,6.35,13.18,214.9,70.0,1401.0,0.0,20.01,70.0,1401.0,0.0,20.01,98.0,109.0,35.0,242.0,98.0,109.0,35.0,242.0,120.0,1070.0,82.31,202.0,95.0,0.47,74.0,218.0,0.339,13.0,25.0,0.52,7.0,28.0,0.25
Oregon (Pac-12),13,11-2,973.0,7345.0,7.55,74.0,565.0,1042.0,4811.0,4.62,31.0,32.0,370.1,11.0,17.0,28.0,12.0,6.0,18.0,10.0,0.77,331:29,25:29,61.0,18.0,270.0,70.0,5.4,18.0,111.0,1.38,81.0,71.0,2.0,0.0,10.0,0.0,591.0,45.5,32.0,29.0,0.0,0.0,15.0,0.0,266.0,20.5,568.0,3556.0,6.26,42.0,273.5,563.0,2152.0,3.82,17.0,165.5,74.0,28.0,21.0,9.0,58.0,0.784,46.0,13.0,12.0,12.0,37.0,0.804,8.0,26.0,0.0,3.25,8.0,26.0,0.0,3.25,405.0,256.0,6.0,3789.0,9.36,14.8,32.0,291.5,271.0,479.0,2659.0,14.0,5.55,9.81,204.5,72.0,1559.0,0.0,21.65,72.0,1559.0,0.0,21.65,123.0,121.0,27.0,271.0,123.0,121.0,27.0,271.0,106.0,912.0,70.15,160.0,69.0,0.431,93.0,231.0,0.403,15.0,31.0,0.484,13.0,28.0,0.464
Fresno St. (Mountain West),13,11-2,1088.0,7122.0,6.55,71.0,547.8,992.0,5600.0,5.65,48.0,51.0,430.8,9.0,14.0,23.0,11.0,10.0,21.0,2.0,0.15,368:47,28:22,94.0,28.0,439.0,108.0,8.3,11.0,71.0,0.85,76.0,71.0,1.0,0.0,11.0,1.0,564.0,43.4,51.0,43.0,3.0,0.0,13.0,0.0,394.0,30.3,413.0,1989.0,4.82,21.0,153.0,529.0,1926.0,3.64,22.0,148.2,70.0,19.0,32.0,8.0,59.0,0.843,45.0,14.0,16.0,9.0,39.0,0.867,9.0,27.0,0.0,3.0,9.0,27.0,0.0,3.0,675.0,460.0,10.0,5133.0,7.6,11.16,50.0,394.8,280.0,463.0,3674.0,26.0,7.94,13.12,282.6,60.0,1403.0,2.0,23.38,60.0,1403.0,2.0,23.38,94.0,156.0,16.0,266.0,94.0,156.0,16.0,266.0,68.0,682.0,52.46,196.0,83.0,0.423,79.0,215.0,0.367,21.0,32.0,0.656,19.0,38.0,0.5
Texas A&M (SEC),13,9-4,954.0,6999.0,7.34,73.0,538.4,973.0,6185.0,6.36,54.0,55.0,475.8,5.0,17.0,22.0,8.0,13.0,21.0,1.0,0.08,347:41,26:44,48.0,38.0,196.0,67.0,5.2,21.0,152.0,1.62,78.0,73.0,0.0,0.0,10.0,2.0,575.0,44.2,55.0,51.0,1.0,0.0,12.0,0.0,419.0,32.2,465.0,2406.0,5.17,33.0,185.1,537.0,2890.0,5.38,23.0,222.3,73.0,30.0,23.0,6.0,59.0,0.808,48.0,19.0,16.0,7.0,42.0,0.875,16.0,171.0,0.0,10.69,16.0,171.0,0.0,10.69,489.0,339.0,13.0,4593.0,9.39,13.55,40.0,353.3,250.0,436.0,3295.0,31.0,7.56,13.18,253.5,48.0,877.0,0.0,18.27,48.0,877.0,0.0,18.27,147.0,140.0,17.0,304.0,147.0,140.0,17.0,304.0,81.0,690.0,53.08,161.0,81.0,0.503,75.0,183.0,0.41,11.0,18.0,0.611,14.0,25.0,0.56
NIU (MAC),14,12-2,1073.0,7277.0,6.78,68.0,519.8,1068.0,5808.0,5.44,41.0,43.0,414.9,11.0,19.0,30.0,9.0,8.0,17.0,13.0,0.93,399:40,28:32,59.0,26.0,301.0,72.0,5.1,11.0,65.0,0.79,71.0,69.0,0.0,0.0,20.0,0.0,555.0,39.6,43.0,37.0,1.0,0.0,18.0,0.0,351.0,25.1,655.0,4161.0,6.35,39.0,297.2,551.0,2124.0,3.85,14.0,151.7,74.0,31.0,18.0,14.0,63.0,0.851,43.0,13.0,14.0,9.0,36.0,0.837,14.0,90.0,0.0,6.43,14.0,90.0,0.0,6.43,418.0,261.0,8.0,3116.0,7.45,11.94,29.0,222.6,280.0,517.0,3684.0,27.0,7.13,13.16,263.1,61.0,1234.0,1.0,20.23,61.0,1234.0,1.0,20.23,120.0,173.0,15.0,308.0,120.0,173.0,15.0,308.0,75.0,637.0,45.5,197.0,89.0,0.452,87.0,225.0,0.387,14.0,21.0,0.667,14.0,30.0,0.467
Florida St. (ACC),14,14-0,947.0,7267.0,7.67,84.0,519.1,963.0,3940.0,4.09,21.0,21.0,281.4,9.0,26.0,35.0,5.0,13.0,18.0,17.0,1.21,411:36,29:24,85.0,26.0,408.0,98.0,7.0,33.0,233.0,2.36,94.0,94.0,0.0,0.0,21.0,1.0,723.0,51.6,21.0,20.0,0.0,0.0,8.0,0.0,170.0,12.1,505.0,2844.0,5.63,42.0,203.1,536.0,1747.0,3.26,7.0,124.8,73.0,35.0,23.0,13.0,71.0,0.973,30.0,5.0,11.0,7.0,23.0,0.767,14.0,237.0,0.0,16.93,14.0,237.0,0.0,16.93,442.0,288.0,13.0,4423.0,10.01,15.36,42.0,315.9,222.0,427.0,2193.0,14.0,5.14,9.88,156.6,70.0,1301.0,0.0,18.59,70.0,1301.0,0.0,18.59,101.0,110.0,21.0,232.0,101.0,110.0,21.0,232.0,79.0,694.0,49.57,157.0,82.0,0.522,68.0,211.0,0.322,3.0,4.0,0.75,11.0,22.0,0.5
Ohio St. (Big Ten),14,12-2,1003.0,7167.0,7.15,83.0,511.9,1000.0,5284.0,5.28,40.0,42.0,377.4,8.0,16.0,24.0,10.0,9.0,19.0,5.0,0.36,439:44,31:24,74.0,34.0,386.0,91.0,6.5,22.0,135.0,1.57,87.0,80.0,2.0,0.0,9.0,2.0,637.0,45.5,42.0,36.0,1.0,0.0,9.0,0.0,317.0,22.6,635.0,4321.0,6.8,45.0,308.6,466.0,1532.0,3.29,9.0,109.4,63.0,33.0,20.0,7.0,60.0,0.952,43.0,7.0,22.0,5.0,34.0,0.791,7.0,115.0,1.0,16.43,7.0,115.0,1.0,16.43,368.0,238.0,9.0,2846.0,7.73,11.96,38.0,203.3,330.0,534.0,3752.0,31.0,7.03,11.37,268.0,74.0,1361.0,0.0,18.39,74.0,1361.0,0.0,18.39,102.0,166.0,15.0,283.0,102.0,166.0,15.0,283.0,73.0,638.0,45.57,169.0,79.0,0.467,73.0,205.0,0.356,14.0,22.0,0.636,13.0,24.0,0.542
Texas Tech (Big 12),13,8-5,1136.0,6643.0,5.85,54.0,511.0,1015.0,5441.0,5.36,48.0,51.0,418.5,11.0,8.0,19.0,15.0,18.0,33.0,-14.0,-1.08,369:30,28:25,70.0,26.0,276.0,83.0,6.4,33.0,222.0,2.54,57.0,52.0,0.0,0.0,23.0,1.0,465.0,35.8,51.0,49.0,0.0,0.0,14.0,0.0,397.0,30.5,422.0,1536.0,3.64,19.0,118.2,576.0,2619.0,4.55,32.0,201.5,70.0,17.0,23.0,22.0,62.0,0.886,49.0,24.0,7.0,10.0,41.0,0.837,34.0,368.0,1.0,10.82,34.0,368.0,1.0,10.82,714.0,453.0,18.0,5107.0,7.15,11.27,35.0,392.8,248.0,439.0,2822.0,16.0,6.43,11.38,217.1,47.0,1025.0,1.0,21.81,47.0,1025.0,1.0,21.81,136.0,125.0,20.0,281.0,136.0,125.0,20.0,281.0,104.0,978.0,75.23,218.0,98.0,0.45,71.0,207.0,0.343,8.0,18.0,0.444,13.0,29.0,0.448
Indiana (Big Ten),12,5-7,928.0,6102.0,6.58,61.0,508.5,940.0,6335.0,6.74,59.0,63.0,527.9,10.0,7.0,17.0,6.0,14.0,20.0,-3.0,-0.25,309:45,25:48,47.0,34.0,232.0,64.0,5.3,18.0,121.0,1.5,62.0,56.0,2.0,0.0,9.0,1.0,461.0,38.4,63.0,61.0,0.0,0.0,9.0,0.0,466.0,38.8,458.0,2422.0,5.29,25.0,201.8,525.0,2853.0,5.43,35.0,237.8,56.0,17.0,21.0,8.0,46.0,0.821,52.0,25.0,11.0,8.0,44.0,0.846,15.0,140.0,1.0,9.33,15.0,140.0,1.0,9.33,470.0,279.0,14.0,3680.0,7.83,13.19,36.0,306.7,253.0,415.0,3482.0,24.0,8.39,13.76,290.2,36.0,636.0,0.0,17.67,36.0,636.0,0.0,17.67,149.0,149.0,12.0,310.0,149.0,149.0,12.0,310.0,62.0,515.0,42.92,184.0,86.0,0.467,80.0,172.0,0.465,12.0,24.0,0.5,13.0,29.0,0.448
Clemson (ACC),13,11-2,1037.0,6600.0,6.36,65.0,507.7,921.0,4637.0,5.03,36.0,37.0,356.7,12.0,18.0,30.0,12.0,12.0,24.0,6.0,0.46,354:51,27:17,106.0,34.0,460.0,123.0,9.5,35.0,220.0,2.69,69.0,66.0,0.0,0.0,14.0,0.0,522.0,40.2,37.0,34.0,0.0,0.0,10.0,1.0,288.0,22.2,544.0,2270.0,4.17,26.0,174.6,543.0,2024.0,3.73,22.0,155.7,60.0,22.0,19.0,10.0,51.0,0.85,33.0,15.0,6.0,6.0,27.0,0.818,16.0,87.0,0.0,5.44,16.0,87.0,0.0,5.44,493.0,341.0,12.0,4330.0,8.78,12.7,39.0,333.1,202.0,378.0,2613.0,14.0,6.91,12.94,201.0,48.0,933.0,0.0,19.44,48.0,933.0,0.0,19.44,99.0,111.0,24.0,234.0,99.0,111.0,24.0,234.0,73.0,650.0,50.0,197.0,88.0,0.447,65.0,211.0,0.308,15.0,26.0,0.577,14.0,23.0,0.609
