Miami(Ohio),UAB
Troy,UTSA
Cincinnati,Louisville
JacksonState,NorthCarolinaCentral
BYU,SMU
FresnoState,WashingtonState
SouthernMississippi,Rice
Florida,OregonState
BoiseState,NorthTexas
UConn,Marshall
SanJoseState,EasternMichigan
Toledo,Liberty
SouthAlabama,WesternKentucky
AirForce,Baylor
Houston,Louisiana
Missouri,WakeForest
MiddleTennesseeState,SanDiegoState
GeorgiaSouthern,Buffalo
NewMexicoState,BowlingGreen
UtahState,Memphis
EastCarolina,CoastalCarolina
Wisconsin,OklahomaState
Duke,UCF
Arkansas,Kansas
NorthCarolina,Oregon
TexasTech,OleMiss
Syracuse,Minnesota
FloridaState,Oklahoma
Texas,Washington
Maryland,NorthCarolinaState
UCLA,Pittsburgh
NotreDame,SouthCarolina
Ohio,Wyoming
Clemson,Tennessee
Kentucky,Iowa
Alabama,KansasState
2Michigan,3TCU
1Georgia,4OhioState
Illinois,MississippiState
LSU,Purdue
USC,Tulane
Utah,PennState
