id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
1,2021,Wed,Oklahoma,14.0,47,Oregon,15.0,32,59121.0,"Oklahoma RB Kennedy Brooks, Oklahoma S Pat Fields",Valero,Alamo Bowl
2,2020,Tue,Texas,20.0,55,Colorado,,23,10822.0,"Texas RB Bijan Robinson, Texas LB DeMarvion Overshown",Valero,Alamo Bowl
3,2019,Tue,Texas,,38,Utah,12.0,10,60147.0,"Texas QB Sam Ehlinger, Texas LB Joseph Ossai",Valero,Alamo Bowl
4,2018,Fri,Washington State,12.0,28,Iowa State,25.0,26,60675.0,"Washington State QB Gardner Minshew, Washington State LB Peyton Pelluer",Valero,Alamo Bowl
5,2017,Thu,Texas Christian,13.0,39,Stanford,15.0,37,57653.0,"TCU QB Kenny Hill, TCU LB Travin Howard",Valero,Alamo Bowl
6,2016,Thu,Oklahoma State,13.0,38,Colorado,11.0,8,59815.0,"OSU WR James Washington, OSU DT Vincent Taylor",Valero,Alamo Bowl
7,2015,Sat,Texas Christian,11.0,47,Oregon,15.0,41,64569.0,"TCU QB Brian Kohlhausen, TCU S Travin Howard",Valero,Alamo Bowl
8,2014,Fri,UCLA,14.0,40,Kansas State,11.0,35,60517.0,"RB Paul Perkins (UCLA), LB Eric Kendricks (UCLA)",Valero,Alamo Bowl
9,2013,Mon,Oregon,10.0,30,Texas,,7,65918.0,"QB Marcus Mariota (Oregon), SS Avery Patterson (Oregon)",Valero Energy Corporation,Alamo Bowl
30,2021,Wed,Army,,24,Missouri,,22,34888.0,"Missouri QB Brady Cook, Army LB Arik Smith",Lockheed Martin,Armed Forces Bowl
31,2020,Thu,Mississippi State,,28,Tulsa,22.0,26,9000.0,"Mississippi State WR Lideatrick Griffin, Tulsa DB Christian Williams",Lockheed Martin,Armed Forces Bowl
33,2018,Sat,Army,22.0,70,Houston,,14,44738.0,"Army QB Kelvin Hopkins, Houston TE Romello Brooker",Lockhee Martin,Armed Forces Bowl
34,2017,Sat,Army,,42,San Diego State,,35,35986.0,"Army QB Ahmad Bradshaw, San Diego State RB Rashaad Perry",Lockheed Martin,Armed Forces Bowl
35,2016,Fri,Louisiana Tech,,48,Navy,,45,40542.0,"Lousiana Tech WR Trent Taylor, Navy QB Zach Abey",Lockheed Martin,Armed Forces Bowl
37,2014,Fri,Houston,,35,Pittsburgh,,34,37888.0,"RB Kenneth Farrow (Houston), QB Chad Voytik (Pitt)",Lockheed Martin,Armed Forces Bowl
38,2013,Mon,Navy,,24,Middle Tennessee State,,6,39246.0,"QB Keenan Reynolds (Navy), LB T.T. Barber (Middle Tennessee)",Bell Helicopter,Armed Forces Bowl
49,2021,Fri,Middle Tennessee State,,31,Toledo,,24,13596.0,"MTSU QB Nicholas Vattiato, MTSU LB DQ Thomas",,Bahamas Bowl
50,2019,Fri,Buffalo,,31,Charlotte,,9,13547.0,"Buffalo RB Jaret Patterson, Buffalo DE Malcolm Koonce",Makers Wanted,Bahamas Bowl
51,2018,Fri,Florida International,,35,Toledo,,32,13510.0,"FIU QB Christian Alexander, FIU LB Edwin Freeman",Makers Wanted,Bahamas Bowl
