0_team,1_team,year
ga southern,ohio,2023
howard,florida am,2023
jacksonville state,louisiana,2023
miami oh,app state,2023
new mexico,fresno state,2023
ucla,boise state,2023
california,texas tech,2023
western ky,old dominion,2023
utsa,marshall,2023
south fla,syracuse,2023
georgia tech,ucf,2023
arkansas state,NIU,2023
troy,duke,2023
georgia state,utah state,2023
james madison,air force,2023
south alabama,eastern mich,2023
utah,northwestern,2023
coastal carolina,san jose state,2023
bowling green,minnesota,2023
texas state,rice,2023
kansas,unlv,2023
virginia tech,tulane,2023
north carolina,west virginia,2023
louisville,southern california,2023
texas am,oklahoma state,2023
smu,boston college,2023
rutgers,miami fl,2023
nc state,kansas state,2023
arizona,oklahoma,2023
clemson,kentucky,2023
oregon state,notre dame,2023
memphis,iowa state,2023
missouri,ohio state,2023
ole miss,penn state,2023
auburn,maryland,2023
georgia,florida state,2023
toledo,wyoming,2023
wisconsin,lsu,2023
iowa,tennessee,2023
liberty,oregon,2023
alabama,michigan,2023
texas,washington,2023
