"Team","Off.Rank","Games","Win-Loss","Off.Plays","Off.Yards","Off.Yards/Play","Off.TDs","Off.Yards.per.Game","Def.Rank","Def.Plays","Yards.Allowed","Yards/Play.Allowed","Off.TDs.Allowed","Total.TDs.Allowed","Yards.Per.Game.Allowed","Turnover.Rank","Fumbles.Recovered","Opponents.Intercepted","Turnovers.Gain","Fumbles.Lost","Interceptions.Thrown_x","Turnovers.Lost","Turnover.Margin","Avg.Turnover.Margin.per.Game","Time.of.Possession.Rank","Time.of.Possession","Average.Time.of.Possession.per.Game","Tackle.for.Loss.Rank","Solo.Tackle.For.Loss","Assist.Tackle.For.Loss","Tackle.for.Loss.Yards","Total.Tackle.For.Loss","Tackle.For.Loss.Per.Game","Sack.Rank","Sacks","Sack.Yards","Average.Sacks.per.Game","Scoring.Off.Rank","Touchdowns","PAT","2.Point.Conversions","Defensive.Points","Feild.Goals","Safety","Total.Points","Points.Per.Game","Scoring.Def.Rank","Touchdowns.Allowed","Opponent.Extra.Points","2.Point.Conversions.Allowed","Opp.Deflected.Extra.Points","Opp.Feild.Goals.Made","Opp.Safety","Points.Allowed","Avg.Points.per.Game.Allowed","Rushing.Off.Rank","Rush.Attempts","Rush.Yds","Yards/Rush","Rushing.TD","Rushing.Yards.per.Game","Rushing.Def.Rank","Opp.Rush.Attempts","Opp.Rush.Yards.Alloweed","Yds/Rush.Allowed","Opp.Rush.Touchdowns.Allowed","Rush.Yards.Per.Game.Allowed","Redzone.Off.Rank","Redzone.Attempts","Redzone.Rush.TD","Redzone.Pass.TD","Redzone.Field.Goals.Made","Redzone.Scores","Redzone.Points","Redzone.Def.Rank","Opp.Redzone.Attempts","Opp.Redzone.Rush.TD.Allowed","Opp.Redzone.Pass.Touchdowns.Allowed","Opp.Redzone.Field.Goals.Made","Opp.Redzone.Scores","Redzone.Points.Allowed","Punt.Return.Rank","Punt.Returns","Net.Punt.Return.Yards","Punt.Return.Touchdowns","Avg.Yards.Per.Punt.Return","Punt.Return.Def.Rank","Opp.Punt.Returns","Opp.Net.Punt.Return.Yards","Opp.Punt.Return.Touchdowns.Allowed","Avg.Yards.Allowed.per.Punt.Return","Passing.Off.Rank","Pass.Attempts","Pass.Completions","Interceptions.Thrown_y","Pass.Yards","Pass.Yards/Attempt","Yards/Completion","Pass.Touchdowns","Pass.Yards.Per.Game","Pass.Def.Rank","Opp.Completions.Allowed","Opp.Pass.Attempts","Opp.Pass.Yds.Allowed","Opp.Pass.TDs.Allowed","Yards/Attempt.Allowed","Yards/Completion.Allowed","Pass.Yards.Per.Game.Allowed","Kickoff.Return.Rank","Kickoffs.Returned","Kickoff.Return.Yards","Kickoff.Return.Touchdowns","Avg.Yard.per.Kickoff.Return","Kickoff.Return.Def.Rank","Opp.Kickoff.Returns","Kickoff.Touchbacks","Opponent.Kickoff.Return.Yards","Opp.Kickoff.Return.Touchdowns.Allowed","Avg.Yards.per.Kickoff.Return.Allowed","First.Down.Rank","First.Down.Runs","First.Down.Passes","First.Down.Penalties","First.Downs","First.Down.Def.Rank","Opp.First.Down.Runs","Opp.First.Down.Passes","Opp.First.Down.Penalties","Opp.First.Downs","Penalty.Rank","Penalties","Penalty.Yards","Penalty.Yards.Per.Game","3rd.Down.Rank","3rd.Attempts","3rd.Conversions","3rd.Percent","3rd.Down.Def.Rank","Opp.3rd.Conversion","Opp.3rd.Attempt","Opponent.3rd.Percent","4th.Down.Rank","4th.Attempts","4th.Conversions","4th.Percent","4rd.Down.Def.Rank","Opp.4th.Conversion","Opp.4th.Attempt","Opponent.4th.Percent"
"Tennessee (SEC)",1,12,10-2,879,6457,7.35,74,538.1,86,890,4785,5.38,35,36,398.8,11,11,9,20,8,3,11,9,0.75,131,301:53,25:09,12,70,34,348,87,7.2,58,23,119,1.92,1,75,71,1,0,15,0,568,47.3,45,36,31,1,0,11,0,282,23.5,20,485,2469,5.09,39,205.8,19,414,1341,3.24,14,111.8,6,63,34,16,9,59,0.937,20,48,12,14,11,37,0.771,7,2,5,0,2.5,7,2,5,0,2.5,3,394,271,3,3988,10.12,14.72,35,332.3,127,303,476,3444,21,7.24,11.37,287.0,67,15,297,0,19.8,17,37,31,629,0,17.0,107,86,158,29,273,107,86,158,29,273,120,96,800,66.67,34,153,66,0.431,28,58,171,0.339,10,22,33,0.667,48,14,30,0.467
"Washington (Pac-12)",2,12,10-2,892,6260,7.02,62,521.7,57,801,4425,5.52,38,40,368.8,55,5,7,12,2,8,10,2,0.17,39,371:43,30:59,71,54,26,305,67,5.6,3,7,54,0.58,4,62,56,3,0,17,2,489,40.8,62,40,33,4,0,11,1,316,26.3,71,372,1740,4.68,32,145.0,33,430,1524,3.54,13,127.0,48,65,28,15,13,56,0.862,15,38,12,11,6,29,0.763,64,8,55,0,6.88,64,8,55,0,6.88,1,520,341,8,4520,8.69,13.26,30,376.7,90,232,371,2901,25,7.82,12.5,241.8,68,24,475,0,19.79,49,50,25,939,0,18.78,87,104,129,24,257,87,104,129,24,257,105,82,741,61.75,1,163,93,0.571,119,75,167,0.449,41,14,25,0.56,49,16,34,0.471
"UCLA (Pac-12)",3,12,9-3,873,6094,6.98,61,507.8,88,841,4798,5.71,40,42,399.8,62,7,10,17,8,8,16,1,0.08,110,336:10,28:01,115,43,22,256,54,4.5,28,16,109,1.33,10,61,58,2,0,15,1,475,39.6,84,42,36,5,0,14,0,340,28.3,4,486,2956,6.08,34,246.3,30,398,1490,3.74,16,124.2,51,64,27,17,11,55,0.859,90,46,16,15,9,40,0.87,107,9,100,1,11.11,107,9,100,1,11.11,39,387,270,8,3138,8.11,11.62,27,261.5,120,297,443,3308,24,7.47,11.14,275.7,47,35,735,0,21.0,62,25,57,495,0,19.8,104,101,147,21,269,104,101,147,21,269,63,80,637,53.08,6,153,78,0.51,83,65,162,0.401,29,15,25,0.6,127,18,26,0.692
"Oregon (Pac-12)",4,12,9-3,878,6093,6.94,60,507.8,75,786,4633,5.89,38,40,386.1,8,5,16,21,3,8,11,10,0.83,28,379:49,31:39,126,38,22,208,49,4.1,1,4,18,0.33,9,62,60,1,0,14,0,476,39.7,76,40,38,0,0,17,0,329,27.4,14,476,2595,5.45,32,216.2,32,354,1506,4.25,17,125.5,60,66,27,19,10,56,0.848,20,48,16,12,9,37,0.771,116,4,52,0,13.0,116,4,52,0,13.0,15,402,285,8,3498,8.7,12.27,28,291.5,107,279,432,3127,21,7.24,11.21,260.6,109,23,402,0,17.48,117,22,56,524,0,23.82,94,87,150,26,263,94,87,150,26,263,91,83,705,58.75,23,150,69,0.46,126,76,158,0.481,26,19,31,0.613,18,9,23,0.391
"Southern California (Pac-12)",5,13,11-2,904,6498,7.19,67,499.8,102,857,5396,6.3,48,48,415.1,1,9,19,28,2,4,6,22,1.69,32,407:26,31:20,66,61,28,351,75,5.8,80,30,247,2.31,3,70,68,1,0,14,1,534,41.1,81,48,40,4,0,9,0,363,27.9,51,441,2264,5.13,29,174.2,62,415,1932,4.66,25,148.6,62,72,26,28,7,61,0.847,39,51,22,12,7,41,0.804,109,7,80,0,11.43,109,7,80,0,11.43,5,463,308,4,4234,9.14,13.75,38,325.7,112,285,442,3464,23,7.84,12.15,266.5,89,31,588,0,18.97,76,44,42,904,0,20.55,124,111,156,27,294,124,111,156,27,294,97,83,775,59.62,4,153,79,0.516,112,70,162,0.432,16,13,20,0.65,112,17,27,0.63
"Ohio St. (Big Ten)",6,12,11-1,810,5912,7.3,67,492.7,12,747,3647,4.88,26,28,303.9,23,7,10,17,4,6,10,7,0.58,49,367:06,30:36,21,70,24,312,82,6.8,5,8,46,0.67,2,70,69,0,0,15,0,534,44.5,13,28,26,1,1,11,0,231,19.2,28,434,2382,5.49,29,198.5,23,421,1439,3.42,10,119.9,4,58,22,22,11,55,0.948,121,23,6,8,7,21,0.913,36,8,42,0,5.25,36,8,42,0,5.25,14,376,251,6,3530,9.39,14.06,38,294.2,14,189,326,2208,16,6.77,11.68,184.0,85,16,308,0,19.25,70,35,40,706,0,20.17,4,66,87,20,173,4,66,87,20,173,51,69,600,50.0,21,154,71,0.461,13,54,177,0.305,7,12,17,0.706,7,8,24,0.333
"Georgia (SEC)",7,13,13-0,917,6395,6.97,61,491.9,9,795,3797,4.78,16,17,292.1,74,6,10,16,11,6,17,-1,-0.08,8,432:44,33:17,62,62,28,288,76,5.8,2,7,55,0.54,11,62,61,1,0,24,1,509,39.2,2,17,13,0,0,17,0,166,12.8,18,487,2691,5.53,37,207.0,1,341,1001,2.94,5,77.0,1,71,30,18,21,69,0.972,1,28,5,4,8,17,0.607,129,6,110,1,18.33,129,6,110,1,18.33,19,430,293,6,3704,8.61,12.64,24,284.9,52,257,454,2796,11,6.16,10.88,215.1,90,19,360,0,18.95,55,16,65,310,0,19.38,15,58,120,21,199,15,58,120,21,199,34,58,598,46.0,5,159,82,0.516,3,47,176,0.267,2,11,13,0.846,17,12,31,0.387
"Ole Miss (SEC)",8,12,8-4,917,5895,6.43,51,491.2,69,859,4558,5.31,36,36,379.8,62,10,7,17,7,9,16,1,0.08,126,316:41,26:23,50,59,30,342,74,6.2,21,14,95,1.17,27,52,49,1,0,15,1,410,34.2,50,36,33,1,0,13,0,290,24.2,3,571,3139,5.5,31,261.6,82,468,1942,4.15,15,161.8,100,59,26,12,9,47,0.797,119,44,13,17,10,40,0.909,68,10,71,0,7.1,68,10,71,0,7.1,66,346,214,9,2756,7.97,12.88,20,229.7,57,250,391,2616,21,6.69,10.46,218.0,92,22,413,0,18.77,89,21,40,450,0,21.43,74,114,117,19,250,74,114,117,19,250,103,81,740,61.67,11,174,83,0.477,68,69,178,0.388,55,15,28,0.536,21,12,30,0.4
"UTSA (C-USA)",9,13,11-2,972,6319,6.5,61,486.1,90,912,5261,5.77,40,42,404.7,34,7,13,20,8,7,15,5,0.38,62,389:11,29:56,56,51,54,262,78,6.0,54,24,155,1.85,12,63,58,2,0,21,0,503,38.7,64,42,41,2,0,16,0,345,26.5,50,511,2307,4.51,28,177.5,70,464,1966,4.24,20,151.2,17,61,21,20,14,55,0.902,35,45,15,10,11,36,0.8,24,13,54,0,4.15,24,13,54,0,4.15,12,461,318,7,4012,8.7,12.62,33,308.6,101,260,448,3295,20,7.35,12.67,253.5,53,19,395,1,20.79,57,41,33,796,0,19.41,95,106,137,21,264,95,106,137,21,264,95,90,772,59.38,8,175,87,0.497,71,76,195,0.39,63,12,24,0.5,31,15,35,0.429
"Western Ky. (C-USA)",10,13,8-5,955,6285,6.58,53,483.5,70,945,4951,5.24,35,36,380.8,15,13,17,30,10,11,21,9,0.69,92,375:19,28:52,104,47,32,267,63,4.8,18,14,92,1.08,18,60,59,1,0,15,0,466,35.8,44,36,33,1,0,18,0,305,23.5,72,388,1876,4.84,15,144.3,74,502,2023,4.03,17,155.6,72,53,13,21,10,44,0.83,101,41,12,12,12,36,0.878,100,8,78,0,9.75,100,8,78,0,9.75,2,567,364,11,4409,7.78,12.11,38,339.2,69,273,443,2928,18,6.61,10.73,225.2,49,21,438,0,20.86,36,37,35,672,0,18.16,109,112,141,23,276,109,112,141,23,276,82,80,735,56.54,47,175,72,0.411,39,68,194,0.351,104,15,37,0.405,62,14,28,0.5
