year,0_team,1_team,winner_id
2013,south carolina,north carolina,0
2013,kent state,liberty,0
2013,wake forest,presbyterian,0
2013,minnesota,unlv,0
2013,ucf,akron,0
2013,ball state,illinois state,0
2013,indiana,indiana state,0
2013,bowling green,tulsa,0
2013,south alabama,southern utah,1
2013,middle tenn,western caro,0
2013,uconn,towson,1
2013,utah,utah state,0
2013,tulane,jackson state,0
2013,vanderbilt,ole miss,1
2013,san jose state,sacramento state,0
2013,fresno state,rutgers,0
2013,hawaii,southern california,1
2013,georgia state,samford,1
2013,army west point,morgan state,0
2013,michigan state,western mich,0
2013,miami fl,fla atlantic,0
2013,smu,texas tech,1
2013,houston,southern u,0
2013,kansas state,north dakota state,1
2013,arizona,niu,0
2013,ohio state,buffalo,0
2013,wisconsin,massachusetts,0
2013,illinois,massachusetts,0
2013,boston college,villanova,0
2013,cincinnati,purdue,0
2013,west virginia,william  mary,0
2013,georgia tech,elon,0
2013,florida,toledo,0
2013,nc state,louisiana tech,0
2013,maryland,fiu,0
2013,texas am,rice,0
2013,air force,colgate,0
2013,michigan,central mich,0
2013,penn state,syracuse,0
2013,iowa,niu,1
2013,notre dame,temple,0
2013,virginia,byu,0
2013,oklahoma state,mississippi state,0
2013,oregon,nicholls,0
2013,arkansas,louisiana,0
2013,duke,north carolina,0
2013,virginia tech,alabama,1
2013,eastern mich,howard,0
2013,oregon state,eastern wash,1
2013,tennessee,austin peay,0
2013,arkansas state,arkpine bluff,0
2013,missouri,murray state,0
2013,south fla,mcneese,1
2013,auburn,washington state,0
2013,troy,uab,0
2013,oklahoma,south fla,0
2013,north texas,idaho,0
2013,marshall,miami fl,0
2013,east carolina,old dominion,0
2013,southern miss,texas state,1
2013,western ky,kentucky,0
2013,baylor,wofford,0
2013,san diego state,eastern ill,1
2013,clemson,georgia,0
2013,nebraska,wyoming,0
2013,new mexico,utsa,1
2013,texas,new mexico state,0
2013,tcu,lsu,1
2013,ucla,nevada,0
2013,washington,boise state,0
2013,california,northwestern,1
2013,louisville,ohio,0
2013,colorado state,colorado,1
2013,pittsburgh,florida state,1
2013,east carolina,fla atlantic,0
2013,arizona state,sacramento state,0
2013,boston college,wake forest,0
2013,fiu,ucf,1
2013,miami fl,florida,0
2013,tcu,southeastern la,0
2013,louisville,eastern ky,0
2013,utsa,oklahoma state,1
2013,wisconsin,tennessee tech,0
2013,kentucky,miami fl,0
2013,michigan state,south fla,0
2013,penn state,eastern mich,0
2013,temple,houston,1
2013,illinois,cincinnati,0
2013,kent state,bowling green,1
2013,iowa,missouri state,0
2013,purdue,indiana state,0
2013,rutgers,norfolk state,0
2013,tennessee,western ky,0
2013,north carolina,middle tenn,0
2013,clemson,south carolina state,0
2013,ball state,army west point,0
2013,virginia tech,western caro,0
2013,utah,weber state,0
2013,massachusetts,maine,1
2013,georgia state,chattanooga,1
2013,central mich,new hampshire,0
2013,boise state,ut martin,0
2013,missouri,toledo,0
2013,air force,utah state,1
2013,mississippi state,alcorn,0
2013,baylor,buffalo,0
2013,virginia,oregon,1
2013,ohio state,san diego state,0
2013,tulane,south alabama,1
2013,maryland,old dominion,0
2013,wyoming,idaho,0
2013,memphis,duke,1
2013,georgia,south carolina,0
2013,california,portland state,0
2013,nebraska,southern miss,0
2013,northwestern,syracuse,0
2013,akron,james madison,0
2013,nc state,richmond,0
2013,indiana,navy,1
2013,kansas state,louisiana,0
2013,marshall,gardnerwebb,0
2013,kansas,south dakota,0
2013,western mich,nicholls,1
2013,byu,texas,0
2013,south fla,grambling,0
2013,texas state,prairie view,0
2013,arkansas,samford,0
2013,ohio,north texas,0
2013,tulsa,colorado state,0
2013,oklahoma,west virginia,0
2013,vanderbilt,austin peay,0
2013,auburn,arkansas state,0
2013,lsu,uab,0
2013,new mexico state,minnesota,1
2013,smu,montana state,0
2013,utep,new mexico,1
2013,oregon state,hawaii,0
2013,michigan,notre dame,0
2013,nevada,uc davis,0
2013,fresno state,cal poly,0
2013,unlv,arizona,1
2013,southern california,washington state,1
2013,stanford,san jose state,0
2013,arkansas state,troy,0
2013,texas tech,tcu,0
2013,louisiana tech,tulane,1
2013,boise state,air force,0
2013,nebraska,ucla,1
2013,army west point,stanford,1
2013,kentucky,louisville,1
2013,oklahoma,tulsa,0
2013,east carolina,virginia tech,1
2013,west virginia,georgia state,0
2013,michigan,akron,0
2013,indiana,bowling green,0
2013,minnesota,western ill,0
2013,arkansas,southern miss,0
2013,pittsburgh,new mexico,0
2013,wake forest,south fla,1
2013,rutgers,eastern mich,0
2013,temple,fordham,1
2013,michigan state,youngstown state,0
2013,southern california,boston college,0
2013,oregon,tennessee,0
2013,buffalo,stony brook,0
2013,colorado state,cal poly,0
2013,navy,delaware,0
2013,duke,georgia tech,1
2013,texas am,alabama,1
2013,florida state,nevada,0
2013,north texas,ball state,0
2013,syracuse,wagner,0
2013,wyoming,northern colo,0
2013,idaho,niu,1
2013,fiu,bethunecookman,1
2013,illinois,washington,1
2013,penn state,ucf,1
2013,iowa state,iowa,1
2013,washington state,southern utah,0
2013,auburn,mississippi state,0
2013,lsu,kent state,0
2013,south carolina,vanderbilt,0
2013,kansas state,massachusetts,0
2013,toledo,eastern wash,0
2013,louisiana,nicholls,0
2013,middle tenn,memphis,0
2013,cincinnati,northwestern state,0
2013,south fla,fla atlantic,1
2013,california,ohio state,1
2013,south alabama,western ky,0
2013,uconn,maryland,1
2013,rice,kansas,0
2013,texas,ole miss,1
2013,purdue,notre dame,1
2013,utah state,weber state,0
2013,ohio,marshall,0
2013,new mexico state,utep,1
2013,northwestern,western mich,0
2013,unlv,central mich,0
2013,utah,oregon state,1
2013,arizona state,wisconsin,0
2013,arizona,utsa,0
2013,nc state,clemson,1
2013,fresno state,boise state,0
2013,kansas,louisiana tech,0
2013,iowa,western mich,0
2013,fla atlantic,middle tenn,1
2013,central mich,toledo,1
2013,virginia tech,marshall,0
2013,massachusetts,vanderbilt,1
2013,army west point,wake forest,1
2013,ohio state,florida am,0
2013,louisville,fiu,0
2013,minnesota,san jose state,0
2013,georgia tech,north carolina,0
2013,georgia,north texas,0
2013,syracuse,tulane,0
2013,duke,pittsburgh,1
2013,eastern mich,ball state,1
2013,ohio,austin peay,0
2013,georgia state,jacksonville state,1
2013,rice,houston,1
2013,washington,idaho state,0
2013,uab,northwestern state,0
2013,rutgers,arkansas,0
2013,northwestern,maine,0
2013,florida,tennessee,0
2013,notre dame,michigan state,0
2013,wisconsin,purdue,0
2013,nebraska,south dakota state,0
2013,maryland,west virginia,0
2013,virginia,vmi,0
2013,bowling green,murray state,0
2013,penn state,kent state,0
2013,southern california,utah state,0
2013,miami fl,cincinnati,1
2013,baylor,south fla,0
2013,memphis,arkansas state,0
2013,akron,louisiana,1
2013,florida state,bethunecookman,0
2013,alabama,colorado state,0
2013,texas tech,texas state,0
2013,western ky,morgan state,0
2013,texas am,smu,0
2013,niu,eastern ill,0
2013,stanford,arizona state,0
2013,mississippi state,troy,0
2013,san diego state,oregon state,1
2013,lsu,auburn,0
2013,uconn,michigan,1
2013,indiana,missouri,1
2013,texas,kansas state,0
2013,utep,utsa,1
2013,nevada,hawaii,0
2013,unlv,western ill,0
2013,air force,wyoming,1
2013,byu,utah,1
2013,washington state,idaho,0
2013,ucla,new mexico state,0
2013,tulsa,iowa state,1
2013,georgia tech,virginia tech,1
2013,san jose state,utah state,1
2013,byu,middle tenn,0
2013,tcu,smu,0
2013,purdue,niu,1
2013,south fla,miami fl,1
2013,ucf,south carolina,1
2013,west virginia,oklahoma state,0
2013,illinois,miami fl,0
2013,tennessee,south alabama,0
2013,north carolina,east carolina,1
2013,pittsburgh,virginia,0
2013,western ky,navy,0
2013,bowling green,akron,0
2013,duke,troy,0
2013,oregon state,colorado,0
2013,ball state,toledo,0
2013,minnesota,iowa,1
2013,colorado state,utep,0
2013,buffalo,uconn,0
2013,nc state,central mich,0
2013,clemson,wake forest,0
2013,georgia,lsu,0
2013,notre dame,oklahoma,1
2013,boston college,florida state,1
2013,utsa,houston,1
2013,louisiana tech,army west point,1
2013,idaho,temple,0
2013,alabama,ole miss,0
2013,texas state,wyoming,0
2013,western mich,kent state,1
2013,south fla,tulane,1
2013,washington,arizona,0
2013,arkansas,texas am,1
2013,kentucky,florida,1
2013,rice,fla atlantic,0
2013,missouri,arkansas state,0
2013,vanderbilt,uab,0
2013,new mexico,unlv,1
2013,new mexico state,san diego state,1
2013,ohio state,wisconsin,0
2013,nevada,air force,0
2013,washington state,stanford,1
2013,boise state,southern miss,0
2013,oregon,california,0
2013,arizona state,southern california,0
2013,hawaii,fresno state,1
2013,south fla,western ky,1
2013,iowa state,texas,1
2013,utah,ucla,1
2013,utah state,byu,1
2013,san diego state,nevada,0
2013,navy,air force,0
2013,kansas,texas tech,1
2013,buffalo,eastern mich,0
2013,indiana,penn state,0
2013,iowa,michigan state,1
2013,virginia,ball state,1
2013,nebraska,illinois,0
2013,smu,rutgers,1
2013,temple,louisville,1
2013,florida state,maryland,0
2013,alabama,georgia state,0
2013,virginia tech,north carolina,0
2013,boston college,army west point,0
2013,troy,south alabama,0
2013,miami fl,central mich,1
