Miami (OH),UAB
Troy,UTSA
Cincinnati,Louisville
BYU,SMU
Fresno State,WashingtonState
Southern Miss,Rice
Florida,OregonState
Boise State,NorthTexas
UConn,Marshall
San Jose State,EasternMich
Toledo,Liberty
South Alabama,Western Kentucky
Air Force,Baylor
Houston,Louisiana
Missouri,Wake Forest
Middle Tenn,San Diego State
Georgia Southern,Buffalo
New Mexico State,Bowling Green
Utah State,Memphis
East Carolina,Coastal Carolina
Wisconsin,Oklahoma State
Duke,UCF
Arkansas,Kansas
NC State,Oregon
Texas Tech,OleMiss
Syracuse,Minnesota
Florida State,Oklahoma
Texas,Washington
Maryland,North Carolina State
UCLA,Pittsburgh
Notre Dame,South Carolina
Ohio,Wyoming
Clemson,Tennessee
Kentucky,Iowa
Alabama,Kansas State
Michigan,TCU
Georgia,Ohio State
Illinois,Mississippi State
LSU,Purdue
Southern California,Tulane
Utah,Penn State
