Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
N.C. A&T (MEAC),11,7-4,385,993,2.58,4,90.3
South Carolina St. (MEAC),13,9-4,521,1182,2.27,10,90.9
North Dakota St. (MVFC),15,15-0,469,1369,2.92,7,91.3
Bucknell (Patriot),11,6-5,354,1029,2.91,12,93.5
Drake (Pioneer),11,6-5,356,1044,2.93,10,94.9
Harvard (Ivy League),10,9-1,331,973,2.94,11,97.3
James Madison (CAA),12,6-6,442,1183,2.68,11,98.6
Bethune-Cookman (MEAC),13,10-3,437,1382,3.16,10,106.3
Sacred Heart (NEC),13,10-3,486,1451,2.99,12,111.6
Marist (Pioneer),11,8-3,402,1234,3.07,10,112.2
Alabama St. (SWAC),12,8-4,471,1351,2.87,12,112.6
Mercer (Pioneer),12,10-2,399,1408,3.53,17,117.3
William & Mary (CAA),12,7-5,435,1417,3.26,11,118.1
Butler (Pioneer),13,9-4,415,1543,3.72,16,118.7
Tennessee St. (OVC),14,10-4,501,1706,3.41,13,121.9
Gardner-Webb (Big South),12,7-5,427,1470,3.44,15,122.5
Monmouth (FCS Independent),12,6-6,401,1474,3.68,14,122.8
Southern Ill. (MVFC),12,7-5,420,1474,3.51,13,122.8
Eastern Ky. (OVC),12,6-6,395,1480,3.75,16,123.3
Villanova (CAA),11,6-5,396,1373,3.47,15,124.8
San Diego (Pioneer),11,8-3,368,1388,3.77,12,126.2
Princeton (Ivy League),10,8-2,339,1265,3.73,14,126.5
Towson (CAA),16,13-3,553,2029,3.67,20,126.8
Cal Poly (Big Sky),12,6-6,419,1541,3.68,7,128.4
Brown (Ivy League),10,6-4,352,1292,3.67,15,129.2
Stony Brook (CAA),11,5-6,383,1432,3.74,9,130.2
Southern Utah (Big Sky),13,8-5,432,1694,3.92,14,130.3
Missouri St. (MVFC),12,5-7,444,1565,3.52,12,130.4
UNI (MVFC),12,7-5,474,1579,3.33,9,131.6
Duquesne (NEC),11,7-4,418,1486,3.56,15,135.1
Liberty (Big South),12,8-4,416,1624,3.90,12,135.3
Richmond (CAA),12,6-6,406,1655,4.08,18,137.9
Jackson St. (SWAC),11,7-4,396,1519,3.84,12,138.1
Dayton (Pioneer),11,7-4,391,1535,3.93,14,139.5
Charleston So. (Big South),13,10-3,418,1825,4.37,24,140.4
Dartmouth (Ivy League),10,6-4,373,1413,3.79,11,141.3
Portland St. (Big Sky),12,6-6,485,1698,3.50,15,141.5
Alabama A&M (SWAC),12,4-8,451,1716,3.80,20,143.0
Sam Houston (Southland),14,9-5,544,2005,3.69,17,143.2
Montana (Big Sky),13,10-3,471,1863,3.96,13,143.3
Bryant (NEC),12,5-7,447,1726,3.86,14,143.8
Illinois St. (MVFC),11,5-6,404,1600,3.96,18,145.5
UT Martin (OVC),12,7-5,455,1760,3.87,16,146.7
Wagner (NEC),11,3-8,413,1626,3.94,21,147.8
Montana St. (Big Sky),12,7-5,411,1777,4.32,21,148.1
Robert Morris (NEC),11,5-6,418,1653,3.95,13,150.3
Northern Colo. (Big Sky),12,1-11,477,1804,3.78,16,150.3
Central Ark. (Southland),12,7-5,452,1805,3.99,11,150.4
Penn (Ivy League),10,4-6,396,1522,3.84,17,152.2
Saint Francis (PA) (NEC),11,5-6,440,1715,3.90,14,155.9
