Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Charleston So. (Big South),13,10-3,438:44,33:44
North Dakota St. (MVFC),15,15-0,505:09,33:40
Bucknell (Patriot),11,6-5,367:27,33:24
Nicholls (Southland),12,4-8,398:42,33:13
Bethune-Cookman (MEAC),13,10-3,430:34,33:07
San Diego (Pioneer),11,8-3,364:05,33:05
Gardner-Webb (Big South),12,7-5,394:47,32:53
Stony Brook (CAA),11,5-6,361:48,32:53
Illinois St. (MVFC),11,5-6,361:32,32:52
Southern Utah (Big Sky),13,8-5,425:19,32:43
Austin Peay (OVC),12,0-12,392:03,32:40
Monmouth (FCS Independent),12,6-6,391:17,32:36
Brown (Ivy League),10,6-4,325:33,32:33
Mercer (Pioneer),12,10-2,390:24,32:32
Alabama A&M (SWAC),12,4-8,390:20,32:31
Northern Ariz. (Big Sky),12,9-3,388:45,32:23
McNeese (Southland),13,10-3,419:48,32:17
Maine (CAA),13,10-3,418:26,32:11
The Citadel (SoCon),12,5-7,385:55,32:09
Morgan St. (MEAC),12,5-7,385:34,32:07
Liberty (Big South),12,8-4,385:13,32:06
South Dakota St. (MVFC),14,9-5,449:18,32:05
N.C. A&T (MEAC),11,7-4,352:12,32:01
Tennessee St. (OVC),14,10-4,447:36,31:58
Houston Christian (FCS Independent),7,3-4,223:39,31:57
Southern Ill. (MVFC),12,7-5,383:11,31:55
Eastern Ky. (OVC),12,6-6,382:40,31:53
Campbell (Pioneer),12,3-9,381:55,31:49
UC Davis (Big Sky),12,5-7,381:30,31:47
Chattanooga (SoCon),12,8-4,381:27,31:47
Towson (CAA),16,13-3,507:55,31:44
Richmond (CAA),12,6-6,379:10,31:35
Lafayette (Patriot),12,5-7,378:58,31:34
UT Martin (OVC),12,7-5,377:48,31:29
Fordham (Patriot),14,12-2,439:53,31:25
Sacramento St. (Big Sky),12,5-7,376:23,31:21
Central Conn. St. (NEC),12,4-8,375:20,31:16
Butler (Pioneer),13,9-4,406:02,31:14
Princeton (Ivy League),10,8-2,311:07,31:06
Marist (Pioneer),11,8-3,342:11,31:06
Jackson St. (SWAC),11,7-4,340:53,30:59
Central Ark. (Southland),12,7-5,371:33,30:57
Howard (MEAC),12,6-6,369:13,30:46
Dartmouth (Ivy League),10,6-4,307:34,30:45
Alcorn (SWAC),12,9-3,368:57,30:44
Southeastern La. (Southland),14,11-3,430:19,30:44
Saint Francis (PA) (NEC),11,5-6,337:23,30:40
Norfolk St. (MEAC),12,3-9,367:39,30:38
Delaware St. (MEAC),11,5-6,336:43,30:36
Colgate (Patriot),12,4-8,366:45,30:33
Wagner (NEC),11,3-8,335:39,30:30
Montana St. (Big Sky),12,7-5,366:02,30:30
Duquesne (NEC),11,7-4,334:45,30:25
William & Mary (CAA),12,7-5,365:09,30:25
Texas Southern (SWAC),11,2-9,334:15,30:23
Drake (Pioneer),11,6-5,333:49,30:20
Robert Morris (NEC),11,5-6,333:29,30:19
South Dakota (MVFC),12,4-8,362:39,30:13
Cal Poly (Big Sky),12,6-6,361:52,30:09
Lamar University (Southland),12,5-7,361:44,30:08
Villanova (CAA),11,6-5,331:13,30:06
Southeast Mo. St. (OVC),12,3-9,361:14,30:06
Harvard (Ivy League),10,9-1,300:54,30:05
Sam Houston (Southland),14,9-5,420:55,30:03
Montana (Big Sky),13,10-3,390:27,30:02
Northwestern St. (Southland),12,6-6,360:11,30:00
Furman (SoCon),14,8-6,419:53,29:59
Dayton (Pioneer),11,7-4,328:34,29:52
Bryant (NEC),12,5-7,357:44,29:48
