Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Ball St. (MAC),12,5-7,11,13,0.846
Missouri (SEC),14,11-3,13,16,0.813
Georgia (SEC),13,10-3,12,15,0.800
Wisconsin (Big Ten),14,11-3,14,18,0.778
Alabama (SEC),14,12-2,10,13,0.769
Baylor (Big 12),13,11-2,25,34,0.735
Air Force (Mountain West),13,10-3,20,28,0.714
Memphis (AAC),13,10-3,10,14,0.714
Georgia Tech (ACC),14,11-3,12,17,0.706
Hawaii (Mountain West),13,4-9,19,27,0.704
Minnesota (Big Ten),13,8-5,7,10,0.700
Kansas St. (Big 12),13,9-4,11,16,0.688
Cincinnati (AAC),13,9-4,11,16,0.688
California (Pac-12),12,5-7,19,28,0.679
Pittsburgh (),13,6-7,10,15,0.667
Louisiana Tech (C-USA),14,9-5,8,12,0.667
BYU (FBS Independent),13,8-5,15,23,0.652
Kent St. (MAC),11,2-9,9,14,0.643
Toledo (MAC),13,9-4,9,14,0.643
Arkansas (SEC),13,7-6,12,19,0.632
Southern California (Pac-12),13,9-4,15,24,0.625
UTSA (C-USA),12,4-8,10,16,0.625
Arizona (Pac-12),14,10-4,16,26,0.615
Fla. Atlantic (C-USA),12,3-9,11,18,0.611
Miami (FL) (ACC),13,6-7,14,23,0.609
Iowa (Big Ten),13,7-6,14,23,0.609
Oregon (Pac-12),15,13-2,17,28,0.607
Texas St. (Sun Belt),12,7-5,12,20,0.600
Boston College (ACC),13,7-6,12,20,0.600
Oklahoma (Big 12),13,8-5,9,15,0.600
Nevada (Mountain West),13,7-6,16,27,0.593
Ohio St. (Big Ten),15,14-1,13,22,0.591
San Jose St. (Mountain West),12,3-9,17,29,0.586
Navy (FBS Independent),13,8-5,14,24,0.583
Tennessee (SEC),13,7-6,7,12,0.583
Texas A&M (SEC),13,8-5,11,19,0.579
New Mexico St. (Sun Belt),12,2-10,15,26,0.577
Idaho (Sun Belt),11,1-10,20,35,0.571
NIU (MAC),14,11-3,8,14,0.571
UConn (AAC),12,2-10,8,14,0.571
Middle Tenn. (C-USA),12,6-6,9,16,0.563
LSU (SEC),13,8-5,9,16,0.563
Georgia St. (Sun Belt),12,1-11,9,16,0.563
UCLA (Pac-12),13,10-3,9,16,0.563
Duke (ACC),13,9-4,16,29,0.552
South Carolina (SEC),13,7-6,12,22,0.545
Utah (Pac-12),13,9-4,7,13,0.538
Maryland (Big Ten),13,7-6,7,13,0.538
Florida (SEC),12,7-5,8,15,0.533
Michigan St. (Big Ten),13,11-2,9,17,0.529
Massachusetts (MAC),12,3-9,19,36,0.528
Louisville (ACC),13,9-4,11,21,0.524
Houston (AAC),13,8-5,12,23,0.522
Buffalo (MAC),11,5-6,12,23,0.522
UCF (AAC),13,9-4,13,25,0.520
UNLV (Mountain West),13,2-11,14,27,0.519
Army West Point (FBS Independent),12,4-8,16,31,0.516
Arkansas St. (Sun Belt),13,7-6,18,36,0.500
SMU (AAC),12,1-11,14,28,0.500
Temple (AAC),12,6-6,11,22,0.500
Washington (Pac-12),14,8-6,11,22,0.500
ULM (Sun Belt),12,4-8,11,22,0.500
Marshall (C-USA),14,13-1,10,20,0.500
Vanderbilt (SEC),12,3-9,9,18,0.500
Louisiana (Sun Belt),13,9-4,9,18,0.500
Oklahoma St. (Big 12),13,7-6,8,16,0.500
Notre Dame (FBS Independent),13,8-5,8,16,0.500
Virginia Tech (ACC),13,7-6,7,14,0.500
Texas (Big 12),13,6-7,7,14,0.500
TCU (Big 12),13,12-1,7,14,0.500
Syracuse (ACC),12,3-9,6,12,0.500
NC State (ACC),13,8-5,5,10,0.500
Northwestern (Big Ten),12,5-7,14,29,0.483
Colorado (Pac-12),12,2-10,14,29,0.483
Troy (Sun Belt),12,3-9,12,25,0.480
North Carolina (ACC),13,6-7,11,23,0.478
Boise St. (Mountain West),14,12-2,10,21,0.476
South Fla. (AAC),12,4-8,9,19,0.474
Fresno St. (Mountain West),14,6-8,16,34,0.471
Virginia (ACC),12,5-7,8,17,0.471
Rutgers (Big Ten),13,8-5,8,17,0.471
Ohio (MAC),12,6-6,6,13,0.462
Nebraska (Big Ten),13,9-4,6,13,0.462
North Texas (C-USA),12,4-8,6,13,0.462
East Carolina (AAC),13,8-5,11,24,0.458
West Virginia (Big 12),13,7-6,10,22,0.455
FIU (C-USA),12,4-8,5,11,0.455
Washington St. (Pac-12),12,3-9,18,40,0.450
Wyoming (Mountain West),12,4-8,9,20,0.450
Ole Miss (),13,9-4,9,20,0.450
Central Mich. (MAC),13,7-6,7,16,0.438
Kentucky (SEC),12,5-7,10,23,0.435
Texas Tech (Big 12),12,4-8,10,23,0.435
Arizona St. (Pac-12),13,10-3,10,23,0.435
UAB (C-USA),12,6-6,12,28,0.429
Mississippi St. (SEC),13,10-3,9,21,0.429
Auburn (SEC),13,8-5,3,7,0.429
Oregon St. (Pac-12),12,5-7,8,19,0.421
Western Ky. (C-USA),13,8-5,5,12,0.417
San Diego St. (Mountain West),13,7-6,5,12,0.417
Eastern Mich. (MAC),12,2-10,5,12,0.417
New Mexico (Mountain West),12,4-8,10,25,0.400
Wake Forest (ACC),12,3-9,8,20,0.400
Tulsa (AAC),12,2-10,11,28,0.393
Purdue (Big Ten),12,3-9,12,31,0.387
Illinois (Big Ten),13,6-7,5,13,0.385
