Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Navy (FBS Independent),13,8-5,33,322,24.77
Iowa (Big Ten),13,7-6,46,384,29.54
Michigan (Big Ten),12,5-7,42,381,31.75
Arizona St. (Pac-12),13,10-3,58,421,32.38
New Mexico St. (Sun Belt),12,2-10,57,407,33.92
Tennessee (SEC),13,7-6,54,444,34.15
Clemson (ACC),13,10-3,52,450,34.62
Air Force (Mountain West),13,10-3,46,460,35.38
ULM (Sun Belt),12,4-8,53,425,35.42
Army West Point (FBS Independent),12,4-8,49,435,36.25
San Jose St. (Mountain West),12,3-9,52,439,36.58
Notre Dame (FBS Independent),13,8-5,58,487,37.46
Boston College (ACC),13,7-6,58,498,38.31
Duke (ACC),13,9-4,64,503,38.69
Fresno St. (Mountain West),14,6-8,59,546,39.00
Kansas St. (Big 12),13,9-4,57,511,39.31
Mississippi St. (SEC),13,10-3,67,513,39.46
Fla. Atlantic (C-USA),12,3-9,51,474,39.50
UTEP (C-USA),13,7-6,65,514,39.54
Louisiana Tech (C-USA),14,9-5,69,555,39.64
Alabama (SEC),14,12-2,69,562,40.14
Georgia (SEC),13,10-3,65,527,40.54
Louisiana (Sun Belt),13,9-4,65,529,40.69
Ball St. (MAC),12,5-7,50,489,40.75
Iowa St. (Big 12),12,2-10,51,490,40.83
Georgia Tech (ACC),14,11-3,69,576,41.14
New Mexico (Mountain West),12,4-8,52,498,41.50
Cincinnati (AAC),13,9-4,59,542,41.69
Rutgers (Big Ten),13,8-5,61,545,41.92
Ole Miss (),13,9-4,69,549,42.23
Georgia St. (Sun Belt),12,1-11,66,514,42.83
NC State (ACC),13,8-5,63,558,42.92
Purdue (Big Ten),12,3-9,60,518,43.17
Wyoming (Mountain West),12,4-8,63,520,43.33
Wisconsin (Big Ten),14,11-3,65,607,43.36
Northwestern (Big Ten),12,5-7,61,522,43.50
Arkansas (SEC),13,7-6,68,581,44.69
Central Mich. (MAC),13,7-6,70,592,45.54
LSU (SEC),13,8-5,71,595,45.77
Penn St. (Big Ten),13,7-6,75,600,46.15
Minnesota (Big Ten),13,8-5,69,605,46.54
South Carolina (SEC),13,7-6,70,606,46.62
Ohio St. (Big Ten),15,14-1,84,711,47.40
Florida St. (ACC),14,13-1,87,668,47.71
Wake Forest (ACC),12,3-9,60,574,47.83
Stanford (Pac-12),13,8-5,75,630,48.46
Hawaii (Mountain West),13,4-9,80,640,49.23
Louisville (ACC),13,9-4,90,641,49.31
Nevada (Mountain West),13,7-6,73,646,49.69
Eastern Mich. (MAC),12,2-10,69,598,49.83
Oklahoma (Big 12),13,8-5,70,648,49.85
North Texas (C-USA),12,4-8,63,603,50.25
Kentucky (SEC),12,5-7,66,604,50.33
Nebraska (Big Ten),13,9-4,75,655,50.38
Texas A&M (SEC),13,8-5,68,663,51.00
Texas (Big 12),13,6-7,77,664,51.08
Western Mich. (MAC),13,8-5,69,665,51.15
Massachusetts (MAC),12,3-9,73,617,51.42
Toledo (MAC),13,9-4,78,669,51.46
Illinois (Big Ten),13,6-7,79,669,51.46
Maryland (Big Ten),13,7-6,77,677,52.08
Kent St. (MAC),11,2-9,65,574,52.18
Vanderbilt (SEC),12,3-9,73,630,52.50
SMU (AAC),12,1-11,74,632,52.67
San Diego St. (Mountain West),13,7-6,77,694,53.38
Buffalo (MAC),11,5-6,58,588,53.45
Pittsburgh (),13,6-7,83,695,53.46
Rice (C-USA),13,8-5,77,695,53.46
Oklahoma St. (Big 12),13,7-6,79,700,53.85
Colorado St. (Mountain West),13,10-3,72,700,53.85
Utah (Pac-12),13,9-4,77,702,54.00
Ohio (MAC),12,6-6,72,648,54.00
UCF (AAC),13,9-4,76,706,54.31
Temple (AAC),12,6-6,78,653,54.42
UNLV (Mountain West),13,2-11,81,716,55.08
South Alabama (Sun Belt),13,6-7,81,717,55.15
Kansas (Big 12),12,3-9,76,669,55.75
FIU (C-USA),12,4-8,84,673,56.08
UAB (C-USA),12,6-6,77,674,56.17
NIU (MAC),14,11-3,82,794,56.71
Western Ky. (C-USA),13,8-5,76,743,57.15
Boise St. (Mountain West),14,12-2,92,801,57.21
Middle Tenn. (C-USA),12,6-6,78,690,57.50
Virginia (ACC),12,5-7,78,693,57.75
TCU (Big 12),13,12-1,82,752,57.85
Michigan St. (Big Ten),13,11-2,80,754,58.00
Missouri (SEC),14,11-3,102,815,58.21
