Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
TCU (Big 12),13,12-1,9,-9,0,-1.00
Hawaii (Mountain West),13,4-9,18,29,0,1.61
Duke (ACC),13,9-4,16,33,0,2.06
Memphis (AAC),13,10-3,13,36,0,2.77
Temple (AAC),12,6-6,22,65,0,2.95
Army West Point (FBS Independent),12,4-8,5,15,0,3.00
Arkansas (SEC),13,7-6,16,49,0,3.06
Virginia Tech (ACC),13,7-6,29,89,0,3.07
Arkansas St. (Sun Belt),13,7-6,10,31,0,3.10
Oklahoma St. (Big 12),13,7-6,25,79,0,3.16
Tennessee (SEC),13,7-6,22,71,0,3.23
Utah St. (Mountain West),14,10-4,22,76,0,3.45
Ole Miss (),13,9-4,19,66,0,3.47
Buffalo (MAC),11,5-6,9,32,0,3.56
Texas Tech (Big 12),12,4-8,14,50,0,3.57
Iowa St. (Big 12),12,2-10,18,67,0,3.72
NIU (MAC),14,11-3,18,69,0,3.83
North Carolina (ACC),13,6-7,14,58,0,4.14
Washington (Pac-12),14,8-6,12,50,0,4.17
San Diego St. (Mountain West),13,7-6,18,78,0,4.33
Penn St. (Big Ten),13,7-6,21,94,0,4.48
Houston (AAC),13,8-5,22,99,0,4.50
Texas St. (Sun Belt),12,7-5,18,82,0,4.56
UConn (AAC),12,2-10,23,106,0,4.61
Georgia (SEC),13,10-3,10,47,0,4.70
Pittsburgh (),13,6-7,14,66,0,4.71
UTSA (CUSA),12,4-8,24,115,0,4.79
UCLA (Pac-12),13,10-3,15,72,0,4.80
Miami (OH) (MAC),12,2-10,23,112,0,4.87
Cincinnati (AAC),13,9-4,13,64,0,4.92
UNLV (Mountain West),13,2-11,21,106,0,5.05
Baylor (Big 12),13,11-2,11,56,0,5.09
South Alabama (Sun Belt),13,6-7,24,128,0,5.33
Notre Dame (FBS Independent),13,8-5,9,48,0,5.33
Minnesota (Big Ten),13,8-5,22,119,0,5.41
Oregon (Pac-12),15,13-2,12,69,0,5.75
New Mexico (Mountain West),12,4-8,24,139,0,5.79
Ohio St. (Big Ten),15,14-1,10,58,0,5.80
Ohio (MAC),12,6-6,21,123,0,5.86
Wake Forest (ACC),12,3-9,15,89,0,5.93
Navy (FBS Independent),13,8-5,16,97,1,6.06
Massachusetts (MAC),12,3-9,16,99,1,6.19
UCF (AAC),13,9-4,21,132,1,6.29
Oregon St. (Pac-12),12,5-7,24,151,1,6.29
Miami (FL) (ACC),13,6-7,16,101,0,6.31
Middle Tenn. (CUSA),12,6-6,19,122,0,6.42
Western Ky. (CUSA),13,8-5,14,90,0,6.43
Clemson (ACC),13,10-3,27,174,0,6.44
Boston College (ACC),13,7-6,28,181,0,6.46
Georgia Tech (ACC),14,11-3,16,105,0,6.56
Southern Miss. (CUSA),12,3-9,18,121,0,6.72
Utah (Pac-12),13,9-4,18,121,0,6.72
South Carolina (SEC),13,7-6,13,89,0,6.85
Stanford (Pac-12),13,8-5,23,159,0,6.91
Alabama (SEC),14,12-2,12,83,0,6.92
Tulsa (AAC),12,2-10,19,133,0,7.00
Colorado St. (Mountain West),13,10-3,25,175,0,7.00
Rutgers (Big Ten),13,8-5,27,191,0,7.07
Florida St. (ACC),14,13-1,13,92,0,7.08
Bowling Green (MAC),14,8-6,29,208,0,7.17
Mississippi St. (SEC),13,10-3,14,101,0,7.21
Akron (MAC),12,5-7,17,123,0,7.24
FIU (CUSA),12,4-8,33,241,0,7.30
Tulane (AAC),12,3-9,23,168,0,7.30
Air Force (Mountain West),13,10-3,13,95,0,7.31
Toledo (MAC),13,9-4,8,59,0,7.38
Texas A&M (SEC),13,8-5,13,97,0,7.46
Northwestern (Big Ten),12,5-7,27,202,1,7.48
East Carolina (AAC),13,8-5,22,165,1,7.50
Vanderbilt (SEC),12,3-9,23,178,2,7.74
NC State (ACC),13,8-5,28,217,0,7.75
Auburn (SEC),13,8-5,19,148,0,7.79
Nevada (Mountain West),13,7-6,25,195,0,7.80
Illinois (Big Ten),13,6-7,22,174,0,7.91
Missouri (SEC),14,11-3,22,175,0,7.95
Wisconsin (Big Ten),14,11-3,18,145,0,8.06
Fresno St. (Mountain West),14,6-8,23,186,1,8.09
Ball St. (MAC),12,5-7,14,114,0,8.14
Kansas (Big 12),12,3-9,32,261,1,8.16
Rice (CUSA),13,8-5,29,237,0,8.17
UAB (CUSA),12,6-6,23,189,1,8.22
Arizona (Pac-12),14,10-4,32,268,0,8.38
Western Mich. (MAC),13,8-5,21,179,0,8.52
Idaho (Sun Belt),11,1-10,15,129,0,8.60
Troy (Sun Belt),12,3-9,20,172,1,8.60
Florida (SEC),12,7-5,25,219,1,8.76
South Fla. (AAC),12,4-8,28,246,1,8.79
ULM (Sun Belt),12,4-8,30,266,1,8.87
Fla. Atlantic (CUSA),12,3-9,25,222,0,8.88
Nebraska (Big Ten),13,9-4,16,143,1,8.94
SMU (AAC),12,1-11,33,297,0,9.00
Boise St. (Mountain West),14,12-2,18,163,0,9.06
LSU (SEC),13,8-5,21,192,1,9.14
Kent St. (MAC),11,2-9,20,185,0,9.25
BYU (FBS Independent),13,8-5,24,224,0,9.33
Louisiana (Sun Belt),13,9-4,15,143,1,9.53
Louisville (ACC),13,9-4,31,301,1,9.71
Texas (Big 12),13,6-7,33,336,0,10.18
UTEP (CUSA),13,7-6,36,374,1,10.39
Louisiana Tech (CUSA),14,9-5,20,208,1,10.40
Maryland (Big Ten),13,7-6,31,325,0,10.48
Virginia (ACC),12,5-7,24,252,2,10.50
Oklahoma (Big 12),13,8-5,17,181,1,10.65
Colorado (Pac-12),12,2-10,23,245,1,10.65
North Texas (CUSA),12,4-8,33,353,1,10.70
Marshall (CUSA),14,13-1,12,129,0,10.75
Michigan St. (Big Ten),13,11-2,18,194,1,10.78
Indiana (Big Ten),12,4-8,18,195,1,10.83
Kansas St. (Big 12),13,9-4,11,122,1,11.09
Purdue (Big Ten),12,3-9,16,182,1,11.38
California (Pac-12),12,5-7,7,80,1,11.43
New Mexico St. (Sun Belt),12,2-10,23,283,2,12.30
Kentucky (SEC),12,5-7,20,253,2,12.65
Arizona St. (Pac-12),13,10-3,15,196,2,13.07
Eastern Mich. (MAC),12,2-10,24,316,1,13.17
Central Mich. (MAC),13,7-6,12,158,0,13.17
Michigan (Big Ten),12,5-7,20,266,1,13.30
Georgia St. (Sun Belt),12,1-11,16,216,0,13.50
West Virginia (Big 12),13,7-6,17,232,3,13.65
