Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Clemson (ACC),13,10-3,841,3390,4.03,23,27,260.8
Penn St. (Big Ten),13,7-6,849,3623,4.27,24,27,278.7
Stanford (Pac-12),13,8-5,873,3671,4.21,24,26,282.4
Wisconsin (Big Ten),14,11-3,839,4117,4.91,34,35,294.1
UCF (AAC),13,9-4,869,3881,4.47,27,29,298.5
Louisville (ACC),13,9-4,845,4011,4.75,26,31,308.5
Michigan (Big Ten),12,5-7,783,3736,4.77,27,31,311.3
Michigan St. (Big Ten),13,11-2,807,4105,5.09,35,36,315.8
LSU (SEC),13,8-5,845,4119,4.87,26,27,316.8
Arkansas (SEC),13,7-6,821,4204,5.12,30,33,323.4
Boston College (ACC),13,7-6,822,4215,5.13,34,34,324.2
Alabama (SEC),14,12-2,945,4598,4.87,24,27,328.4
Ole Miss (),13,9-4,915,4277,4.67,21,24,329.0
Miami (FL) (ACC),13,6-7,895,4285,4.79,35,40,329.6
Florida (SEC),12,7-5,869,3957,4.55,25,30,329.8
San Diego St. (Mountain West),13,7-6,877,4322,4.93,32,33,332.5
Georgia (SEC),13,10-3,905,4384,4.84,36,36,337.2
TCU (Big 12),13,12-1,953,4443,4.66,26,28,341.8
Ohio St. (Big Ten),15,14-1,1032,5136,4.98,41,43,342.4
Houston (AAC),13,8-5,915,4464,4.88,33,33,343.4
Virginia Tech (ACC),13,7-6,868,4469,5.15,28,30,343.8
Iowa (Big Ten),13,7-6,847,4475,5.28,37,41,344.2
Missouri (SEC),14,11-3,1005,4850,4.83,36,36,346.4
Temple (AAC),12,6-6,876,4165,4.75,21,24,347.1
Texas (Big 12),13,6-7,968,4531,4.68,30,39,348.5
Syracuse (ACC),12,3-9,838,4190,5.00,28,33,349.2
Memphis (AAC),13,10-3,959,4544,4.74,30,32,349.5
Virginia (ACC),12,5-7,825,4238,5.14,30,36,353.2
Central Mich. (MAC),13,7-6,849,4621,5.44,39,40,355.5
Utah St. (Mountain West),14,10-4,1047,4985,4.76,32,33,356.1
Marshall (C-USA),14,13-1,1056,4999,4.73,36,36,357.1
San Jose St. (Mountain West),12,3-9,777,4287,5.52,41,45,357.3
Pittsburgh (),13,6-7,837,4677,5.59,43,45,359.8
Louisiana Tech (C-USA),14,9-5,1028,5075,4.94,38,41,362.5
FIU (C-USA),12,4-8,812,4365,5.38,35,37,363.8
Tennessee (SEC),13,7-6,892,4740,5.31,39,41,364.6
East Carolina (AAC),13,8-5,937,4775,5.10,36,41,367.3
UTEP (C-USA),13,7-6,760,4785,6.30,45,49,368.1
Minnesota (Big Ten),13,8-5,882,4786,5.43,38,40,368.2
Wake Forest (ACC),12,3-9,849,4431,5.22,32,38,369.3
Kansas St. (Big 12),13,9-4,879,4801,5.46,37,39,369.3
North Texas (C-USA),12,4-8,809,4433,5.48,41,48,369.4
UTSA (C-USA),12,4-8,848,4436,5.23,32,36,369.7
Akron (MAC),12,5-7,859,4453,5.18,34,35,371.1
Western Mich. (MAC),13,8-5,882,4825,5.47,37,40,371.2
NC State (ACC),13,8-5,926,4850,5.24,40,44,373.1
ULM (Sun Belt),12,4-8,844,4479,5.31,38,41,373.3
Boise St. (Mountain West),14,12-2,1004,5256,5.24,42,46,375.4
UConn (AAC),12,2-10,871,4543,5.22,39,45,378.6
Baylor (Big 12),13,11-2,941,4964,5.28,41,43,381.8
Oklahoma (Big 12),13,8-5,968,4974,5.14,38,43,382.6
Nebraska (Big Ten),13,9-4,929,4988,5.37,40,44,383.7
Northwestern (Big Ten),12,5-7,878,4611,5.25,35,39,384.3
Rice (C-USA),13,8-5,874,5017,5.74,46,48,385.9
Tulane (AAC),12,3-9,824,4654,5.65,34,41,387.8
BYU (FBS Independent),13,8-5,1032,5090,4.93,44,44,391.5
NIU (MAC),14,11-3,997,5483,5.50,42,45,391.6
Utah (Pac-12),13,9-4,957,5115,5.34,35,40,393.5
Ohio (MAC),12,6-6,848,4732,5.58,35,38,394.3
Air Force (Mountain West),13,10-3,895,5132,5.73,37,39,394.8
Florida St. (ACC),14,13-1,1008,5557,5.51,43,44,396.9
Buffalo (MAC),11,5-6,746,4375,5.86,46,47,397.7
UCLA (Pac-12),13,10-3,1002,5181,5.17,41,45,398.5
Auburn (SEC),13,8-5,914,5185,5.67,44,45,398.8
South Alabama (Sun Belt),13,6-7,927,5186,5.59,41,43,398.9
West Virginia (Big 12),13,7-6,957,5192,5.43,38,42,399.4
Duke (ACC),13,9-4,985,5196,5.28,33,34,399.7
Vanderbilt (SEC),12,3-9,844,4825,5.72,42,50,402.1
South Fla. (AAC),12,4-8,849,4833,5.69,38,41,402.8
Navy (FBS Independent),13,8-5,901,5250,5.83,40,45,403.8
Notre Dame (FBS Independent),13,8-5,938,5254,5.60,44,49,404.2
Louisiana (Sun Belt),13,9-4,898,5276,5.88,40,43,405.8
UAB (C-USA),12,6-6,858,4873,5.68,42,49,406.1
Oregon St. (Pac-12),12,5-7,847,4875,5.76,44,47,406.3
Kentucky (SEC),12,5-7,888,4883,5.50,42,48,406.9
Toledo (MAC),13,9-4,912,5303,5.81,50,51,407.9
Southern California (Pac-12),13,9-4,1001,5303,5.30,40,42,407.9
Washington (Pac-12),14,8-6,1068,5749,5.38,40,41,410.6
Georgia Tech (ACC),14,11-3,911,5758,6.32,43,44,411.3
Purdue (Big Ten),12,3-9,894,4992,5.58,45,48,416.0
Arizona St. (Pac-12),13,10-3,964,5422,5.62,39,46,417.1
Hawaii (Mountain West),13,4-9,958,5436,5.67,45,47,418.2
Arkansas St. (Sun Belt),13,7-6,975,5476,5.62,52,54,421.2
Mississippi St. (SEC),13,10-3,977,5517,5.65,34,35,424.4
Colorado St. (Mountain West),13,10-3,962,5525,5.74,41,41,425.0
Ball St. (MAC),12,5-7,877,5146,5.87,40,42,428.8
Oregon (Pac-12),15,13-2,1168,6445,5.52,43,43,429.7
Kent St. (MAC),11,2-9,823,4733,5.75,37,39,430.3
Wyoming (Mountain West),12,4-8,790,5169,6.54,46,51,430.8
Army West Point (FBS Independent),12,4-8,798,5170,6.48,50,50,430.8
Oklahoma St. (Big 12),13,7-6,970,5616,5.79,47,51,432.0
South Carolina (SEC),13,7-6,904,5625,6.22,45,48,432.7
Indiana (Big Ten),12,4-8,890,5205,5.85,46,48,433.8
Miami (OH) (MAC),12,2-10,864,5211,6.03,47,50,434.3
Maryland (Big Ten),13,7-6,1040,5671,5.45,43,46,436.2
Cincinnati (AAC),13,9-4,955,5708,5.98,40,42,439.1
Washington St. (Pac-12),12,3-9,859,5307,6.18,51,59,442.3
Rutgers (Big Ten),13,8-5,901,5756,6.39,50,51,442.8
Texas St. (Sun Belt),12,7-5,938,5353,5.71,39,42,446.1
Nevada (Mountain West),13,7-6,991,5812,5.86,43,45,447.1
Massachusetts (MAC),12,3-9,934,5370,5.75,49,51,447.5
Texas A&M (SEC),13,8-5,992,5860,5.91,42,45,450.8
Arizona (Pac-12),14,10-4,1115,6314,5.66,47,49,451.0
Southern Miss. (C-USA),12,3-9,845,5417,6.41,51,56,451.4
Middle Tenn. (C-USA),12,6-6,927,5427,5.85,45,48,452.3
Kansas (Big 12),12,3-9,865,5438,6.29,44,47,453.2
Troy (Sun Belt),12,3-9,854,5448,6.38,54,56,454.0
Fresno St. (Mountain West),14,6-8,1018,6384,6.27,56,58,456.0
Illinois (Big Ten),13,6-7,987,5933,6.01,51,56,456.4
