Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Baylor (Big 12),13,10-3,86,83,1,0,8,0,625,48.1
Texas Tech (Big 12),13,7-6,77,72,2,0,16,0,586,45.1
Western Ky. (C-USA),14,12-2,82,79,2,0,15,0,620,44.3
Oklahoma (Big 12),13,11-2,73,71,0,0,19,0,566,43.5
Oregon (Pac-12),13,9-4,71,67,0,0,22,0,559,43.0
Bowling Green (MAC),14,10-4,82,75,0,0,8,0,591,42.2
TCU (Big 12),13,11-2,69,60,3,0,21,2,547,42.1
Ole Miss (SEC),13,10-3,68,66,0,0,19,0,531,40.8
North Carolina (ACC),14,11-3,73,68,2,0,20,0,570,40.7
Houston (AAC),14,13-1,75,75,0,0,13,1,566,40.4
Memphis (AAC),13,9-4,64,63,1,0,23,2,522,40.2
Arkansas St. (Sun Belt),13,9-4,69,63,2,0,13,0,520,40.0
Southern Miss. (C-USA),14,9-5,75,70,0,0,13,0,559,39.9
Oklahoma St. (Big 12),13,10-3,67,62,0,0,16,1,514,39.5
Boise St. (Mountain West),13,9-4,62,59,0,0,25,1,508,39.1
Clemson (ACC),15,14-1,71,65,0,0,28,1,577,38.5
California (Pac-12),13,8-5,63,53,4,0,18,0,493,37.9
Stanford (Pac-12),14,12-2,68,67,0,0,18,0,529,37.8
Louisiana Tech (C-USA),13,9-4,60,60,0,0,22,1,488,37.5
Arizona (Pac-12),13,7-6,62,60,0,0,18,0,486,37.4
Tulsa (AAC),13,6-7,62,58,1,0,17,0,483,37.2
Navy (AAC),13,11-2,63,59,0,0,13,1,478,36.8
App State (Sun Belt),13,11-2,62,61,0,0,14,1,477,36.7
Indiana (Big Ten),13,6-7,58,53,1,0,24,0,475,36.5
Ga. Southern (Sun Belt),13,9-4,61,59,0,1,15,1,474,36.5
Western Mich. (MAC),13,8-5,60,53,2,0,17,0,468,36.0
Arkansas (SEC),13,8-5,62,58,4,0,9,1,467,35.9
Ohio St. (Big Ten),13,12-1,62,62,0,0,10,0,464,35.7
Tennessee (SEC),13,9-4,56,56,0,0,21,1,457,35.2
Alabama (SEC),15,14-1,65,63,0,0,23,2,526,35.1
Toledo (MAC),12,10-2,52,49,0,0,19,1,420,35.0
Arizona St. (Pac-12),13,6-7,52,52,0,1,26,3,450,34.6
Mississippi St. (SEC),13,9-4,58,54,0,0,15,0,447,34.4
Notre Dame (FBS Independent),13,10-3,58,50,1,0,15,0,445,34.2
Middle Tenn. (C-USA),13,7-6,58,56,0,0,12,1,442,34.0
West Virginia (Big 12),13,8-5,54,53,0,0,21,1,442,34.0
Southern California (Pac-12),14,8-6,63,58,0,0,13,0,475,33.9
Cincinnati (AAC),13,7-6,54,49,2,0,21,0,440,33.8
Air Force (Mountain West),14,8-6,62,58,2,0,13,0,473,33.8
BYU (FBS Independent),13,9-4,57,52,1,0,14,0,438,33.7
South Fla. (AAC),13,8-5,56,54,0,0,15,1,437,33.6
NC State (ACC),13,7-6,59,55,1,0,7,0,432,33.2
Nebraska (Big Ten),13,6-7,52,44,3,0,21,1,427,32.8
LSU (SEC),12,9-3,51,49,0,0,13,0,394,32.8
UCLA (Pac-12),13,8-5,51,47,3,0,20,0,419,32.2
San Diego St. (Mountain West),14,11-3,57,57,0,0,17,0,450,32.1
Florida St. (ACC),13,10-3,50,49,0,0,21,0,412,31.7
Duke (ACC),13,8-5,47,42,3,0,26,1,410,31.5
Washington St. (Pac-12),13,9-4,50,49,0,0,20,0,409,31.5
Michigan (Big Ten),13,10-3,50,46,4,0,18,0,408,31.4
Marshall (C-USA),13,10-3,50,49,1,0,18,1,407,31.3
NIU (MAC),14,8-6,57,52,0,0,14,0,436,31.1
Virginia Tech (ACC),13,7-6,48,44,1,0,23,0,403,31.0
Iowa (Big Ten),14,12-2,56,49,0,0,16,0,433,30.9
Washington (Pac-12),13,7-6,50,50,0,0,16,0,398,30.6
Utah (Pac-12),13,10-3,47,47,0,0,23,0,398,30.6
Idaho (Sun Belt),12,4-8,42,39,2,0,23,0,364,30.3
New Mexico (Mountain West),13,7-6,52,49,1,0,8,1,389,29.9
Kansas St. (Big 12),13,6-7,48,44,0,0,19,0,389,29.9
Michigan St. (Big Ten),14,12-2,55,51,0,0,12,0,417,29.8
Temple (AAC),14,10-4,49,44,4,1,23,0,417,29.8
Colorado St. (Mountain West),13,7-6,48,43,2,0,16,1,385,29.6
Georgia Tech (ACC),12,3-9,47,44,1,0,7,1,351,29.3
Utah St. (Mountain West),13,6-7,49,46,0,1,11,1,377,29.0
Louisville (ACC),13,8-5,47,46,0,0,15,0,373,28.7
New Mexico St. (Sun Belt),12,3-9,46,37,0,0,10,0,343,28.6
UNLV (Mountain West),12,3-9,44,43,0,0,12,0,343,28.6
Pittsburgh (ACC),13,8-5,46,42,1,0,15,1,367,28.2
San Jose St. (Mountain West),13,6-7,48,42,0,0,11,0,363,27.9
Troy (Sun Belt),12,4-8,41,39,1,0,16,0,335,27.9
Miami (FL) (ACC),13,8-5,41,40,0,0,25,0,361,27.8
Texas A&M (SEC),13,8-5,42,41,1,0,22,0,361,27.8
SMU (AAC),12,2-10,44,43,0,0,8,1,333,27.8
