Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Michigan (Big Ten),13,10-3,91,71,24,186
Army West Point (FBS Independent),13,8-5,87,91,10,188
LSU (SEC),12,8-4,77,100,15,192
Southern Miss. (CUSA),13,7-6,90,83,20,193
Ohio St. (Big Ten),13,11-2,88,104,8,200
Boston College (ACC),13,7-6,67,107,27,201
Florida (SEC),13,9-4,96,83,27,206
Georgia (SEC),13,8-5,101,96,11,208
Houston (AAC),13,9-4,74,123,16,213
Temple (AAC),14,10-4,101,96,18,215
Duke (ACC),12,4-8,103,102,11,216
Tulane (AAC),12,4-8,100,98,18,216
Alabama (SEC),15,14-1,71,125,21,217
Michigan St. (Big Ten),12,3-9,92,108,23,223
Louisville (ACC),13,9-4,84,115,28,227
Wisconsin (Big Ten),14,11-3,83,130,16,229
Air Force (Mountain West),13,10-3,78,127,24,229
Nebraska (Big Ten),13,9-4,91,121,19,231
App State (Sun Belt),13,10-3,83,125,24,232
Iowa (Big Ten),13,8-5,106,115,15,236
San Diego St. (Mountain West),14,11-3,92,126,18,236
Virginia Tech (ACC),14,10-4,98,116,26,240
Rutgers (Big Ten),12,2-10,143,87,12,242
Notre Dame (FBS Independent),12,4-8,120,102,22,244
BYU (FBS Independent),13,9-4,78,143,23,244
Florida St. (ACC),13,10-3,89,125,31,245
Miami (FL) (ACC),13,9-4,102,123,20,245
Colorado (Pac-12),14,10-4,99,128,19,246
Washington (Pac-12),14,12-2,98,119,29,246
Minnesota (Big Ten),13,9-4,95,129,23,247
NC State (ACC),13,7-6,81,141,26,248
Arkansas (SEC),13,7-6,114,124,11,249
Southern California (Pac-12),13,10-3,93,130,26,249
Troy (Sun Belt),13,10-3,92,136,22,250
Auburn (SEC),13,8-5,95,137,18,250
Western Mich. (MAC),14,13-1,111,125,15,251
Arkansas St. (Sun Belt),13,8-5,97,125,29,251
Wake Forest (ACC),13,7-6,107,129,15,251
UConn (AAC),12,3-9,89,149,13,251
Stanford (Pac-12),13,10-3,105,129,19,253
San Jose St. (Mountain West),12,4-8,148,89,16,253
Indiana (Big Ten),13,6-7,112,123,18,253
Utah (Pac-12),13,9-4,89,145,20,254
Ga. Southern (Sun Belt),12,5-7,113,116,25,254
New Mexico (Mountain West),13,9-4,107,121,26,254
Clemson (ACC),15,14-1,102,116,37,255
UCF (AAC),13,6-7,124,113,18,255
Toledo (MAC),13,9-4,110,126,20,256
East Carolina (AAC),12,3-9,129,107,20,256
Utah St. (Mountain West),12,3-9,144,87,26,257
Rice (CUSA),12,3-9,120,124,14,258
Virginia (ACC),12,2-10,102,135,21,258
Illinois (Big Ten),12,3-9,126,112,20,258
Buffalo (MAC),12,2-10,147,96,16,259
Central Mich. (MAC),13,6-7,108,134,17,259
Kent St. (MAC),12,3-9,134,105,21,260
Fresno St. (Mountain West),12,1-11,167,80,14,261
Purdue (Big Ten),12,3-9,135,112,14,261
Tulsa (AAC),13,10-3,107,138,16,261
Miami (OH) (MAC),13,6-7,114,119,29,262
Kansas St. (Big 12),13,9-4,89,155,18,262
Washington St. (Pac-12),13,8-5,89,151,24,264
Louisiana (Sun Belt),13,6-7,93,156,16,265
UTEP (CUSA),12,4-8,139,108,18,265
Nevada (Mountain West),12,5-7,168,89,8,265
Vanderbilt (SEC),13,6-7,108,138,20,266
Georgia St. (Sun Belt),12,3-9,138,110,19,267
Ohio (MAC),14,8-6,96,153,18,267
UCLA (Pac-12),12,4-8,105,129,33,267
UNLV (Mountain West),12,4-8,118,128,21,267
SMU (AAC),12,5-7,128,124,16,268
FIU (CUSA),12,4-8,120,138,11,269
Colorado St. (Mountain West),13,7-6,131,121,17,269
Ole Miss (SEC),12,5-7,137,116,17,270
UTSA (CUSA),13,6-7,115,128,28,271
Bowling Green (MAC),12,4-8,119,129,24,272
Ball St. (MAC),12,4-8,93,165,15,273
Missouri (SEC),12,4-8,120,133,20,273
Penn St. (Big Ten),14,11-3,109,140,25,274
TCU (Big 12),13,6-7,130,128,16,274
