Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
FIU (C-USA),13,8-5,41,18,12,10,40,0.976
Wyoming (Mountain West),13,8-5,34,12,9,12,33,0.971
Florida (SEC),11,4-7,31,13,8,9,30,0.968
Georgia (SEC),15,13-2,55,25,14,14,53,0.964
Arizona St. (Pac-12),13,7-6,53,26,14,11,51,0.962
Ole Miss (SEC),12,6-6,43,12,12,17,41,0.953
Wake Forest (ACC),13,8-5,56,17,18,18,53,0.946
Fla. Atlantic (C-USA),14,11-3,65,41,9,11,61,0.938
Kansas (Big 12),12,1-11,32,8,10,12,30,0.938
Louisiana (Sun Belt),12,5-7,42,21,11,7,39,0.929
Kentucky (SEC),13,7-6,42,22,5,12,39,0.929
Ohio (MAC),13,9-4,62,35,15,7,57,0.919
Florida St. (ACC),13,7-6,48,13,18,13,44,0.917
Notre Dame (FBS Independent),13,10-3,46,24,11,7,42,0.913
Miami (FL) (ACC),13,10-3,43,12,13,14,39,0.907
Missouri (SEC),13,7-6,53,14,21,13,48,0.906
Bowling Green (MAC),12,2-10,42,11,11,16,38,0.905
Memphis (AAC),13,10-3,62,21,23,12,56,0.903
Oklahoma (Big 12),14,12-2,72,26,25,14,65,0.903
Clemson (ACC),14,12-2,51,29,8,9,46,0.902
Penn St. (Big Ten),13,11-2,59,27,19,7,53,0.898
Stanford (Pac-12),14,9-5,59,17,22,14,53,0.898
Ohio St. (Big Ten),14,12-2,68,25,20,16,61,0.897
UAB (C-USA),13,8-5,48,24,10,9,43,0.896
Purdue (Big Ten),13,7-6,47,10,17,15,42,0.894
Oklahoma St. (Big 12),13,10-3,75,30,19,18,67,0.893
Oregon (Pac-12),13,7-6,56,33,11,6,50,0.893
Georgia Tech (ACC),11,5-6,36,21,5,6,32,0.889
Illinois (Big Ten),12,2-10,27,9,5,10,24,0.889
North Texas (C-USA),14,9-5,54,23,15,10,48,0.889
TCU (Big 12),14,11-3,54,21,15,12,48,0.889
Fresno St. (Mountain West),14,10-4,53,20,9,18,47,0.887
Oregon St. (Pac-12),12,1-11,35,16,6,9,31,0.886
Arizona (Pac-12),13,7-6,52,30,7,9,46,0.885
Tulsa (AAC),12,2-10,43,31,1,6,38,0.884
Northwestern (Big Ten),13,10-3,59,27,14,11,52,0.881
Auburn (SEC),14,10-4,59,29,9,14,52,0.881
Utah St. (Mountain West),13,6-7,40,14,6,15,35,0.875
Houston (AAC),12,7-5,48,21,11,10,42,0.875
Arkansas (SEC),12,4-8,40,21,9,5,35,0.875
Air Force (Mountain West),12,5-7,48,34,2,6,42,0.875
Utah (Pac-12),13,7-6,63,21,12,22,55,0.873
Washington St. (Pac-12),13,9-4,54,7,26,14,47,0.870
UCLA (Pac-12),13,6-7,53,17,17,12,46,0.868
West Virginia (Big 12),13,7-6,53,16,20,10,46,0.868
Iowa St. (Big 12),13,8-5,52,15,17,13,45,0.865
Indiana (Big Ten),12,5-7,44,11,16,11,38,0.864
SMU (AAC),13,7-6,51,19,14,11,44,0.863
Army West Point (FBS Independent),13,10-3,51,41,1,2,44,0.863
Mississippi St. (SEC),13,9-4,58,25,13,12,50,0.862
Tulane (AAC),12,5-7,36,18,4,9,31,0.861
UNLV (Mountain West),12,5-7,50,21,6,16,43,0.860
Texas A&M (SEC),13,7-6,56,22,13,13,48,0.857
Old Dominion (C-USA),12,5-7,35,12,6,12,30,0.857
Colorado St. (Mountain West),13,7-6,63,23,21,10,54,0.857
Wisconsin (Big Ten),14,13-1,62,19,22,12,53,0.855
South Carolina (SEC),13,9-4,34,13,6,10,29,0.853
Alabama (SEC),14,13-1,68,29,17,12,58,0.853
Louisiana Tech (C-USA),13,7-6,54,19,9,18,46,0.852
Toledo (MAC),14,11-3,67,24,12,21,57,0.851
