Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Oklahoma (Big 12),14,12-2,979,8114,8.29,80,579.6
Oklahoma St. (Big 12),13,10-3,1008,7396,7.34,71,568.9
Louisville (ACC),13,8-5,959,7084,7.39,62,544.9
Memphis (AAC),13,10-3,941,6917,7.35,72,532.1
UCF (AAC),13,13-0,924,6896,7.46,77,530.5
South Fla. (AAC),12,10-2,1001,6156,6.15,55,513.0
Ohio St. (Big Ten),14,12-2,1029,7084,6.88,73,506.0
Missouri (SEC),13,7-6,916,6528,7.13,60,502.2
Fla. Atlantic (C-USA),14,11-3,1026,6977,6.80,73,498.4
Arkansas St. (Sun Belt),12,7-5,975,5937,6.09,55,494.8
Colorado St. (Mountain West),13,7-6,977,6402,6.55,55,492.5
Arizona (Pac-12),13,7-6,908,6364,7.01,67,489.5
Southern California (Pac-12),14,11-3,1034,6777,6.55,55,484.1
Toledo (MAC),14,11-3,981,6775,6.91,60,483.9
SMU (AAC),13,7-6,973,6220,6.39,61,478.5
Texas Tech (Big 12),13,6-7,1000,6170,6.17,54,474.6
Wake Forest (ACC),13,8-5,963,6055,6.29,55,465.8
Ole Miss (SEC),12,6-6,804,5548,6.90,47,462.3
Penn St. (Big Ten),13,11-2,909,5984,6.58,68,460.3
West Virginia (Big 12),13,7-6,941,5975,6.35,55,459.6
ULM (Sun Belt),12,4-8,863,5496,6.37,49,458.0
UCLA (Pac-12),13,6-7,932,5952,6.39,50,457.8
Syracuse (ACC),12,4-8,1027,5476,5.33,36,456.3
North Texas (C-USA),14,9-5,1037,6371,6.14,60,455.1
NC State (ACC),13,9-4,981,5873,5.99,52,451.8
Auburn (SEC),14,10-4,1024,6323,6.17,55,451.6
Notre Dame (FBS Independent),13,10-3,912,5827,6.39,55,448.2
New Mexico St. (Independent),13,7-6,998,5810,5.82,47,446.9
Alabama (SEC),14,13-1,944,6217,6.59,64,444.1
Oregon (Pac-12),13,7-6,939,5732,6.10,58,440.9
App State (Sun Belt),13,9-4,886,5718,6.45,55,439.8
Georgia (SEC),15,13-2,975,6529,6.70,66,435.3
Washington St. (Pac-12),13,9-4,1016,5653,5.56,45,434.8
Ohio (MAC),13,9-4,875,5630,6.43,64,433.1
Massachusetts (FBS Independent),12,4-8,865,5194,6.00,45,432.8
Buffalo (MAC),12,6-6,828,5183,6.26,42,431.9
Arizona St. (Pac-12),13,7-6,981,5600,5.71,48,430.8
Clemson (ACC),14,12-2,1048,6014,5.74,57,429.6
Navy (AAC),13,7-6,924,5573,6.03,52,428.7
Houston (AAC),12,7-5,857,5138,6.00,41,428.2
UNLV (Mountain West),12,5-7,827,5125,6.20,39,427.1
East Carolina (AAC),12,3-9,939,5107,5.44,36,425.6
Southern Miss. (C-USA),13,8-5,937,5520,5.89,43,424.6
Tulsa (AAC),12,2-10,884,5044,5.71,42,420.3
TCU (Big 12),14,11-3,963,5869,6.09,55,419.2
Troy (Sun Belt),13,11-2,872,5442,6.24,49,418.6
Mississippi St. (SEC),13,9-4,987,5442,5.51,47,418.6
Colorado (Pac-12),12,5-7,909,5011,5.51,36,417.6
Air Force (Mountain West),12,5-7,908,5010,5.52,48,417.5
UConn (AAC),12,3-9,907,4982,5.49,35,415.2
Wisconsin (Big Ten),14,13-1,954,5810,6.09,53,415.0
Utah (Pac-12),13,7-6,953,5374,5.64,40,413.4
Virginia Tech (ACC),13,9-4,996,5367,5.39,40,412.8
LSU (SEC),13,9-4,863,5344,6.19,42,411.1
Northwestern (Big Ten),13,10-3,998,5304,5.31,47,408.0
Texas A&M (SEC),13,7-6,955,5289,5.54,48,406.8
Boise St. (Mountain West),14,11-3,981,5686,5.80,51,406.1
Washington (Pac-12),13,10-3,821,5271,6.42,56,405.5
Baylor (Big 12),12,1-11,876,4859,5.55,33,404.9
Miami (FL) (ACC),13,10-3,840,5243,6.24,45,403.3
Purdue (Big Ten),13,7-6,938,5240,5.59,39,403.1
Louisiana Tech (C-USA),13,7-6,915,5239,5.73,39,403.0
Hawaii (Mountain West),12,3-9,843,4832,5.73,34,402.7
San Diego St. (Mountain West),13,10-3,827,5202,6.29,46,400.2
Louisiana (Sun Belt),12,5-7,828,4782,5.78,43,398.5
Texas (Big 12),13,7-6,1006,5180,5.15,42,398.5
Nevada (Mountain West),12,3-9,813,4771,5.87,42,397.6
Utah St. (Mountain West),13,6-7,920,5166,5.62,41,397.4
Western Ky. (C-USA),13,6-7,968,5146,5.32,42,395.8
Indiana (Big Ten),12,5-7,951,4749,4.99,36,395.8
Middle Tenn. (C-USA),13,7-6,900,5114,5.68,38,393.4
Fresno St. (Mountain West),14,10-4,952,5501,5.78,41,392.9
FIU (C-USA),13,8-5,890,5100,5.73,39,392.3
Georgia Tech (ACC),11,5-6,751,4308,5.74,40,391.6
Tulane (AAC),12,5-7,816,4698,5.76,43,391.5
Army West Point (FBS Independent),13,10-3,850,5071,5.97,52,390.1
Central Mich. (MAC),13,8-5,923,5067,5.49,46,389.8
Western Mich. (MAC),12,6-6,856,4675,5.46,45,389.6
Stanford (Pac-12),14,9-5,843,5441,6.45,54,388.6
Temple (AAC),13,7-6,914,5046,5.52,36,388.2
Georgia St. (Sun Belt),12,7-5,852,4656,5.46,27,388.0
UTSA (C-USA),11,6-5,754,4261,5.65,26,387.4
Eastern Mich. (MAC),12,5-7,857,4643,5.42,35,386.9
Boston College (ACC),13,7-6,985,5027,5.10,40,386.7
Bowling Green (MAC),12,2-10,847,4640,5.48,34,386.7
Iowa St. (Big 12),13,8-5,904,5018,5.55,43,386.0
Nebraska (Big Ten),12,4-8,827,4620,5.59,36,385.0
Duke (ACC),13,7-6,1016,5002,4.92,38,384.8
California (Pac-12),12,5-7,892,4614,5.17,36,384.5
Miami (OH) (MAC),12,5-7,831,4603,5.54,36,383.6
Michigan St. (Big Ten),13,10-3,971,4980,5.13,38,383.1
Marshall (C-USA),13,8-5,898,4938,5.50,39,379.8
NIU (MAC),13,8-5,963,4911,5.10,43,377.8
Arkansas (SEC),12,4-8,802,4481,5.59,42,373.4
Kansas St. (Big 12),13,8-5,789,4843,6.14,45,372.5
North Carolina (ACC),12,3-9,834,4435,5.32,38,369.6
Pittsburgh (ACC),12,5-7,822,4394,5.35,33,366.2
UAB (C-USA),13,8-5,872,4728,5.42,43,363.7
New Mexico (Mountain West),12,3-9,784,4314,5.50,29,359.5
Florida St. (ACC),13,7-6,808,4575,5.66,39,351.9
Cincinnati (AAC),12,4-8,805,4221,5.24,31,351.8
Vanderbilt (SEC),12,5-7,751,4209,5.60,41,350.8
Kentucky (SEC),13,7-6,818,4548,5.56,37,349.8
Idaho (Sun Belt),12,4-8,824,4194,5.09,31,349.5
Michigan (Big Ten),13,8-5,875,4536,5.18,35,348.9
Virginia (ACC),13,6-7,908,4449,4.90,35,342.2
Texas St. (Sun Belt),12,2-10,854,4077,4.77,26,339.8
South Carolina (SEC),13,9-4,802,4382,5.46,34,337.1
Florida (SEC),11,4-7,712,3695,5.19,25,335.9
Ball St. (MAC),12,2-10,902,4022,4.46,26,335.2
South Alabama (Sun Belt),12,4-8,786,4012,5.10,25,334.3
Oregon St. (Pac-12),12,1-11,773,4005,5.18,29,333.8
Ga. Southern (Sun Belt),12,2-10,839,3988,4.75,27,332.3
Old Dominion (C-USA),12,5-7,811,3988,4.92,26,332.3
Rice (C-USA),12,1-11,732,3982,5.44,26,331.8
Iowa (Big Ten),13,8-5,836,4283,5.12,44,329.5
Kansas (Big 12),12,1-11,851,3948,4.64,25,329.0
BYU (FBS Independent),13,4-9,822,4227,5.14,25,325.2
Maryland (Big Ten),12,4-8,754,3880,5.15,34,323.3
San Jose St. (Mountain West),13,2-11,898,4135,4.60,21,318.1
Akron (MAC),14,7-7,906,4424,4.88,38,316.0
Minnesota (Big Ten),12,5-7,758,3702,4.88,29,308.5
Charlotte (C-USA),12,1-11,740,3638,4.92,23,303.2
Tennessee (SEC),12,4-8,732,3493,4.77,25,291.1
Wyoming (Mountain West),13,8-5,794,3718,4.68,31,286.0
Illinois (Big Ten),12,2-10,725,3365,4.64,19,280.4
Kent St. (MAC),12,2-10,754,3302,4.38,18,275.2
Rutgers (Big Ten),12,4-8,711,3152,4.43,26,262.7
UTEP (C-USA),12,0-12,676,2766,4.09,16,230.5
Liberty (Independent),11,6-5,836,4941,5.91,44,449.2
Coastal Carolina (Sun Belt),12,3-9,750,4144,5.53,33,345.3
