Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Richmond (CAA),11,6-5,2,10,0.2
Southern Utah (Big Sky),12,9-3,5,24,0.208
Stetson (Pioneer),11,2-9,5,20,0.25
Grambling (SWAC),13,11-2,6,23,0.261
Alabama A&M (SWAC),11,4-7,5,19,0.263
Howard (MEAC),11,7-4,4,15,0.267
Stony Brook (CAA),13,10-3,5,18,0.278
UT Martin (OVC),11,6-5,4,14,0.286
UAlbany (CAA),11,4-7,7,24,0.292
Alabama St. (SWAC),11,5-6,5,17,0.294
Bethune-Cookman (MEAC),11,7-4,6,20,0.3
Ark.-Pine Bluff (SWAC),11,2-9,6,20,0.3
Southern U. (SWAC),11,7-4,4,13,0.308
Savannah St. (MEAC),11,3-8,4,13,0.308
Delaware (CAA),11,7-4,5,16,0.313
Jackson St. (SWAC),11,3-8,5,16,0.313
Sacred Heart (NEC),11,4-7,5,15,0.333
Morehead St. (Pioneer),11,4-7,6,18,0.333
Lafayette (Patriot),11,3-8,9,27,0.333
Colgate (Patriot),11,7-4,10,29,0.345
Drake (Pioneer),11,7-4,9,26,0.346
Harvard (Ivy League),10,5-5,8,23,0.348
McNeese (Southland),11,9-2,6,17,0.353
Tennessee St. (OVC),11,6-5,6,17,0.353
North Dakota St. (MVFC),15,14-1,9,25,0.36
Davidson (Pioneer),11,2-9,8,22,0.364
Chattanooga (SoCon),11,3-8,4,11,0.364
San Diego (Pioneer),13,10-3,12,33,0.364
Central Ark. (Southland),12,10-2,10,27,0.37
Samford (SoCon),12,8-4,10,27,0.37
Abilene Christian (Southland),11,2-9,8,21,0.381
South Dakota (MVFC),13,8-5,8,21,0.381
Northwestern St. (Southland),11,4-7,7,18,0.389
Villanova (CAA),11,5-6,7,18,0.389
Western Ill. (MVFC),12,8-4,11,28,0.393
Sam Houston (Southland),14,12-2,13,33,0.394
William & Mary (CAA),11,2-9,6,15,0.4
South Carolina St. (MEAC),10,3-7,6,15,0.4
James Madison (CAA),15,14-1,8,20,0.4
Duquesne (NEC),11,7-4,7,17,0.412
Murray St. (OVC),11,3-8,7,17,0.412
New Hampshire (CAA),14,9-5,10,24,0.417
Southeast Mo. St. (OVC),11,3-8,8,19,0.421
SFA (Southland),11,4-7,6,14,0.429
Bucknell (Patriot),11,5-6,7,16,0.438
Montana (Big Sky),11,7-4,7,16,0.438
Towson (CAA),11,5-6,8,18,0.444
Weber St. (Big Sky),14,11-3,13,29,0.448
UIW (Southland),11,1-10,9,20,0.45
Yale (Ivy League),10,9-1,9,20,0.45
Maine (CAA),10,4-6,5,11,0.455
The Citadel (SoCon),11,5-6,5,11,0.455
Southern Ill. (MVFC),11,4-7,7,15,0.467
ETSU (SoCon),11,4-7,8,17,0.471
Jacksonville St. (OVC),12,10-2,8,17,0.471
Alcorn (SWAC),12,7-5,9,19,0.474
Western Caro. (SoCon),12,7-5,10,21,0.476
Bryant (NEC),11,6-5,11,23,0.478
Wofford (SoCon),13,10-3,11,23,0.478
Southeastern La. (Southland),11,6-5,12,25,0.48
Holy Cross (Patriot),11,4-7,14,29,0.483
Monmouth (Big South),12,9-3,14,28,0.5
Nicholls (Southland),12,8-4,9,18,0.5
Illinois St. (MVFC),11,6-5,6,12,0.5
N.C. A&T (MEAC),12,12-0,7,14,0.5
Texas Southern (SWAC),11,2-9,8,16,0.5
Houston Christian (Southland),11,1-10,7,14,0.5
Saint Francis (PA) (NEC),11,5-6,11,22,0.5
Florida A&M (MEAC),11,3-8,6,12,0.5
Delaware St. (MEAC),11,2-9,9,18,0.5
Sacramento St. (Big Sky),11,7-4,13,26,0.5
Wagner (NEC),11,4-7,10,19,0.526
Elon (CAA),12,8-4,10,19,0.526
Penn (Ivy League),10,6-4,10,19,0.526
Mississippi Val. (SWAC),11,2-9,9,17,0.529
Rhode Island (CAA),11,3-8,8,15,0.533
Princeton (Ivy League),10,5-5,8,15,0.533
Hampton (MEAC),11,6-5,14,26,0.538
Kennesaw St. (Big South),14,12-2,14,26,0.538
Cal Poly (Big Sky),11,1-10,7,13,0.538
Lamar University (Southland),11,2-9,12,22,0.545
Portland St. (Big Sky),11,0-11,6,11,0.545
Georgetown (Patriot),11,1-10,12,22,0.545
N.C. Central (MEAC),11,7-4,10,18,0.556
Montana St. (Big Sky),11,5-6,14,25,0.56
Northern Ariz. (Big Sky),12,7-5,14,25,0.56
Columbia (Ivy League),10,8-2,9,16,0.563
Lehigh (Patriot),12,5-7,13,23,0.565
Austin Peay (OVC),12,8-4,12,21,0.571
Valparaiso (Pioneer),11,6-5,12,21,0.571
Eastern Wash. (Big Sky),11,7-4,16,28,0.571
Mercer (SoCon),11,5-6,11,19,0.579
South Dakota St. (MVFC),14,11-3,11,19,0.579
Charleston So. (Big South),11,6-5,7,12,0.583
Eastern Ky. (OVC),11,4-7,10,17,0.588
Indiana St. (MVFC),11,0-11,10,17,0.588
UNI (MVFC),13,8-5,13,22,0.591
Furman (SoCon),13,8-5,16,27,0.593
Tennessee Tech (OVC),11,1-10,6,10,0.6
Robert Morris (NEC),11,2-9,9,15,0.6
Eastern Ill. (OVC),11,6-5,9,15,0.6
Cornell (Ivy League),10,3-7,6,10,0.6
Presbyterian (Big South),11,4-7,11,18,0.611
UC Davis (Big Sky),11,5-6,11,18,0.611
Campbell (Pioneer),11,6-5,13,21,0.619
Dayton (Pioneer),11,5-6,15,24,0.625
Idaho St. (Big Sky),11,4-7,10,16,0.625
Fordham (Patriot),11,4-7,12,19,0.632
Brown (Ivy League),10,2-8,12,19,0.632
Central Conn. St. (NEC),12,8-4,12,19,0.632
Morgan St. (MEAC),11,1-10,9,14,0.643
Jacksonville (Pioneer),11,7-4,18,28,0.643
Missouri St. (MVFC),11,3-8,11,17,0.647
Prairie View (SWAC),11,6-5,6,9,0.667
Norfolk St. (MEAC),11,4-7,14,21,0.667
Butler (Pioneer),11,6-5,11,16,0.688
Marist (Pioneer),11,4-7,14,20,0.7
Northern Colo. (Big Sky),10,3-7,19,27,0.704
North Dakota (Big Sky),11,3-8,10,14,0.714
VMI (SoCon),11,0-11,12,16,0.75
Youngstown St. (MVFC),11,6-5,13,17,0.765
Gardner-Webb (Big South),11,1-10,6,7,0.857
Dartmouth (Ivy League),10,8-2,14,16,0.875
