Team,Games,Win-Loss,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
Mercer (SoCon),11,5-6,39,562,0,14.41
Howard (MEAC),11,7-4,52,817,0,15.71
Mississippi Val. (SWAC),11,2-9,29,468,0,16.14
Brown (Ivy League),10,2-8,11,182,0,16.55
Stony Brook (CAA),13,10-3,62,1032,0,16.65
Dartmouth (Ivy League),10,8-2,41,683,0,16.66
Youngstown St. (MVFC),11,6-5,46,771,0,16.76
Tennessee Tech (OVC),11,1-10,21,354,0,16.86
Savannah St. (MEAC),11,3-8,28,473,0,16.89
South Carolina St. (MEAC),10,3-7,34,583,0,17.15
Towson (CAA),11,5-6,38,654,0,17.21
Charleston So. (Big South),11,6-5,41,707,0,17.24
Duquesne (NEC),11,7-4,48,828,0,17.25
Butler (Pioneer),11,6-5,51,883,0,17.31
Cal Poly (Big Sky),11,1-10,33,575,0,17.42
Western Caro. (SoCon),12,7-5,64,1123,0,17.55
Holy Cross (Patriot),11,4-7,38,667,0,17.55
Yale (Ivy League),10,9-1,52,915,0,17.6
Columbia (Ivy League),10,8-2,24,423,0,17.63
Western Ill. (MVFC),12,8-4,29,512,0,17.66
Weber St. (Big Sky),14,11-3,64,1130,0,17.66
Gardner-Webb (Big South),11,1-10,19,336,0,17.68
Colgate (Patriot),11,7-4,29,515,0,17.76
Illinois St. (MVFC),11,6-5,36,641,0,17.81
North Dakota (Big Sky),11,3-8,40,721,0,18.03
Southern U. (SWAC),11,7-4,52,942,0,18.12
San Diego (Pioneer),13,10-3,58,1051,0,18.12
Jackson St. (SWAC),11,3-8,31,562,0,18.13
Ark.-Pine Bluff (SWAC),11,2-9,31,562,0,18.13
UC Davis (Big Sky),11,5-6,33,605,0,18.33
N.C. A&T (MEAC),12,12-0,69,1267,0,18.36
Presbyterian (Big South),11,4-7,26,478,0,18.38
Chattanooga (SoCon),11,3-8,35,644,0,18.4
Norfolk St. (MEAC),11,4-7,37,683,0,18.46
Alcorn (SWAC),12,7-5,61,1133,1,18.57
Northwestern St. (Southland),11,4-7,32,603,0,18.84
Alabama St. (SWAC),11,5-6,34,645,0,18.97
Sacred Heart (NEC),11,4-7,49,932,1,19.02
Eastern Wash. (Big Sky),11,7-4,48,915,0,19.06
Idaho St. (Big Sky),11,4-7,55,1049,0,19.07
UAlbany (CAA),11,4-7,24,460,0,19.17
Campbell (Pioneer),11,6-5,49,946,0,19.31
N.C. Central (MEAC),11,7-4,42,811,0,19.31
