Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
James Madison (CAA),15,14-1,20,18,1,0,9,0,167,11.1
North Dakota St. (MVFC),15,14-1,19,16,0,0,14,1,174,11.6
N.C. A&T (MEAC),12,12-0,18,15,1,0,8,0,149,12.4
UT Martin (OVC),11,6-5,20,20,0,0,5,1,157,14.3
Saint Francis (PA) (NEC),11,5-6,18,18,0,0,11,1,161,14.6
Jacksonville St. (OVC),12,10-2,23,19,1,0,7,0,180,15.0
Kennesaw St. (Big South),14,12-2,28,26,1,0,7,0,217,15.5
Yale (Ivy League),10,9-1,20,14,2,0,6,0,156,15.6
Villanova (CAA),11,5-6,19,16,0,0,15,1,177,16.1
Delaware (CAA),11,7-4,23,21,1,0,8,0,185,16.8
McNeese (Southland),11,9-2,24,21,0,0,7,1,188,17.1
Colgate (Patriot),11,7-4,25,21,0,0,7,0,192,17.5
San Diego (Pioneer),13,10-3,30,25,2,0,6,0,227,17.5
Central Ark. (Southland),12,10-2,25,24,0,0,12,0,210,17.5
Columbia (Ivy League),10,8-2,23,18,2,0,5,0,175,17.5
Weber St. (Big Sky),14,11-3,28,22,1,0,18,0,246,17.6
UAlbany (CAA),11,4-7,23,20,1,0,11,1,195,17.7
Alabama St. (SWAC),11,5-6,24,23,0,0,9,2,198,18.0
South Carolina St. (MEAC),10,3-7,21,17,1,0,13,2,188,18.8
Youngstown St. (MVFC),11,6-5,26,24,0,0,10,0,210,19.1
N.C. Central (MEAC),11,7-4,28,26,0,0,5,1,211,19.2
Illinois St. (MVFC),11,6-5,28,24,0,0,7,0,213,19.4
Tennessee St. (OVC),11,6-5,26,22,0,0,12,1,216,19.6
Dayton (Pioneer),11,5-6,27,19,2,0,10,1,217,19.7
Charleston So. (Big South),11,6-5,26,22,0,0,12,2,218,19.8
Dartmouth (Ivy League),10,8-2,26,17,0,0,9,0,200,20.0
Grambling (SWAC),13,11-2,34,30,1,0,10,0,266,20.5
Stony Brook (CAA),13,10-3,33,26,4,0,12,0,268,20.6
Harvard (Ivy League),10,5-5,26,21,2,0,8,2,209,20.9
New Hampshire (CAA),14,9-5,38,31,0,0,12,3,301,21.5
Alcorn (SWAC),12,7-5,33,32,0,0,9,2,261,21.8
Southeast Mo. St. (OVC),11,3-8,27,24,0,0,18,0,240,21.8
Hampton (MEAC),11,6-5,30,28,0,0,9,4,243,22.1
Western Ill. (MVFC),12,8-4,36,33,1,0,5,0,266,22.2
Samford (SoCon),12,8-4,36,33,0,0,6,0,267,22.3
Wofford (SoCon),13,10-3,37,35,1,0,10,1,291,22.4
Campbell (Pioneer),11,6-5,31,29,0,0,10,1,247,22.5
Bucknell (Patriot),11,5-6,34,28,1,0,5,0,249,22.6
Maine (CAA),10,4-6,30,27,0,1,8,0,233,23.3
UNI (MVFC),13,8-5,39,30,1,0,13,1,307,23.6
Mercer (SoCon),11,5-6,34,31,0,0,7,2,260,23.6
Duquesne (NEC),11,7-4,36,27,2,0,5,0,262,23.8
Bethune-Cookman (MEAC),11,7-4,33,30,0,0,11,1,263,23.9
Towson (CAA),11,5-6,33,29,0,0,12,0,263,23.9
William & Mary (CAA),11,2-9,33,27,0,0,12,1,263,23.9
Furman (SoCon),13,8-5,41,36,1,0,9,0,311,23.9
South Dakota St. (MVFC),14,11-3,44,40,1,0,9,1,335,23.9
Cornell (Ivy League),10,3-7,30,29,1,0,10,1,243,24.3
Richmond (CAA),11,6-5,33,30,0,0,14,1,272,24.7
Austin Peay (OVC),12,8-4,40,34,1,0,7,0,297,24.8
Elon (CAA),12,8-4,37,34,0,0,14,0,298,24.8
Butler (Pioneer),11,6-5,35,28,2,0,11,0,275,25.0
Montana St. (Big Sky),11,5-6,32,28,2,0,17,0,275,25.0
Prairie View (SWAC),11,6-5,34,29,0,0,14,0,275,25.0
Nicholls (Southland),12,8-4,37,35,0,0,15,0,302,25.2
Holy Cross (Patriot),11,4-7,37,31,0,0,8,1,279,25.4
Drake (Pioneer),11,7-4,36,31,1,0,10,0,279,25.4
