Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Alabama A&M (SWAC),11,6-5,45,605,0,13.44
UT Martin (OVC),11,2-9,19,262,0,13.79
James Madison (CAA),13,9-4,33,472,0,14.30
Duquesne (NEC),13,9-4,49,762,0,15.55
Delaware St. (MEAC),11,3-8,31,489,0,15.77
Fordham (Patriot),11,2-9,12,190,0,15.83
Drake (Pioneer),11,7-4,48,779,0,16.23
UC Davis (Big Sky),13,10-3,36,588,0,16.33
McNeese (Southland),11,6-5,13,217,0,16.69
South Dakota St. (MVFC),13,10-3,44,737,0,16.75
Towson (CAA),12,7-5,61,1031,0,16.90
Northwestern St. (Southland),11,5-6,45,761,0,16.91
Southern Utah (Big Sky),11,1-10,34,579,1,17.03
Texas Southern (SWAC),11,2-9,30,517,0,17.23
Idaho (Big Sky),11,4-7,16,277,0,17.31
Ark.-Pine Bluff (SWAC),11,2-9,24,417,0,17.38
Abilene Christian (Southland),11,6-5,38,665,1,17.50
Montana (Big Sky),11,6-5,36,638,0,17.72
UNI (MVFC),13,7-6,25,444,0,17.76
Morgan St. (MEAC),11,4-7,14,250,0,17.86
Portland St. (Big Sky),11,4-7,37,665,0,17.97
Dartmouth (Ivy League),10,9-1,36,649,0,18.03
Stetson (Pioneer),10,8-2,44,795,0,18.07
San Diego (Pioneer),12,9-3,49,888,0,18.12
Sacred Heart (NEC),11,7-4,54,981,0,18.17
Eastern Wash. (Big Sky),15,12-3,60,1094,1,18.23
Kennesaw St. (Big South),13,11-2,45,829,0,18.42
Central Conn. St. (NEC),11,6-5,39,719,0,18.44
ETSU (SoCon),12,8-4,28,518,0,18.50
Bucknell (Patriot),11,1-10,22,408,0,18.55
Yale (Ivy League),10,5-5,25,464,0,18.56
Southeastern La. (Southland),11,4-7,38,706,0,18.58
N.C. A&T (MEAC),12,10-2,56,1047,0,18.70
Sam Houston (Southland),11,6-5,33,617,0,18.70
Tennessee St. (OVC),9,4-5,30,561,0,18.70
Lafayette (Patriot),11,3-8,7,131,0,18.71
Colgate (Patriot),12,10-2,36,677,0,18.81
The Citadel (SoCon),11,5-6,28,529,0,18.89
Cornell (Ivy League),10,3-7,18,341,1,18.94
Alcorn (SWAC),13,9-4,66,1253,3,18.98
Southern Ill. (MVFC),11,2-9,45,861,0,19.13
Holy Cross (Patriot),11,5-6,27,519,1,19.22
Columbia (Ivy League),10,6-4,18,346,0,19.22
Tennessee Tech (OVC),11,1-10,17,327,0,19.24
Jacksonville St. (OVC),13,9-4,46,885,1,19.24
Saint Francis (PA) (NEC),11,4-7,48,933,1,19.44
Villanova (CAA),11,5-6,27,525,0,19.44
Youngstown St. (MVFC),11,4-7,30,588,0,19.60
Southern U. (SWAC),11,7-4,32,628,0,19.63
Robert Morris (NEC),11,2-9,38,748,0,19.68
Dayton (Pioneer),11,6-5,39,771,0,19.77
Weber St. (Big Sky),13,10-3,30,595,2,19.83
Eastern Ky. (OVC),11,7-4,34,676,0,19.88
Charleston So. (Big South),11,5-6,37,737,1,19.92
Richmond (CAA),11,4-7,36,721,1,20.03
Princeton (Ivy League),10,10-0,21,421,0,20.05
Penn (Ivy League),10,6-4,23,462,0,20.09
Jacksonville (Pioneer),10,2-8,30,604,1,20.13
Samford (SoCon),11,6-5,38,766,0,20.16
Rhode Island (CAA),11,6-5,39,788,0,20.21
Florida A&M (MEAC),11,6-5,43,876,2,20.37
Cal Poly (Big Sky),11,5-6,29,591,0,20.38
Savannah St. (MEAC),10,2-8,25,512,0,20.48
Marist (Pioneer),11,5-6,41,845,0,20.61
Mercer (SoCon),11,5-6,35,722,1,20.63
VMI (SoCon),11,1-10,19,392,0,20.63
Wofford (SoCon),13,9-4,28,578,0,20.64
UIW (Southland),11,6-5,30,624,0,20.80
Southeast Mo. St. (OVC),13,9-4,54,1130,1,20.93
Chattanooga (SoCon),11,6-5,28,591,0,21.11
Prairie View (SWAC),11,5-6,46,979,0,21.28
Illinois St. (MVFC),11,6-5,38,810,0,21.32
Valparaiso (Pioneer),11,2-9,31,664,1,21.42
Hampton (FCS Independent),10,7-3,39,836,2,21.44
Missouri St. (MVFC),11,4-7,32,693,0,21.66
Maine (CAA),14,10-4,53,1150,0,21.70
Jackson St. (SWAC),10,5-5,31,673,1,21.71
South Carolina St. (MEAC),11,5-6,36,782,0,21.72
Lehigh (Patriot),11,3-8,29,633,0,21.83
Northern Colo. (Big Sky),11,2-9,25,548,1,21.92
Campbell (Big South),11,6-5,31,680,1,21.94
Davidson (Pioneer),11,6-5,66,1448,1,21.94
SFA (Southland),10,2-8,29,637,1,21.97
Murray St. (OVC),11,5-6,34,747,0,21.97
Sacramento St. (Big Sky),10,2-8,24,531,1,22.13
Austin Peay (OVC),11,5-6,36,797,2,22.14
Furman (SoCon),10,6-4,19,421,0,22.16
Monmouth (Big South),11,8-3,38,846,2,22.26
Harvard (Ivy League),10,6-4,26,581,1,22.35
Houston Christian (Southland),11,1-10,36,806,0,22.39
UAlbany (CAA),11,3-8,34,762,1,22.41
Elon (CAA),11,6-5,47,1055,2,22.45
Indiana St. (MVFC),11,7-4,49,1102,1,22.49
Grambling (SWAC),11,6-5,24,541,0,22.54
North Dakota St. (MVFC),15,15-0,53,1195,1,22.55
South Dakota (MVFC),11,4-7,37,836,0,22.59
Idaho St. (Big Sky),11,6-5,51,1156,2,22.67
Morehead St. (Pioneer),11,3-8,39,886,1,22.72
Norfolk St. (MEAC),11,4-7,38,868,3,22.84
Bethune-Cookman (MEAC),12,7-5,54,1240,0,22.96
Gardner-Webb (Big South),11,3-8,21,489,1,23.29
Nicholls (Southland),13,9-4,50,1171,0,23.42
N.C. Central (MEAC),11,5-6,44,1031,1,23.43
Bryant (NEC),11,6-5,43,1013,0,23.56
North Dakota (FCS Independent),11,6-5,40,945,0,23.63
William & Mary (CAA),10,4-6,16,379,0,23.69
Brown (Ivy League),10,1-9,19,452,1,23.79
Stony Brook (CAA),12,7-5,44,1049,1,23.84
Western Caro. (SoCon),11,3-8,40,962,2,24.05
Mississippi Val. (SWAC),11,1-10,31,748,0,24.13
Northern Ariz. (Big Sky),10,4-6,27,662,0,24.52
Montana St. (Big Sky),13,8-5,41,1008,1,24.59
Central Ark. (Southland),11,6-5,28,689,0,24.61
Butler (Pioneer),11,4-7,27,672,1,24.89
