Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Davidson (Pioneer),11,6-5,4,3,0,0.75
Kennesaw St. (Big South),13,11-2,9,16,0,1.78
Rhode Island (CAA),11,6-5,12,22,0,1.83
Missouri St. (MVFC),11,4-7,17,38,0,2.24
Central Ark. (Southland),11,6-5,20,53,0,2.65
Stony Brook (CAA),12,7-5,13,39,0,3.00
South Dakota St. (MVFC),13,10-3,15,46,0,3.07
North Dakota St. (MVFC),15,15-0,20,66,0,3.30
Brown (Ivy League),10,1-9,18,73,0,4.06
Sam Houston (Southland),11,6-5,14,59,0,4.21
Presbyterian (Big South),10,2-8,22,93,0,4.23
Mercer (SoCon),11,5-6,17,74,0,4.35
North Dakota (FCS Independent),11,6-5,13,57,1,4.38
Southeastern La. (Southland),11,4-7,9,40,0,4.44
Mississippi Val. (SWAC),11,1-10,21,98,0,4.67
Duquesne (NEC),13,9-4,25,118,0,4.72
Yale (Ivy League),10,5-5,10,48,0,4.80
Eastern Ky. (OVC),11,7-4,13,66,0,5.08
New Hampshire (CAA),11,4-7,19,97,0,5.11
Princeton (Ivy League),10,10-0,8,41,0,5.13
Saint Francis (PA) (NEC),11,4-7,14,72,0,5.14
Weber St. (Big Sky),13,10-3,10,52,0,5.20
Murray St. (OVC),11,5-6,12,65,0,5.42
SFA (Southland),10,2-8,19,104,0,5.47
Charleston So. (Big South),11,5-6,21,118,1,5.62
Wofford (SoCon),13,9-4,14,79,0,5.64
Holy Cross (Patriot),11,5-6,21,119,0,5.67
Idaho (Big Sky),11,4-7,18,102,1,5.67
Fordham (Patriot),11,2-9,24,137,0,5.71
Dartmouth (Ivy League),10,9-1,8,46,0,5.75
Youngstown St. (MVFC),11,4-7,8,47,0,5.88
Alabama A&M (SWAC),11,6-5,20,118,0,5.90
Elon (CAA),11,6-5,22,131,0,5.95
Prairie View (SWAC),11,5-6,11,67,0,6.09
Morgan St. (MEAC),11,4-7,20,122,1,6.10
Cal Poly (Big Sky),11,5-6,13,80,0,6.15
Delaware (CAA),12,7-5,23,142,0,6.17
Jacksonville St. (OVC),13,9-4,21,130,0,6.19
Montana (Big Sky),11,6-5,15,93,1,6.20
Colgate (Patriot),12,10-2,14,88,0,6.29
N.C. Central (MEAC),11,5-6,19,120,1,6.32
UNI (MVFC),13,7-6,25,158,0,6.32
Samford (SoCon),11,6-5,4,26,0,6.50
San Diego (Pioneer),12,9-3,19,125,0,6.58
Western Ill. (MVFC),11,5-6,32,213,1,6.66
Howard (MEAC),10,4-6,14,95,0,6.79
Indiana St. (MVFC),11,7-4,19,130,1,6.84
Monmouth (Big South),11,8-3,15,108,1,7.20
Montana St. (Big Sky),13,8-5,22,164,0,7.45
Valparaiso (Pioneer),11,2-9,13,99,1,7.62
N.C. A&T (MEAC),12,10-2,28,219,1,7.82
Maine (CAA),14,10-4,15,118,0,7.87
Stetson (Pioneer),10,8-2,12,95,1,7.92
Northern Colo. (Big Sky),11,2-9,16,129,0,8.06
Bucknell (Patriot),11,1-10,30,245,0,8.17
The Citadel (SoCon),11,5-6,18,149,1,8.28
