Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Louisiana Tech (C-USA),13,10-3,51,16,8,9,33,0.647
Ohio St. (Big Ten),14,13-1,29,10,2,7,19,0.655
Florida (SEC),13,11-2,35,5,9,9,23,0.657
South Fla. (AAC),12,4-8,43,16,6,7,29,0.674
Buffalo (MAC),13,8-5,41,14,6,8,28,0.683
Wyoming (Mountain West),13,8-5,45,10,6,15,31,0.689
Temple (AAC),13,8-5,50,14,14,7,35,0.7
Auburn (SEC),13,9-4,39,9,12,7,28,0.718
Louisiana (Sun Belt),14,11-3,43,18,4,9,31,0.721
Air Force (Mountain West),13,11-2,43,10,13,8,31,0.721
Wisconsin (Big Ten),14,10-4,36,9,11,6,26,0.722
Cincinnati (AAC),14,11-3,51,11,11,15,37,0.725
Georgia (SEC),14,12-2,26,2,11,6,19,0.731
Virginia Tech (ACC),13,8-5,42,10,13,8,31,0.738
Utah (Pac-12),14,11-3,31,6,8,9,23,0.742
Fla. Atlantic (C-USA),14,11-3,40,13,10,7,30,0.75
San Diego St. (Mountain West),13,10-3,32,7,8,9,24,0.75
Middle Tenn. (C-USA),12,4-8,53,15,11,14,40,0.755
Clemson (ACC),15,14-1,33,7,7,11,25,0.758
Western Ky. (C-USA),13,9-4,33,8,8,9,25,0.758
Michigan St. (Big Ten),13,7-6,38,8,12,9,29,0.763
Tulsa (AAC),12,4-8,43,19,4,10,33,0.767
Oregon (Pac-12),14,12-2,39,5,9,16,30,0.769
Arkansas St. (Sun Belt),13,8-5,61,25,9,13,47,0.77
Georgia Tech (ACC),12,3-9,62,23,13,12,48,0.774
LSU (SEC),15,15-0,40,14,12,5,31,0.775
Oregon St. (Pac-12),12,5-7,51,17,14,9,40,0.784
Marshall (C-USA),13,8-5,47,18,9,10,37,0.787
Kentucky (SEC),13,8-5,33,14,6,6,26,0.788
Texas St. (Sun Belt),12,3-9,57,21,16,8,45,0.789
Navy (AAC),13,11-2,38,12,10,8,30,0.789
Washington (Pac-12),13,8-5,43,14,7,13,34,0.791
Mississippi St. (SEC),13,6-7,53,23,11,8,42,0.792
Iowa (Big Ten),13,10-3,29,6,7,10,23,0.793
Michigan (Big Ten),13,9-4,34,17,8,2,27,0.794
Arizona St. (Pac-12),13,8-5,39,14,14,3,31,0.795
BYU (FBS Independent),13,7-6,45,12,14,10,36,0.8
Fresno St. (Mountain West),12,4-8,56,22,14,9,45,0.804
Vanderbilt (SEC),12,3-9,46,16,14,7,37,0.804
Pittsburgh (ACC),13,8-5,46,11,10,16,37,0.804
Miami (FL) (ACC),13,6-7,36,9,8,12,29,0.806
Missouri (SEC),12,6-6,31,8,8,9,25,0.806
Charlotte (C-USA),13,7-6,52,21,14,7,42,0.808
Liberty (FBS Independent),13,8-5,52,15,14,13,42,0.808
UNLV (Mountain West),12,4-8,52,26,5,11,42,0.808
Purdue (Big Ten),12,4-8,47,19,9,10,38,0.809
Syracuse (ACC),12,5-7,42,17,11,6,34,0.81
Southern Miss. (C-USA),13,7-6,37,10,11,9,30,0.811
South Carolina (SEC),12,4-8,37,7,11,12,30,0.811
NIU (MAC),12,5-7,48,21,7,11,39,0.813
Boise St. (Mountain West),14,12-2,43,15,11,9,35,0.814
Western Mich. (MAC),13,7-6,54,16,13,15,44,0.815
Tulane (AAC),13,7-6,49,13,12,15,40,0.816
North Carolina (ACC),13,7-6,44,16,9,11,36,0.818
Penn St. (Big Ten),13,11-2,33,13,3,11,27,0.818
San Jose St. (Mountain West),12,5-7,50,27,6,8,41,0.82
Tennessee (SEC),13,8-5,45,15,12,10,37,0.822
Ohio (MAC),13,7-6,45,17,9,11,37,0.822
Miami (OH) (MAC),14,8-6,51,17,15,10,42,0.824
UAB (C-USA),14,9-5,46,10,19,9,38,0.826
Rutgers (Big Ten),12,2-10,52,24,12,7,43,0.827
Illinois (Big Ten),13,6-7,53,15,14,15,44,0.83
Northwestern (Big Ten),12,3-9,42,10,15,10,35,0.833
New Mexico (Mountain West),12,2-10,54,21,17,7,45,0.833
Colorado (Pac-12),12,5-7,43,16,11,9,36,0.837
UCF (AAC),13,10-3,43,12,12,12,36,0.837
Texas A&M (SEC),13,8-5,37,11,10,10,31,0.838
Baylor (Big 12),14,11-3,50,12,13,17,42,0.84
California (Pac-12),13,8-5,50,15,12,15,42,0.84
Virginia (ACC),14,9-5,44,17,10,10,37,0.841
Bowling Green (MAC),12,3-9,51,24,10,9,43,0.843
Wake Forest (ACC),13,8-5,51,15,15,13,43,0.843
Louisville (ACC),13,8-5,51,20,18,5,43,0.843
Alabama (SEC),13,11-2,32,9,9,9,27,0.844
App State (Sun Belt),14,13-1,32,9,11,7,27,0.844
Duke (ACC),12,5-7,45,15,12,11,38,0.844
Akron (MAC),12,0-12,58,26,15,8,49,0.845
Nevada (Mountain West),13,7-6,46,14,16,9,39,0.848
UCLA (Pac-12),12,4-8,46,18,13,8,39,0.848
Toledo (MAC),12,6-6,46,23,6,10,39,0.848
Troy (Sun Belt),12,5-7,46,17,10,12,39,0.848
Maryland (Big Ten),12,3-9,66,27,14,15,56,0.848
Eastern Mich. (MAC),13,6-7,47,25,10,5,40,0.851
Hawaii (Mountain West),15,10-5,54,26,6,14,46,0.852
Rice (C-USA),12,3-9,34,13,9,7,29,0.853
Texas Tech (Big 12),12,4-8,48,18,8,15,41,0.854
Washington St. (Pac-12),13,6-7,48,22,11,8,41,0.854
SMU (AAC),13,10-3,48,12,15,14,41,0.854
Stanford (Pac-12),12,4-8,48,13,19,9,41,0.854
Coastal Carolina (Sun Belt),12,5-7,42,17,15,4,36,0.857
Southern California (Pac-12),13,8-5,49,15,15,12,42,0.857
Florida St. (ACC),13,6-7,64,17,13,25,55,0.859
Utah St. (Mountain West),13,7-6,58,29,14,7,50,0.862
Old Dominion (C-USA),12,1-11,51,18,14,12,44,0.863
Oklahoma St. (Big 12),13,8-5,45,14,14,11,39,0.867
Kent St. (MAC),13,7-6,60,28,10,14,52,0.867
