Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Navy (AAC),13,11-2,773,4687,6.06,52,360.5
Air Force (Mountain West),13,11-2,755,3881,5.14,41,298.5
Army West Point (FBS Independent),13,5-8,743,3863,5.2,45,297.2
Kentucky (SEC),13,8-5,573,3624,6.32,36,278.8
Ohio St. (Big Ten),14,13-1,663,3735,5.63,39,266.8
Louisiana (Sun Belt),14,11-3,574,3604,6.28,42,257.4
Ga. Southern (Sun Belt),13,7-6,666,3292,4.94,29,253.2
Boston College (ACC),13,6-7,659,3291,4.99,27,253.2
Ole Miss (SEC),12,4-8,559,3015,5.39,29,251.3
Buffalo (MAC),13,8-5,659,3256,4.94,36,250.5
Tulane (AAC),13,7-6,612,3162,5.17,33,243.2
Georgia St. (Sun Belt),13,7-6,596,3141,5.27,30,241.6
Clemson (ACC),15,14-1,566,3606,6.37,45,240.4
Oklahoma (Big 12),14,12-2,565,3363,5.95,38,240.2
Wisconsin (Big Ten),14,10-4,612,3263,5.33,38,233.1
App State (Sun Belt),14,13-1,599,3240,5.41,35,231.4
Oklahoma St. (Big 12),13,8-5,562,2985,5.31,27,229.6
Toledo (MAC),12,6-6,517,2694,5.21,27,224.5
UCF (AAC),13,10-3,559,2909,5.2,34,223.8
Ohio (MAC),13,7-6,526,2883,5.48,36,221.8
Mississippi St. (SEC),13,6-7,529,2868,5.42,27,220.6
Ball St. (MAC),12,5-7,536,2633,4.91,27,219.4
Wyoming (Mountain West),13,8-5,575,2792,4.86,27,214.8
Louisville (ACC),13,8-5,569,2767,4.86,23,212.8
Cincinnati (AAC),14,11-3,616,2912,4.73,30,208.0
ULM (Sun Belt),12,5-7,456,2487,5.45,29,207.3
New Mexico (Mountain West),12,2-10,501,2463,4.92,20,205.3
Western Mich. (MAC),13,7-6,503,2666,5.3,35,205.1
TCU (Big 12),12,5-7,510,2448,4.8,23,204.0
Nebraska (Big Ten),12,5-7,544,2439,4.48,27,203.3
Charlotte (C-USA),13,7-6,527,2639,5.01,26,203.0
Utah (Pac-12),14,11-3,591,2819,4.77,34,201.4
Auburn (SEC),13,9-4,550,2588,4.71,31,199.1
Coastal Carolina (Sun Belt),12,5-7,520,2346,4.51,24,195.5
Marshall (C-USA),13,8-5,532,2514,4.73,21,193.4
Penn St. (Big Ten),13,11-2,516,2478,4.8,34,190.6
