Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Sam Houston (Southland),12,7-5,103,56,517,131,10.9
South Carolina St. (MEAC),11,8-3,88,30,364,103,9.4
Lamar University (Southland),12,4-8,93,24,353,105,8.8
Harvard (Ivy League),10,4-6,64,44,379,86,8.6
James Madison (CAA),16,14-2,96,80,558,136,8.5
Sacramento St. (Big Sky),13,9-4,85,50,431,110,8.5
Saint Francis (PA) (NEC),12,6-6,77,48,393,101,8.4
Mississippi Val. (SWAC),11,2-9,64,55,307,92,8.3
Southeastern La. (Southland),13,8-5,75,64,417,107,8.2
Ark.-Pine Bluff (SWAC),11,6-5,59,62,337,90,8.2
Abilene Christian (Southland),12,5-7,69,56,320,97,8.1
Yale (Ivy League),10,9-1,61,38,352,80,8.0
Charleston So. (Big South),12,6-6,81,28,345,95,7.9
Eastern Ky. (OVC),12,7-5,76,38,302,95,7.9
UIW (Southland),12,5-7,56,74,289,93,7.8
Houston Christian (Southland),12,5-7,55,72,397,91,7.6
Delaware St. (MEAC),12,2-10,75,31,307,90,7.5
Alabama A&M (SWAC),12,7-5,70,40,351,90,7.5
Bucknell (Patriot),11,3-8,72,20,357,82,7.5
Lehigh (Patriot),11,4-7,73,18,322,82,7.5
Kennesaw St. (Big South),14,11-3,78,52,368,104,7.4
Hampton (Big South),12,5-7,63,52,383,89,7.4
Alabama St. (SWAC),11,5-6,61,40,336,81,7.4
N.C. A&T (MEAC),12,9-3,60,56,377,88,7.3
Stony Brook (CAA),12,5-7,69,38,311,88,7.3
Grambling (SWAC),11,6-5,57,47,297,80,7.3
Prairie View (SWAC),11,6-5,59,42,378,80,7.3
Montana St. (Big Sky),15,11-4,87,42,431,108,7.2
Illinois St. (MVFC),15,10-5,91,33,432,108,7.2
Eastern Ill. (OVC),12,1-11,54,64,295,86,7.2
Northwestern St. (Southland),12,3-9,58,56,324,86,7.2
Princeton (Ivy League),10,8-2,52,38,250,71,7.1
Youngstown St. (MVFC),12,6-6,67,36,317,85,7.1
Weber St. (Big Sky),15,11-4,91,30,455,106,7.1
Austin Peay (OVC),15,11-4,78,54,415,105,7.0
UNI (MVFC),15,10-5,76,58,434,105,7.0
Indiana St. (MVFC),12,5-7,64,40,293,84,7.0
Jacksonville St. (OVC),12,6-6,62,44,323,84,7.0
N.C. Central (MEAC),12,4-8,66,34,375,83,6.9
LIU (NEC),10,0-10,49,40,254,69,6.9
Alcorn (SWAC),13,9-4,66,46,314,89,6.8
Southern Ill. (MVFC),12,7-5,65,34,351,82,6.8
William & Mary (CAA),12,5-7,57,50,322,82,6.8
Central Ark. (Southland),13,9-4,72,32,304,88,6.8
UAlbany (CAA),14,9-5,69,50,338,94,6.7
The Citadel (SoCon),12,6-6,59,42,297,80,6.7
UC Davis (Big Sky),12,5-7,65,30,290,80,6.7
Portland St. (Big Sky),12,5-7,60,38,292,79,6.6
Richmond (CAA),12,5-7,60,38,318,79,6.6
Bethune-Cookman (MEAC),11,7-4,53,38,227,72,6.5
Florida A&M (MEAC),11,9-2,55,32,227,71,6.5
North Dakota St. (MVFC),16,16-0,71,64,400,103,6.4
Monmouth (Big South),14,11-3,66,48,350,90,6.4
UT Martin (OVC),12,7-5,49,56,285,77,6.4
Central Conn. St. (NEC),13,11-2,52,62,326,83,6.4
Holy Cross (Patriot),13,7-6,74,18,374,83,6.4
Southern U. (SWAC),13,8-5,67,32,345,83,6.4
New Hampshire (CAA),11,6-5,55,30,278,70,6.4
Fordham (Patriot),12,4-8,56,40,299,76,6.3
South Dakota (MVFC),12,5-7,63,24,323,75,6.2
South Dakota St. (MVFC),13,8-5,63,36,336,81,6.2
Penn (Ivy League),10,5-5,40,44,261,62,6.2
Georgetown (Patriot),11,5-6,51,34,334,68,6.2
Jackson St. (SWAC),12,4-8,60,28,275,74,6.2
McNeese (Southland),12,7-5,60,28,336,74,6.2
Sacred Heart (NEC),12,7-5,47,54,248,74,6.2
Furman (SoCon),13,8-5,64,32,276,80,6.2
Wagner (NEC),12,1-11,51,44,277,73,6.1
Southeast Mo. St. (OVC),13,9-4,58,40,283,78,6.0
Towson (CAA),12,7-5,57,30,254,72,6.0
Elon (CAA),11,5-6,45,40,214,65,5.9
Columbia (Ivy League),10,3-7,45,28,224,59,5.9
Villanova (CAA),13,9-4,60,32,309,76,5.8
Maine (CAA),12,6-6,47,46,258,70,5.8
Morgan St. (MEAC),12,3-9,58,24,258,70,5.8
Tennessee St. (OVC),12,3-9,52,36,215,70,5.8
Tennessee Tech (OVC),12,6-6,42,56,249,70,5.8
Valparaiso (Pioneer),12,1-11,54,32,226,70,5.8
Marist (Pioneer),11,4-7,49,30,247,64,5.8
Texas Southern (SWAC),11,0-11,40,48,215,64,5.8
Montana (Big Sky),14,10-4,70,22,385,81,5.8
Idaho (Big Sky),12,5-7,53,32,287,69,5.8
Morehead St. (Pioneer),12,5-7,45,48,220,69,5.8
Samford (SoCon),12,5-7,49,40,249,69,5.8
Murray St. (OVC),12,4-8,56,24,241,68,5.7
Stetson (Pioneer),11,7-4,35,54,236,62,5.6
Norfolk St. (MEAC),12,5-7,49,36,249,67,5.6
San Diego (Pioneer),12,9-3,46,41,224,66,5.5
Cornell (Ivy League),10,4-6,39,32,240,55,5.5
Duquesne (NEC),11,6-5,48,22,186,59,5.4
Colgate (Patriot),12,4-8,49,30,229,64,5.3
North Dakota (FCS Independent),12,7-5,49,30,226,64,5.3
Northern Ariz. (Big Sky),12,4-8,47,34,236,64,5.3
Campbell (Big South),11,6-5,29,58,193,58,5.3
ETSU (SoCon),12,3-9,47,32,212,63,5.2
Nicholls (Southland),14,9-5,60,26,260,73,5.2
VMI (SoCon),12,5-7,40,44,265,62,5.2
