Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Eastern Wash. (Big Sky),12,7-5,937,6298,0.00,0,524.8
Southeastern La. (Southland),13,8-5,1007,6303,0.00,0,484.8
Northern Ariz. (Big Sky),12,4-8,879,5809,0.00,0,484.1
Prairie View (SWAC),11,6-5,782,6330,0.00,0,483.9
Yale (Ivy League),10,9-1,743,4828,0.00,0,482.8
San Diego (Pioneer),12,9-3,796,5700,0.00,0,475.0
Monmouth (Big South),14,11-3,997,6617,0.00,0,472.6
North Dakota St. (MVFC),16,16-0,1023,7906,0.00,0,469.5
Dayton (Pioneer),11,8-3,706,5129,0.00,0,466.3
James Madison (CAA),16,14-2,1183,7452,0.00,0,465.8
Sacramento St. (Big Sky),13,9-4,995,6718,0.00,0,464.1
Houston Christian (Southland),12,5-7,942,6175,0.00,0,462.6
Alabama A&M (SWAC),12,7-5,901,5535,0.00,0,461.2
Villanova (CAA),13,9-4,886,6357,0.00,0,454.8
Brown (Ivy League),10,2-8,782,4545,0.00,0,454.5
Portland St. (Big Sky),12,5-7,845,5843,0.00,0,452.5
Ark.-Pine Bluff (SWAC),11,6-5,753,5311,0.00,0,443.4
N.C. A&T (MEAC),12,9-3,797,5562,0.00,0,442.8
Montana (Big Sky),14,10-4,1036,6163,0.00,0,440.2
South Dakota (MVFC),12,5-7,907,5208,0.00,0,434.0
Davidson (Pioneer),12,8-4,864,5545,0.00,0,433.8
UC Davis (Big Sky),12,5-7,865,5196,0.00,0,433.0
Stetson (Pioneer),11,7-4,804,4745,0.00,0,431.4
Sam Houston (Southland),12,7-5,969,5715,0.00,0,428.0
Montana St. (Big Sky),15,11-4,1061,6398,0.00,0,426.5
Maine (CAA),12,6-6,789,5103,0.00,0,425.2
Princeton (Ivy League),10,8-2,704,4252,0.00,0,425.2
Kennesaw St. (Big South),14,11-3,878,6764,0.00,0,422.0
Jacksonville St. (OVC),12,6-6,855,5033,0.00,0,419.4
Austin Peay (OVC),15,11-4,1059,6288,0.00,0,419.2
Stony Brook (CAA),12,5-7,709,4645,0.00,0,418.9
Southern Ill. (MVFC),12,7-5,816,5023,0.00,0,418.6
UIW (Southland),12,5-7,928,5008,0.00,0,417.3
Texas Southern (SWAC),11,0-11,872,4583,0.00,0,416.6
Central Conn. St. (NEC),13,11-2,811,5407,0.00,0,415.9
Wofford (SoCon),12,8-4,761,4959,0.00,0,413.2
Abilene Christian (Southland),12,5-7,924,5937,0.00,0,412.7
Nicholls (Southland),14,9-5,926,5756,0.00,0,411.1
Grambling (SWAC),11,6-5,802,4521,0.00,0,411.0
Furman (SoCon),13,8-5,831,5769,0.00,0,410.3
Hampton (Big South),12,5-7,849,5325,0.00,0,407.2
VMI (SoCon),12,5-7,892,4887,0.00,0,407.2
Alcorn (SWAC),13,9-4,885,5294,0.00,0,407.2
Samford (SoCon),12,5-7,903,4844,0.00,0,403.7
