Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Florida (SEC),12,8-4,473,321,10,4543,9.6,14.15,46,378.6
Arkansas St. (Sun Belt),11,4-7,463,275,9,4008,8.66,14.57,39,364.4
Alabama (SEC),13,13-0,425,324,4,4656,10.96,14.37,42,358.2
UCF (AAC),10,6-4,415,249,4,3574,8.61,14.35,32,357.4
Fresno St. (Mountain West),6,3-3,248,158,5,2138,8.62,13.53,14,356.3
Clemson (ACC),12,10-2,490,326,6,4182,8.53,12.83,31,348.5
Ole Miss (SEC),10,5-5,335,238,14,3449,10.3,14.49,30,344.9
BYU (FBS Independent),12,11-1,376,273,4,3985,10.6,14.6,34,332.1
Toledo (MAC),6,4-2,219,143,7,1955,8.93,13.67,18,325.8
Kent St. (MAC),4,3-1,126,90,2,1294,10.27,14.38,14,323.5
Southern California (Pac-12),6,5-1,265,178,7,1916,7.23,10.76,17,319.3
Nevada (Mountain West),9,7-2,359,251,4,2872,8.0,11.44,27,319.1
SMU (AAC),10,7-3,376,246,6,3180,8.46,12.93,23,318.0
Oklahoma (Big 12),11,9-2,362,249,8,3465,9.57,13.92,30,315.0
LSU (SEC),10,5-5,421,247,9,3122,7.42,12.64,24,312.2
Purdue (Big Ten),6,2-4,261,176,4,1854,7.1,10.53,15,309.0
Memphis (AAC),11,8-3,423,255,10,3387,8.01,13.28,31,307.9
North Carolina (ACC),12,8-4,357,244,8,3617,10.13,14.82,31,301.4
San Jose St. (Mountain West),8,7-1,288,183,9,2387,8.29,13.04,19,298.4
Mississippi St. (SEC),11,4-7,557,373,18,3259,5.85,8.74,17,296.3
Troy (Sun Belt),11,5-6,456,299,13,3192,7.0,10.68,22,290.2
Stanford (Pac-12),6,4-2,222,145,3,1724,7.77,11.89,7,287.3
Western Mich. (MAC),6,4-2,157,100,2,1719,10.95,17.19,18,286.5
Boston College (ACC),11,6-5,390,242,8,3126,8.02,12.92,23,284.2
North Texas (C-USA),10,4-6,336,185,9,2830,8.42,15.3,28,283.0
Wake Forest (ACC),9,4-5,310,175,5,2533,8.17,14.47,14,281.4
Texas (Big 12),10,7-3,345,208,5,2801,8.12,13.47,32,280.1
West Virginia (Big 12),10,6-4,401,253,4,2775,6.92,10.97,16,277.5
Miami (FL) (ACC),11,8-3,381,239,6,3050,8.01,12.76,26,277.3
Eastern Mich. (MAC),6,2-4,199,126,6,1657,8.33,13.15,12,276.2
Ball St. (MAC),8,7-1,251,164,6,2154,8.58,13.13,17,269.2
Missouri (SEC),10,5-5,363,246,6,2668,7.35,10.85,9,266.8
Texas Tech (Big 12),10,4-6,398,259,11,2667,6.7,10.3,18,266.7
Houston (AAC),8,3-5,297,175,10,2126,7.16,12.15,15,265.8
Maryland (Big Ten),5,2-3,159,98,9,1320,8.3,13.47,9,264.0
NC State (ACC),12,8-4,401,252,15,3154,7.87,12.52,24,262.8
Ohio St. (Big Ten),8,7-1,225,158,6,2100,9.33,13.29,22,262.5
Virginia (ACC),10,5-5,379,221,14,2606,6.88,11.79,22,260.6
Pittsburgh (ACC),11,6-5,425,245,12,2857,6.72,11.66,14,259.7
Penn St. (Big Ten),9,4-5,307,185,9,2304,7.5,12.45,17,256.0
Washington St. (Pac-12),4,1-3,152,94,4,1019,6.7,10.84,6,254.8
Tulsa (AAC),9,6-3,306,173,11,2275,7.43,13.15,15,252.8
Indiana (Big Ten),8,6-2,292,168,5,2007,6.87,11.95,16,250.9
Michigan (Big Ten),6,2-4,213,123,4,1502,7.05,12.21,9,250.3
Georgia (SEC),10,8-2,306,178,11,2499,8.17,14.04,19,249.9
South Alabama (Sun Belt),11,4-7,351,219,6,2719,7.75,12.42,18,247.2
Oregon (Pac-12),7,4-3,191,121,6,1723,9.02,14.24,15,246.1
Louisville (ACC),11,4-7,315,202,12,2686,8.53,13.3,20,244.2
Boise St. (Mountain West),7,5-2,222,139,3,1693,7.63,12.18,12,241.9
Iowa St. (Big 12),12,9-3,373,249,9,2896,7.76,11.63,20,241.3
NIU (MAC),6,0-6,221,127,2,1443,6.53,11.36,11,240.5
Arkansas (SEC),10,3-7,284,183,6,2402,8.46,13.13,20,240.2
Oklahoma St. (Big 12),11,8-3,341,207,10,2635,7.73,12.73,18,239.5
Michigan St. (Big Ten),7,2-5,242,132,12,1672,6.91,12.67,11,238.9
Cincinnati (AAC),10,9-1,295,197,6,2386,8.09,12.11,20,238.6
Texas St. (Sun Belt),12,2-10,406,248,14,2861,7.05,11.54,26,238.4
Miami (OH) (MAC),3,2-1,85,47,1,715,8.41,15.21,8,238.3
Notre Dame (ACC),12,10-2,362,231,3,2849,7.87,12.33,15,237.4
Texas A&M (SEC),10,9-1,302,190,4,2341,7.75,12.32,20,234.1
Coastal Carolina (Sun Belt),12,11-1,287,191,5,2778,9.68,14.54,29,231.5
Hawaii (Mountain West),9,5-4,316,195,6,2083,6.59,10.68,14,231.4
Middle Tenn. (C-USA),9,3-6,311,205,10,2074,6.67,10.12,13,230.4
Liberty (FBS Independent),11,10-1,307,193,7,2534,8.25,13.13,25,230.4
Georgia St. (Sun Belt),10,6-4,307,179,10,2303,7.5,12.87,18,230.3
ULM (Sun Belt),10,0-10,384,224,12,2294,5.97,10.24,14,229.4
East Carolina (AAC),9,3-6,293,176,9,2060,7.03,11.7,19,228.9
