Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Buffalo (MAC),7,6-1,1,9,0.14
Washington (Pac-12),4,3-1,1,2,0.25
Air Force (Mountain West),6,3-3,2,19,0.33
UAB (C-USA),9,6-3,4,24,0.44
Texas A&M (SEC),10,9-1,7,39,0.7
Army West Point (FBS Independent),12,9-3,9,59,0.75
Louisiana (Sun Belt),11,10-1,9,69,0.82
BYU (FBS Independent),12,11-1,12,110,1.0
San Jose St. (Mountain West),8,7-1,8,53,1.0
Coastal Carolina (Sun Belt),12,11-1,14,63,1.17
Colorado (Pac-12),6,4-2,7,40,1.17
Western Mich. (MAC),6,4-2,7,46,1.17
Georgia St. (Sun Belt),10,6-4,12,71,1.2
Marshall (C-USA),10,7-3,12,89,1.2
Ga. Southern (Sun Belt),13,8-5,16,100,1.23
Indiana (Big Ten),8,6-2,10,51,1.25
Kent St. (MAC),4,3-1,5,33,1.25
Iowa St. (Big 12),12,9-3,16,87,1.33
Miami (OH) (MAC),3,2-1,4,23,1.33
Michigan (Big Ten),6,2-4,8,54,1.33
Iowa (Big Ten),8,6-2,11,74,1.38
Kansas St. (Big 12),10,4-6,14,103,1.4
Utah (Pac-12),5,3-2,7,49,1.4
Northwestern (Big Ten),9,7-2,13,99,1.44
Alabama (SEC),13,13-0,19,116,1.46
Arizona St. (Pac-12),4,2-2,6,43,1.5
UTEP (C-USA),8,3-5,12,95,1.5
Kentucky (SEC),11,5-6,17,102,1.55
Oregon (Pac-12),7,4-3,11,56,1.57
Missouri (SEC),10,5-5,16,138,1.6
Texas Tech (Big 12),10,4-6,16,95,1.6
Clemson (ACC),12,10-2,20,153,1.67
Florida (SEC),12,8-4,20,116,1.67
Stanford (Pac-12),6,4-2,10,60,1.67
North Texas (C-USA),10,4-6,17,116,1.7
Oregon St. (Pac-12),7,2-5,12,82,1.71
Temple (AAC),7,1-6,12,55,1.71
UCLA (Pac-12),7,3-4,12,79,1.71
Wisconsin (Big Ten),7,4-3,12,72,1.71
App State (Sun Belt),12,9-3,21,131,1.75
Auburn (SEC),11,6-5,20,101,1.82
Memphis (AAC),11,8-3,20,113,1.82
Minnesota (Big Ten),7,3-4,13,92,1.86
Illinois (Big Ten),8,2-6,15,80,1.88
Cincinnati (AAC),10,9-1,19,113,1.9
Ole Miss (SEC),10,5-5,19,101,1.9
UTSA (C-USA),12,7-5,23,150,1.92
Boise St. (Mountain West),7,5-2,14,70,2.0
Bowling Green (MAC),5,0-5,10,65,2.0
Georgia (SEC),10,8-2,20,153,2.0
Liberty (FBS Independent),11,10-1,22,129,2.0
Nebraska (Big Ten),8,3-5,16,105,2.0
Purdue (Big Ten),6,2-4,12,99,2.0
Troy (Sun Belt),11,5-6,22,161,2.0
Virginia (ACC),10,5-5,20,127,2.0
Virginia Tech (ACC),11,5-6,22,140,2.0
SMU (AAC),10,7-3,21,156,2.1
West Virginia (Big 12),10,6-4,21,142,2.1
Vanderbilt (SEC),9,0-9,19,133,2.11
San Diego St. (Mountain West),8,4-4,17,107,2.12
Notre Dame (ACC),12,10-2,26,137,2.17
Oklahoma (Big 12),11,9-2,24,144,2.18
UCF (AAC),10,6-4,22,139,2.2
Fla. Atlantic (C-USA),9,5-4,20,140,2.22
Nevada (Mountain West),9,7-2,20,151,2.22
Houston (AAC),8,3-5,18,108,2.25
Texas St. (Sun Belt),12,2-10,27,202,2.25
Washington St. (Pac-12),4,1-3,9,66,2.25
Michigan St. (Big Ten),7,2-5,16,121,2.29
New Mexico (Mountain West),7,2-5,16,108,2.29
Georgia Tech (ACC),10,3-7,23,146,2.3
Navy (AAC),10,3-7,23,123,2.3
TCU (Big 12),10,6-4,23,158,2.3
Texas (Big 12),10,7-3,23,143,2.3
Central Mich. (MAC),6,3-3,14,97,2.33
NIU (MAC),6,0-6,14,91,2.33
Tulsa (AAC),9,6-3,21,132,2.33
Utah St. (Mountain West),6,1-5,14,75,2.33
Western Ky. (C-USA),12,5-7,28,175,2.33
Oklahoma St. (Big 12),11,8-3,26,161,2.36
Pittsburgh (ACC),11,6-5,26,191,2.36
Southern Miss. (C-USA),10,3-7,24,155,2.4
Rutgers (Big Ten),9,3-6,22,156,2.44
LSU (SEC),10,5-5,25,145,2.5
Massachusetts (FBS Independent),4,0-4,10,56,2.5
Southern California (Pac-12),6,5-1,15,108,2.5
Toledo (MAC),6,4-2,15,104,2.5
Boston College (ACC),11,6-5,28,226,2.55
East Carolina (AAC),9,3-6,23,145,2.56
Middle Tenn. (C-USA),9,3-6,23,120,2.56
Ohio St. (Big Ten),8,7-1,21,133,2.62
Arkansas St. (Sun Belt),11,4-7,29,198,2.64
Charlotte (C-USA),6,2-4,16,88,2.67
NC State (ACC),12,8-4,32,264,2.67
Wyoming (Mountain West),6,2-4,16,101,2.67
South Carolina (SEC),10,2-8,27,150,2.7
ULM (Sun Belt),10,0-10,27,167,2.7
Louisville (ACC),11,4-7,30,178,2.73
