Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
New Hampshire (CAA),1,0-1,5,13,2,20
Montana (Big Sky),2,2-0,7,12,4,23
Portland St. (Big Sky),1,0-1,13,12,0,25
Howard (MEAC),2,0-2,20,9,2,31
Wagner (NEC),2,0-2,15,19,4,38
Colgate (Patriot),2,0-2,18,19,3,40
Texas Southern (SWAC),2,0-2,22,18,2,42
Lehigh (Patriot),3,0-3,17,24,4,45
Fordham (Patriot),3,2-1,23,21,5,49
Bryant (NEC),4,2-2,26,19,6,51
Prairie View (SWAC),3,2-1,21,25,6,52
Bucknell (Patriot),4,2-2,19,33,4,56
Lafayette (Patriot),3,2-1,16,36,4,56
William & Mary (CAA),3,1-2,31,23,2,56
Richmond (CAA),4,3-1,17,36,4,57
Monmouth (Big South),4,3-1,19,35,4,58
Mississippi Val. (SWAC),3,0-3,17,38,4,59
Illinois St. (MVFC),4,1-3,24,35,2,61
Rhode Island (CAA),3,2-1,33,24,5,62
UAlbany (CAA),4,1-3,30,31,5,66
Charleston So. (Big South),4,2-2,36,28,4,68
Holy Cross (Patriot),4,3-1,21,42,7,70
Robert Morris (Big South),3,0-3,36,27,7,70
Stetson (Pioneer),4,0-4,37,30,4,71
Chattanooga (SoCon),5,3-2,42,24,6,72
San Diego (Pioneer),6,4-2,29,37,9,75
Grambling (SWAC),4,0-4,37,37,2,76
South Carolina St. (MEAC),4,3-1,31,33,12,76
Stony Brook (CAA),4,1-3,21,47,8,76
Gardner-Webb (Big South),4,2-2,27,46,4,77
Alabama A&M (SWAC),4,4-0,30,42,6,78
Drake (Pioneer),5,2-3,32,44,5,81
South Dakota (MVFC),4,1-3,49,32,1,82
Sacred Heart (NEC),5,3-2,28,43,12,83
Maine (CAA),4,2-2,42,32,10,84
Cal Poly (Big Sky),3,0-3,40,44,2,86
Duquesne (NEC),5,4-1,51,28,8,87
LIU (NEC),4,2-2,34,49,5,88
Valparaiso (Pioneer),6,4-2,38,47,3,88
Kennesaw St. (Big South),5,4-1,35,46,8,89
Villanova (CAA),4,2-2,28,46,16,90
Alabama St. (SWAC),5,2-3,38,42,12,92
Southern U. (SWAC),5,4-1,43,44,5,92
Wofford (SoCon),5,1-4,37,47,14,98
Delaware St. (MEAC),5,2-3,46,42,11,99
UC Davis (Big Sky),5,3-2,39,53,8,100
Campbell (Big South),4,0-4,64,31,6,101
UNI (MVFC),7,3-4,40,59,4,103
Ark.-Pine Bluff (SWAC),5,4-1,32,53,22,107
Furman (SoCon),7,3-4,53,49,5,107
Delaware (CAA),8,7-1,52,43,13,108
ETSU (SoCon),6,4-2,46,52,12,110
James Madison (CAA),8,7-1,33,63,16,112
Eastern Ill. (OVC),6,1-5,42,68,5,115
UT Martin (OVC),7,3-4,47,53,16,116
Tennessee Tech (OVC),7,2-5,46,58,13,117
Northern Ariz. (Big Sky),5,3-2,49,60,12,121
Idaho St. (Big Sky),6,2-4,41,72,10,123
Abilene Christian (Southland),6,1-5,63,45,16,124
Elon (CAA),6,1-5,67,51,7,125
Houston Christian (Southland),4,1-3,45,67,14,126
Nicholls (Southland),7,4-3,46,69,11,126
Youngstown St. (MVFC),7,1-6,66,51,9,126
Butler (Pioneer),6,0-6,56,66,5,127
Jackson St. (SWAC),6,3-3,56,61,10,127
Presbyterian (Pioneer),7,4-3,61,54,13,128
Idaho (Big Sky),6,2-4,41,76,12,129
North Dakota (MVFC),7,5-2,56,65,8,129
Weber St. (Big Sky),6,5-1,51,67,12,130
Western Ill. (MVFC),6,1-5,76,51,8,135
Davidson (Pioneer),7,4-3,53,77,9,139
Southern Utah (Big Sky),6,1-5,56,67,17,140
Tennessee St. (OVC),7,2-5,65,59,17,141
Northwestern St. (Southland),6,1-5,57,79,7,143
Southeast Mo. St. (OVC),8,4-4,63,58,22,143
Lamar University (Southland),6,2-4,73,66,6,145
Murray St. (OVC),7,5-2,71,60,14,145
VMI (SoCon),8,6-2,73,65,8,146
Morehead St. (Pioneer),7,4-3,83,52,12,147
Eastern Wash. (Big Sky),7,5-2,74,58,18,150
Samford (SoCon),7,4-3,86,61,8,155
North Dakota St. (MVFC),10,7-3,69,84,9,162
McNeese (Southland),7,3-4,66,84,13,163
South Dakota St. (MVFC),10,8-2,71,79,15,165
Missouri St. (MVFC),10,5-5,65,94,15,174
Austin Peay (OVC),9,4-5,73,81,23,177
Southeastern La. (Southland),7,4-3,90,71,16,177
UIW (Southland),6,3-3,71,95,11,177
SFA (Southland),10,6-4,86,93,14,193
Central Ark. (Southland),9,5-4,77,98,21,196
Sam Houston (Southland),10,10-0,58,121,20,199
Southern Ill. (MVFC),10,6-4,103,81,20,204
The Citadel (SoCon),12,2-10,99,90,17,206
Mercer (SoCon),11,5-6,106,97,16,219
Eastern Ky. (OVC),9,3-6,104,98,18,220
Jacksonville St. (OVC),13,10-3,84,115,37,236
Western Caro. (SoCon),9,1-8,135,100,12,247
Merrimack (NEC),3,0-3,33,14,9,56
North Ala. (FCS Independent),4,0-4,46,38,5,89
Utah Tech (FCS Independent),5,2-3,64,38,5,107
Tarleton St. (FCS Independent),8,5-3,64,59,15,138
