Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Fordham (Patriot),3,2-1,3,8,11,2,3,5,6,2.00
Montana (Big Sky),2,2-0,1,3,4,0,1,1,3,1.50
Delaware (CAA),8,7-1,7,11,18,3,4,7,11,1.38
Murray St. (OVC),7,5-2,4,11,15,1,5,6,9,1.29
Monmouth (Big South),4,3-1,3,5,8,1,2,3,5,1.25
South Dakota (MVFC),4,1-3,6,5,11,2,4,6,5,1.25
Davidson (Pioneer),7,4-3,9,5,14,3,3,6,8,1.14
Morehead St. (Pioneer),7,4-3,5,14,19,4,7,11,8,1.14
Samford (SoCon),7,4-3,10,8,18,3,7,10,8,1.14
LIU (NEC),4,2-2,2,7,9,3,2,5,4,1.00
Northern Ariz. (Big Sky),5,3-2,6,3,9,0,4,4,5,1.00
SFA (Southland),10,6-4,9,14,23,6,7,13,10,1.00
North Dakota (MVFC),7,5-2,7,8,15,4,5,9,6,0.86
Ark.-Pine Bluff (SWAC),5,4-1,7,8,15,5,6,11,4,0.80
Holy Cross (Patriot),4,3-1,2,7,9,4,2,6,3,0.75
Houston Christian (Southland),4,1-3,1,5,6,1,2,3,3,0.75
Villanova (CAA),4,2-2,2,3,5,0,2,2,3,0.75
Southeastern La. (Southland),7,4-3,5,9,14,5,4,9,5,0.71
Tennessee St. (OVC),7,2-5,4,6,10,1,4,5,5,0.71
Sam Houston (Southland),10,10-0,14,9,23,6,10,16,7,0.70
South Dakota St. (MVFC),10,8-2,5,12,17,6,4,10,7,0.70
Jackson St. (SWAC),6,3-3,6,5,11,3,4,7,4,0.67
Weber St. (Big Sky),6,5-1,3,9,12,5,3,8,4,0.67
Chattanooga (SoCon),5,3-2,4,4,8,1,4,5,3,0.60
Bryant (NEC),4,2-2,5,3,8,2,4,6,2,0.50
Lamar University (Southland),6,2-4,2,10,12,3,6,9,3,0.50
Western Ill. (MVFC),6,1-5,7,5,12,3,6,9,3,0.50
Central Ark. (Southland),9,5-4,14,9,23,7,12,19,4,0.44
Western Caro. (SoCon),9,1-8,8,6,14,2,8,10,4,0.44
Drake (Pioneer),5,2-3,6,4,10,3,5,8,2,0.40
Cal Poly (Big Sky),3,0-3,2,3,5,1,3,4,1,0.33
