Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Coastal Carolina (Sun Belt),13,11-2,143,77,0.538
Ohio St. (Big Ten),13,11-2,155,81,0.523
Alabama (SEC),15,13-2,225,117,0.52
Oregon (Pac-12),14,10-4,180,92,0.511
Kentucky (SEC),13,10-3,151,76,0.503
Wake Forest (ACC),14,11-3,230,113,0.491
Oregon St. (Pac-12),13,7-6,162,79,0.488
Utah (Pac-12),14,10-4,170,82,0.482
Army West Point (FBS Independent),13,9-4,176,82,0.466
Western Ky. (C-USA),14,9-5,174,81,0.466
TCU (Big 12),12,5-7,165,76,0.461
UCLA (Pac-12),12,8-4,163,75,0.46
Buffalo (MAC),12,4-8,187,86,0.46
Virginia (ACC),12,6-6,159,73,0.459
BYU (FBS Independent),13,10-3,157,72,0.459
Michigan (Big Ten),14,12-2,190,87,0.458
Mississippi St. (SEC),13,7-6,173,79,0.457
Western Mich. (MAC),13,8-5,182,83,0.456
Southern California (Pac-12),12,4-8,179,81,0.453
Air Force (Mountain West),13,10-3,196,88,0.449
Utah St. (Mountain West),14,11-3,223,100,0.448
Missouri (SEC),13,6-7,192,86,0.448
Georgia (SEC),15,14-1,172,77,0.448
Minnesota (Big Ten),13,9-4,170,76,0.447
Tennessee (SEC),13,7-6,179,80,0.447
Arizona St. (Pac-12),13,8-5,150,67,0.447
Washington (Pac-12),12,4-8,169,75,0.444
Boise St. (Mountain West),12,7-5,181,80,0.442
Pittsburgh (ACC),14,11-3,204,90,0.441
Kansas St. (Big 12),13,8-5,146,64,0.438
Texas (Big 12),12,5-7,160,70,0.438
UTSA (C-USA),14,12-2,197,86,0.437
Purdue (Big Ten),13,9-4,188,82,0.436
Kent St. (MAC),14,7-7,202,88,0.436
SMU (AAC),12,8-4,168,73,0.435
Wyoming (Mountain West),13,7-6,173,75,0.434
North Carolina (ACC),13,6-7,164,71,0.433
Oklahoma St. (Big 12),14,12-2,219,94,0.429
Liberty (FBS Independent),13,8-5,161,69,0.429
Texas Tech (Big 12),13,7-6,157,67,0.427
Fresno St. (Mountain West),13,10-3,183,78,0.426
Fla. Atlantic (C-USA),12,5-7,176,75,0.426
Marshall (C-USA),13,7-6,169,72,0.426
Oklahoma (Big 12),13,11-2,148,63,0.426
Duke (ACC),12,3-9,203,86,0.424
Notre Dame (FBS Independent),13,11-2,182,77,0.423
Houston (AAC),14,12-2,197,83,0.421
Baylor (Big 12),14,12-2,183,77,0.421
Nevada (Mountain West),13,8-5,188,79,0.42
Miami (FL) (ACC),12,7-5,174,73,0.42
Old Dominion (C-USA),13,6-7,191,80,0.419
Georgia St. (Sun Belt),13,8-5,172,72,0.419
Eastern Mich. (MAC),13,7-6,175,73,0.417
Florida (SEC),13,6-7,174,72,0.414
