Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Jackson St. (SWAC),13,12-1,156,353,1760,8,4.99,11.28,135.4
Delaware (CAA),13,8-5,151,303,1791,10,5.91,11.86,137.8
Sacred Heart (NEC),11,5-6,152,276,1748,21,6.33,11.50,158.9
Howard (MEAC),11,5-6,152,277,1858,11,6.71,12.22,168.9
Illinois St. (MVFC),11,6-5,159,270,1868,10,6.92,11.75,169.8
Prairie View (SWAC),11,6-5,172,304,1886,14,6.20,10.97,171.5
North Dakota St. (MVFC),15,12-3,256,418,2586,18,6.19,10.10,172.4
South Carolina St. (MEAC),11,3-8,144,282,1926,20,6.83,13.38,175.1
Saint Francis (PA) (NEC),12,9-3,192,349,2124,17,6.09,11.06,177.0
Weber St. (Big Sky),13,10-3,255,446,2302,17,5.16,9.03,177.1
Marist (Pioneer),11,4-7,175,309,1951,15,6.31,11.15,177.4
Montana (Big Sky),13,8-5,229,400,2386,10,5.96,10.42,183.5
Drake (Pioneer),11,3-8,187,309,2031,16,6.57,10.86,184.6
South Dakota St. (MVFC),15,14-1,238,422,2789,15,6.61,11.72,185.9
Duquesne (NEC),11,4-7,169,288,2053,15,7.13,12.15,186.6
Dartmouth (Ivy League),10,3-7,205,289,1875,6,6.49,9.15,187.5
Austin Peay (ASUN),11,7-4,176,336,2076,16,6.18,11.80,188.7
Southern U. (SWAC),12,7-5,208,371,2276,19,6.13,10.94,189.7
Idaho (Big Sky),12,7-5,185,337,2280,18,6.77,12.32,190.0
Tennessee St. (OVC),11,4-7,201,329,2090,16,6.35,10.40,190.0
Florida A&M (SWAC),11,9-2,194,352,2094,18,5.95,10.79,190.4
N.C. A&T (Big South),11,7-4,185,328,2101,17,6.41,11.36,191.0
Villanova (CAA),11,6-5,212,325,2113,23,6.50,9.97,192.1
Alabama St. (SWAC),11,6-5,196,342,2119,11,6.20,10.81,192.6
Alcorn (SWAC),11,5-6,175,300,2143,14,7.14,12.25,194.8
The Citadel (SoCon),11,4-7,165,264,2143,18,8.12,12.99,194.8
Texas Southern (SWAC),11,5-6,170,296,2170,17,7.33,12.76,197.3
UIW (Southland),14,12-2,246,472,2770,14,5.87,11.26,197.9
Delaware St. (MEAC),11,5-6,165,309,2188,15,7.08,13.26,198.9
Bucknell (Patriot),11,3-8,219,370,2190,15,5.92,10.00,199.1
William & Mary (CAA),13,11-2,224,397,2589,14,6.52,11.56,199.2
Grambling (SWAC),11,3-8,197,326,2202,18,6.75,11.18,200.2
Davidson (Pioneer),12,8-4,197,348,2403,23,6.91,12.20,200.2
Stetson (Pioneer),10,4-6,164,294,2008,11,6.83,12.24,200.8
Bethune-Cookman (SWAC),11,2-9,177,279,2214,20,7.94,12.51,201.3
Butler (Pioneer),11,7-4,184,318,2242,13,7.05,12.18,203.8
Central Conn. St. (NEC),11,2-9,178,309,2243,19,7.26,12.60,203.9
N.C. Central (MEAC),12,10-2,216,368,2447,19,6.65,11.33,203.9
UAlbany (CAA),11,3-8,182,288,2252,22,7.82,12.37,204.7
Morgan St. (MEAC),11,4-7,201,357,2271,21,6.36,11.30,206.5
Rhode Island (CAA),11,7-4,202,333,2272,15,6.82,11.25,206.5
Robert Morris (Big South),11,0-11,191,307,2272,25,7.40,11.90,206.5
Western Caro. (SoCon),11,6-5,177,301,2285,24,7.59,12.91,207.7
Eastern Ky. (ASUN),12,7-5,203,361,2506,21,6.94,12.34,208.8
Princeton (Ivy League),10,8-2,247,370,2090,11,5.65,8.46,209.0
Elon (CAA),12,8-4,232,387,2512,19,6.49,10.83,209.3
Holy Cross (Patriot),13,12-1,238,434,2754,25,6.35,11.57,211.8
Campbell (Big South),11,5-6,181,293,2337,21,7.98,12.91,212.5
Chattanooga (SoCon),11,7-4,209,310,2361,19,7.62,11.30,214.6
Eastern Wash. (Big Sky),11,3-8,184,281,2367,25,8.42,12.86,215.2
Ark.-Pine Bluff (SWAC),11,3-8,178,290,2373,24,8.18,13.33,215.7
Jacksonville St. (ASUN),11,9-2,186,329,2376,18,7.22,12.77,216.0
Richmond (CAA),13,9-4,222,396,2817,18,7.11,12.69,216.7
Mercer (SoCon),11,7-4,226,373,2390,12,6.41,10.58,217.3
Towson (CAA),11,6-5,180,324,2391,23,7.38,13.28,217.4
McNeese (Southland),11,4-7,185,308,2412,23,7.83,13.04,219.3
Montana St. (Big Sky),14,12-2,268,428,3083,26,7.20,11.50,220.2
South Dakota (MVFC),11,3-8,217,331,2427,20,7.33,11.18,220.6
Wagner (NEC),11,1-10,185,297,2439,23,8.21,13.18,221.7
Hampton (CAA),11,4-7,218,318,2442,24,7.68,11.20,222.0
VMI (SoCon),11,1-10,217,318,2445,25,7.69,11.27,222.3
Indiana St. (MVFC),11,2-9,211,332,2452,19,7.39,11.62,222.9
Morehead St. (Pioneer),11,2-9,187,300,2458,22,8.19,13.14,223.5
New Hampshire (CAA),13,9-4,230,393,2927,23,7.45,12.73,225.2
Alabama A&M (SWAC),11,4-7,183,346,2485,26,7.18,13.58,225.9
North Dakota (MVFC),12,7-5,214,325,2722,24,8.38,12.72,226.8
Georgetown (Patriot),11,2-9,190,304,2506,21,8.24,13.19,227.8
LIU (NEC),11,4-7,194,313,2536,20,8.10,13.07,230.5
SFA (ASUN),11,6-5,186,338,2536,23,7.50,13.63,230.5
Brown (Ivy League),10,3-7,181,309,2306,23,7.46,12.74,230.6
Western Ill. (MVFC),11,0-11,202,305,2538,14,8.32,12.56,230.7
Cornell (Ivy League),10,5-5,177,307,2308,13,7.52,13.04,230.8
San Diego (Pioneer),10,5-5,189,343,2312,16,6.74,12.23,231.2
Norfolk St. (MEAC),11,2-9,199,286,2547,29,8.91,12.80,231.5
UNI (MVFC),11,6-5,225,341,2553,15,7.49,11.35,232.1
Central Ark. (ASUN),11,5-6,198,349,2554,17,7.32,12.90,232.2
UC Davis (Big Sky),11,6-5,216,364,2554,15,7.02,11.82,232.2
