Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Merrimack (NEC),11,5-6,28,123,0.228
Florida A&M (SWAC),12,11-1,45,163,0.276
Montana (Big Sky),13,12-1,56,192,0.292
Richmond (CAA),13,9-4,46,157,0.293
Youngstown St. (MVFC),13,8-5,42,143,0.294
Alabama St. (SWAC),11,7-4,45,149,0.302
UIW (Southland),10,8-2,43,142,0.303
Austin Peay (ASUN),12,9-3,57,188,0.303
Furman (SoCon),13,10-3,59,183,0.322
Tennessee Tech (OVC),11,4-7,51,158,0.323
Villanova (CAA),13,10-3,57,176,0.324
San Diego (Pioneer),11,4-7,46,142,0.324
North Dakota St. (MVFC),14,11-3,53,163,0.325
Davidson (Pioneer),11,7-4,41,126,0.325
UC Davis (Big Sky),11,7-4,51,156,0.327
UT Martin (OVC),11,8-3,60,183,0.328
William & Mary (CAA),11,6-5,42,128,0.328
Dartmouth (Ivy League),10,6-4,46,140,0.329
Southern Utah (ASUN),11,6-5,51,155,0.329
Bethune-Cookman (SWAC),11,3-8,45,136,0.331
New Hampshire (CAA),11,6-5,47,141,0.333
Sacred Heart (NEC),11,2-9,49,146,0.336
Montana St. (Big Sky),12,8-4,52,154,0.338
Delaware (CAA),13,9-4,58,171,0.339
Jackson St. (SWAC),11,7-4,48,141,0.340
Northwestern St. (Southland),6,0-6,30,87,0.345
Butler (Pioneer),11,7-4,49,142,0.345
South Dakota St. (MVFC),13,13-0,55,159,0.346
Alcorn (SWAC),11,7-4,51,146,0.349
Central Ark. (ASUN),11,7-4,52,148,0.351
N.C. Central (MEAC),12,9-3,52,148,0.351
Morgan St. (MEAC),10,4-6,49,139,0.353
Gardner-Webb (OVC),12,7-5,66,187,0.353
South Carolina St. (MEAC),11,5-6,48,136,0.353
Samford (SoCon),11,6-5,53,150,0.353
North Ala. (ASUN),11,3-8,54,152,0.355
Princeton (Ivy League),10,5-5,58,163,0.356
Tennessee St. (OVC),11,6-5,57,160,0.356
Mercer (SoCon),13,9-4,67,186,0.360
Valparaiso (Pioneer),11,3-8,58,161,0.360
Mississippi Val. (SWAC),11,1-10,49,136,0.360
Alabama A&M (SWAC),11,5-6,53,147,0.361
Nicholls (Southland),11,6-5,53,147,0.361
Prairie View (SWAC),12,6-6,52,143,0.364
Eastern Ill. (OVC),11,8-3,54,148,0.365
Columbia (Ivy League),10,3-7,57,155,0.368
Kennesaw St. (FCS Independent),9,3-6,47,127,0.370
UAlbany (CAA),14,11-3,76,205,0.371
VMI (SoCon),11,5-6,57,153,0.373
Chattanooga (SoCon),13,8-5,65,174,0.374
Southern Ill. (MVFC),13,8-5,68,182,0.374
Southern U. (SWAC),11,6-5,61,162,0.377
Southeast Mo. St. (OVC),11,4-7,58,154,0.377
Georgetown (Patriot),11,5-6,52,138,0.377
Grambling (SWAC),11,5-6,54,143,0.378
Stetson (Pioneer),11,3-8,48,127,0.378
Rhode Island (CAA),11,6-5,57,150,0.380
Weber St. (Big Sky),11,6-5,64,168,0.381
Drake (Pioneer),12,8-4,61,160,0.381
Lafayette (Patriot),12,9-3,63,165,0.382
Wagner (NEC),11,4-7,52,136,0.382
Howard (MEAC),11,6-5,51,133,0.383
Robert Morris (OVC),11,4-7,48,125,0.384
Central Conn. St. (NEC),11,3-8,55,143,0.385
Charleston So. (OVC),11,4-7,62,160,0.388
Sacramento St. (Big Sky),13,8-5,69,178,0.388
LIU (NEC),11,4-7,60,154,0.390
SFA (ASUN),11,3-8,53,136,0.390
Norfolk St. (MEAC),11,3-8,46,117,0.393
Presbyterian (Pioneer),11,4-7,64,162,0.395
Duquesne (NEC),12,7-5,63,159,0.396
Monmouth (CAA),11,4-7,56,141,0.397
Dayton (Pioneer),11,4-7,58,145,0.400
Southeastern La. (Southland),11,3-8,56,140,0.400
Penn (Ivy League),10,6-4,65,162,0.401
ETSU (SoCon),11,3-8,63,157,0.401
N.C. A&T (CAA),11,1-10,55,137,0.401
Northern Ariz. (Big Sky),11,5-6,58,143,0.406
Bryant (OVC),11,6-5,63,155,0.406
UNI (MVFC),11,6-5,58,142,0.408
Wofford (SoCon),11,2-9,63,154,0.409
Elon (CAA),11,6-5,64,156,0.410
Fordham (Patriot),11,6-5,61,148,0.412
Harvard (Ivy League),10,8-2,66,160,0.412
Cal Poly (Big Sky),11,3-8,57,138,0.413
Ark.-Pine Bluff (SWAC),11,2-9,56,134,0.418
Abilene Christian (ASUN),11,5-6,65,155,0.419
The Citadel (SoCon),11,0-11,47,112,0.420
South Dakota (MVFC),13,10-3,68,162,0.420
Yale (Ivy League),10,7-3,68,162,0.420
Illinois St. (MVFC),11,6-5,64,152,0.421
Lehigh (Patriot),11,2-9,67,157,0.427
Texas Southern (SWAC),11,3-8,73,170,0.429
Eastern Ky. (ASUN),11,5-6,65,151,0.430
Western Caro. (SoCon),11,7-4,64,148,0.432
Idaho (Big Sky),13,9-4,79,182,0.434
Marist (Pioneer),11,4-7,56,129,0.434
Morehead St. (Pioneer),11,4-7,66,152,0.434
Eastern Wash. (Big Sky),11,4-7,61,140,0.436
Indiana St. (MVFC),11,1-10,62,142,0.437
Colgate (Patriot),11,6-5,66,151,0.437
Idaho St. (Big Sky),11,3-8,64,146,0.438
Stony Brook (CAA),10,0-10,54,123,0.439
Houston Christian (Southland),10,5-5,63,142,0.444
Missouri St. (MVFC),11,4-7,64,144,0.444
Saint Francis (PA) (NEC),10,4-6,63,141,0.447
Cornell (Ivy League),10,3-7,56,124,0.452
Delaware St. (MEAC),11,1-10,54,119,0.454
Portland St. (Big Sky),11,5-6,60,132,0.455
Campbell (CAA),11,5-6,66,145,0.455
Lamar University (Southland),11,6-5,62,136,0.456
Bucknell (Patriot),11,4-7,74,161,0.460
Hampton (CAA),11,5-6,66,141,0.468
Holy Cross (Patriot),11,7-4,71,151,0.470
Brown (Ivy League),10,5-5,70,148,0.473
Murray St. (MVFC),11,2-9,67,137,0.489
North Dakota (MVFC),12,7-5,75,153,0.490
Maine (CAA),11,2-9,70,141,0.496
Northern Colo. (Big Sky),11,0-11,69,137,0.504
Towson (CAA),11,5-6,76,150,0.507
Western Ill. (MVFC),11,0-11,60,116,0.517
McNeese (Southland),10,0-10,73,134,0.545
Stonehill (NEC),10,5-5,49,135,0.363
St. Thomas (MN) (Pioneer),11,8-3,53,143,0.371
Lindenwood (OVC),10,3-7,50,134,0.373
Tarleton St. (ASUN),11,8-3,67,178,0.376
Tex. A&M-Commerce (Southland),10,1-9,54,134,0.403
Utah Tech (ASUN),11,2-9,65,140,0.464
