3rd Down Rank,Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
1,Washington (Pac-12),12,10-2,163,93,0.571
2,Minnesota (Big Ten),12,8-4,156,82,0.526
3,Florida St. (ACC),12,9-3,156,81,0.519
4,Southern California (Pac-12),13,11-2,153,79,0.516
5,Georgia (SEC),13,13-0,159,82,0.516
6,UCLA (Pac-12),12,9-3,153,78,0.51
7,Kansas (Big 12),12,6-6,141,71,0.504
8,UTSA (C-USA),13,11-2,175,87,0.497
9,Utah (Pac-12),13,10-3,161,80,0.497
10,Clemson (ACC),13,11-2,193,94,0.487
11,Ole Miss (SEC),12,8-4,174,83,0.477
12,Houston (AAC),12,7-5,162,77,0.475
13,North Carolina (ACC),13,9-4,186,88,0.473
14,LSU (SEC),13,9-4,167,79,0.473
15,Ga. Southern (Sun Belt),12,6-6,180,85,0.472
16,UCF (AAC),13,9-4,195,92,0.472
17,SMU (AAC),12,7-5,185,87,0.47
18,Michigan (Big Ten),13,13-0,173,81,0.468
19,East Carolina (AAC),12,7-5,170,79,0.465
19,Wake Forest (ACC),12,7-5,170,79,0.465
21,Ohio St. (Big Ten),12,11-1,154,71,0.461
22,Alabama (SEC),12,10-2,152,70,0.461
23,Oregon (Pac-12),12,9-3,150,69,0.46
24,Notre Dame (FBS Independent),12,8-4,157,72,0.459
25,Memphis (AAC),12,6-6,180,82,0.456
26,Fresno St. (Mountain West),13,9-4,165,75,0.455
27,Arkansas (SEC),12,6-6,179,81,0.453
28,Eastern Mich. (MAC),12,8-4,162,73,0.451
29,BYU (FBS Independent),12,7-5,145,65,0.448
30,Air Force (Mountain West),12,9-3,160,71,0.444
31,UAB (C-USA),12,6-6,154,68,0.442
32,Army West Point (FBS Independent),12,6-6,159,69,0.434
33,Fla. Atlantic (C-USA),12,5-7,190,82,0.432
34,Tennessee (SEC),12,10-2,153,66,0.431
35,South Alabama (Sun Belt),12,10-2,179,77,0.43
36,Baylor (Big 12),12,6-6,168,72,0.429
36,Coastal Carolina (Sun Belt),12,9-3,161,69,0.429
38,Oregon St. (Pac-12),12,9-3,142,60,0.423
39,Arizona (Pac-12),12,5-7,147,62,0.422
40,North Texas (C-USA),13,7-6,171,72,0.421
41,Iowa St. (Big 12),12,4-8,191,80,0.419
42,Duke (ACC),12,8-4,158,66,0.418
42,Rice (C-USA),12,5-7,158,66,0.418
44,Ohio (MAC),13,9-4,171,71,0.415
45,Wisconsin (Big Ten),12,6-6,155,64,0.413
46,West Virginia (Big 12),12,5-7,177,73,0.412
47,Kent St. (MAC),12,5-7,175,72,0.411
47,Western Ky. (C-USA),13,8-5,175,72,0.411
49,Florida (SEC),12,6-6,154,63,0.409
50,Maryland (Big Ten),12,7-5,179,73,0.408
51,Georgia St. (Sun Belt),12,4-8,182,74,0.407
52,Pittsburgh (ACC),12,8-4,161,65,0.404
53,Miami (FL) (ACC),12,5-7,166,67,0.404
54,TCU (Big 12),13,12-1,174,70,0.402
55,ULM (Sun Belt),12,4-8,167,67,0.401
56,Nebraska (Big Ten),12,4-8,165,66,0.4
57,Boise St. (Mountain West),13,9-4,178,71,0.399
57,Oklahoma (Big 12),12,6-6,178,71,0.399
59,Purdue (Big Ten),13,8-5,191,76,0.398
60,Arizona St. (Pac-12),12,3-9,151,60,0.397
60,James Madison (Sun Belt),11,8-3,151,60,0.397
62,Charlotte (C-USA),12,3-9,159,63,0.396
63,Tulsa (AAC),12,5-7,170,67,0.394
64,South Carolina (SEC),12,8-4,145,57,0.393
65,NIU (MAC),12,3-9,171,67,0.392
66,Louisiana (Sun Belt),12,6-6,174,68,0.391
66,Missouri (SEC),12,6-6,174,68,0.391
68,South Fla. (AAC),12,1-11,151,59,0.391
69,UTEP (C-USA),12,5-7,169,66,0.391
70,Kansas St. (Big 12),13,10-3,177,69,0.39
71,Mississippi St. (SEC),12,8-4,162,63,0.389
72,Michigan St. (Big Ten),12,5-7,152,59,0.388
73,Texas (Big 12),12,8-4,150,58,0.387
74,Illinois (Big Ten),12,8-4,176,68,0.386
75,Toledo (MAC),13,8-5,192,74,0.385
76,Tulane (AAC),13,11-2,164,63,0.384
77,App State (Sun Belt),12,6-6,155,59,0.381
78,Cincinnati (AAC),12,9-3,169,64,0.379
79,Stanford (Pac-12),12,3-9,164,62,0.378
80,Navy (AAC),12,4-8,196,74,0.378
81,UConn (FBS Independent),12,6-6,167,63,0.377
82,Marshall (Sun Belt),12,8-4,192,72,0.375
83,Northwestern (Big Ten),12,1-11,193,72,0.373
84,Liberty (FBS Independent),12,8-4,167,62,0.371
85,NC State (ACC),12,8-4,178,66,0.371
86,Washington St. (Pac-12),12,7-5,162,60,0.37
87,Texas Tech (Big 12),12,7-5,192,71,0.37
88,Kentucky (SEC),12,7-5,152,56,0.368
88,Vanderbilt (SEC),12,5-7,171,63,0.368
90,Louisville (ACC),12,7-5,163,60,0.368
91,Buffalo (MAC),12,6-6,193,71,0.368
92,Ball St. (MAC),12,5-7,185,68,0.368
92,Texas St. (Sun Belt),12,4-8,185,68,0.368
94,Louisiana Tech (C-USA),12,3-9,177,65,0.367
95,Penn St. (Big Ten),12,10-2,167,61,0.365
96,San Jose St. (Mountain West),11,7-4,137,50,0.365
97,Oklahoma St. (Big 12),12,7-5,190,69,0.363
98,Syracuse (ACC),12,7-5,138,50,0.362
99,New Mexico St. (FBS Independent),12,6-6,147,53,0.361
100,Auburn (SEC),12,5-7,178,64,0.36
101,Texas A&M (SEC),12,5-7,153,55,0.359
102,Middle Tenn. (C-USA),12,7-5,185,66,0.357
103,Nevada (Mountain West),12,2-10,194,69,0.356
104,Central Mich. (MAC),12,4-8,169,60,0.355
105,California (Pac-12),12,4-8,167,59,0.353
106,Southern Miss. (Sun Belt),12,6-6,170,59,0.347
107,Hawaii (Mountain West),13,3-10,194,67,0.345
108,Akron (MAC),12,2-10,171,59,0.345
109,Troy (Sun Belt),13,11-2,161,55,0.342
110,Bowling Green (MAC),12,6-6,179,61,0.341
111,Wyoming (Mountain West),12,7-5,159,54,0.34
112,Indiana (Big Ten),12,4-8,191,64,0.335
113,Temple (AAC),12,3-9,173,57,0.329
114,Boston College (ACC),12,3-9,174,57,0.328
115,Utah St. (Mountain West),12,6-6,188,61,0.324
116,UNLV (Mountain West),12,5-7,155,50,0.323
117,Miami (OH) (MAC),12,6-6,171,55,0.322
118,Virginia (ACC),10,3-7,137,44,0.321
119,Colorado (Pac-12),12,1-11,164,52,0.317
120,Virginia Tech (ACC),11,3-8,159,50,0.314
121,Western Mich. (MAC),12,5-7,185,58,0.314
122,Georgia Tech (ACC),12,5-7,180,55,0.306
123,San Diego St. (Mountain West),12,7-5,161,48,0.298
124,Iowa (Big Ten),12,7-5,165,49,0.297
125,Old Dominion (Sun Belt),12,3-9,160,47,0.294
126,Arkansas St. (Sun Belt),12,3-9,167,49,0.293
127,FIU (C-USA),12,4-8,173,50,0.289
128,Rutgers (Big Ten),12,4-8,172,49,0.285
129,Massachusetts (FBS Independent),12,1-11,194,55,0.284
130,Colorado St. (Mountain West),12,3-9,151,34,0.225
131,New Mexico (Mountain West),12,2-10,159,35,0.22
