4rd Down Def Rank,Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
1,Louisville (ACC),12,7-5,3,19,0.158
2,Boston College (ACC),12,3-9,3,15,0.2
3,Southern Miss. (Sun Belt),12,6-6,6,24,0.25
4,San Diego St. (Mountain West),12,7-5,3,11,0.273
5,UConn (FBS Independent),12,6-6,7,24,0.292
6,Michigan (Big Ten),13,13-0,9,28,0.321
7,Ohio St. (Big Ten),12,11-1,8,24,0.333
7,Oregon St. (Pac-12),12,9-3,8,24,0.333
9,Alabama (SEC),12,10-2,8,23,0.348
10,Texas Tech (Big 12),12,7-5,9,25,0.36
11,Western Mich. (MAC),12,5-7,7,19,0.368
12,Air Force (Mountain West),12,9-3,6,16,0.375
12,Clemson (ACC),13,11-2,9,24,0.375
14,Utah (Pac-12),13,10-3,11,29,0.379
15,NC State (ACC),12,8-4,8,21,0.381
16,Ohio (MAC),13,9-4,13,34,0.382
17,Georgia (SEC),13,13-0,12,31,0.387
18,LSU (SEC),13,9-4,9,23,0.391
18,Oregon (Pac-12),12,9-3,9,23,0.391
20,Kansas St. (Big 12),13,10-3,13,33,0.394
21,Buffalo (MAC),12,6-6,10,25,0.4
21,Ole Miss (SEC),12,8-4,12,30,0.4
21,Washington St. (Pac-12),12,7-5,12,30,0.4
24,Fla. Atlantic (C-USA),12,5-7,11,27,0.407
25,Duke (ACC),12,8-4,9,22,0.409
25,Florida (SEC),12,6-6,9,22,0.409
27,Arizona St. (Pac-12),12,3-9,7,17,0.412
27,Baylor (Big 12),12,6-6,7,17,0.412
29,Toledo (MAC),13,8-5,10,24,0.417
30,Illinois (Big Ten),12,8-4,8,19,0.421
31,Kentucky (SEC),12,7-5,12,28,0.429
31,UTSA (C-USA),13,11-2,15,35,0.429
33,UCF (AAC),13,9-4,13,30,0.433
34,Cincinnati (AAC),12,9-3,10,23,0.435
35,Georgia St. (Sun Belt),12,4-8,11,25,0.44
36,Indiana (Big Ten),12,4-8,8,18,0.444
36,Vanderbilt (SEC),12,5-7,12,27,0.444
38,Boise St. (Mountain West),13,9-4,9,20,0.45
38,Notre Dame (FBS Independent),12,8-4,9,20,0.45
40,East Carolina (AAC),12,7-5,10,22,0.455
40,Middle Tenn. (C-USA),12,7-5,15,33,0.455
40,Syracuse (ACC),12,7-5,10,22,0.455
43,Memphis (AAC),12,6-6,11,24,0.458
44,Central Mich. (MAC),12,4-8,12,26,0.462
44,Marshall (Sun Belt),12,8-4,12,26,0.462
44,Mississippi St. (SEC),12,8-4,12,26,0.462
47,ULM (Sun Belt),12,4-8,13,28,0.464
48,Tennessee (SEC),12,10-2,14,30,0.467
49,James Madison (Sun Belt),11,8-3,8,17,0.471
49,Washington (Pac-12),12,10-2,16,34,0.471
51,Coastal Carolina (Sun Belt),12,9-3,9,19,0.474
51,Rice (C-USA),12,5-7,9,19,0.474
53,Army West Point (FBS Independent),12,6-6,10,21,0.476
53,Pittsburgh (ACC),12,8-4,10,21,0.476
53,Wisconsin (Big Ten),12,6-6,10,21,0.476
56,Colorado (Pac-12),12,1-11,11,23,0.478
56,Louisiana (Sun Belt),12,6-6,11,23,0.478
56,Wake Forest (ACC),12,7-5,11,23,0.478
59,Maryland (Big Ten),12,7-5,12,25,0.48
60,Fresno St. (Mountain West),13,9-4,16,33,0.485
61,TCU (Big 12),13,12-1,19,39,0.487
62,App State (Sun Belt),12,6-6,10,20,0.5
62,Auburn (SEC),12,5-7,6,12,0.5
62,Ball St. (MAC),12,5-7,16,32,0.5
62,Bowling Green (MAC),12,6-6,13,26,0.5
62,North Carolina (ACC),13,9-4,13,26,0.5
62,Oklahoma St. (Big 12),12,7-5,15,30,0.5
62,Purdue (Big Ten),13,8-5,9,18,0.5
62,Temple (AAC),12,3-9,13,26,0.5
62,Texas A&M (SEC),12,5-7,11,22,0.5
62,UAB (C-USA),12,6-6,15,30,0.5
62,Western Ky. (C-USA),13,8-5,14,28,0.5
73,Houston (AAC),12,7-5,16,31,0.516
74,Penn St. (Big Ten),12,10-2,14,27,0.519
75,Ga. Southern (Sun Belt),12,6-6,12,23,0.522
75,New Mexico St. (FBS Independent),12,6-6,12,23,0.522
77,FIU (C-USA),12,4-8,11,21,0.524
78,Massachusetts (FBS Independent),12,1-11,9,17,0.529
78,South Carolina (SEC),12,8-4,9,17,0.529
78,Texas (Big 12),12,8-4,18,34,0.529
81,North Texas (C-USA),13,7-6,15,28,0.536
82,Troy (Sun Belt),13,11-2,14,26,0.538
