4th Down Rank,Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
1,Michigan (Big Ten),13,13-0,17,19,0.895
2,Georgia (SEC),13,13-0,11,13,0.846
3,Air Force (Mountain West),12,9-3,19,24,0.792
4,San Diego St. (Mountain West),12,7-5,13,17,0.765
5,New Mexico St. (FBS Independent),12,6-6,11,15,0.733
6,Penn St. (Big Ten),12,10-2,21,29,0.724
7,Ohio St. (Big Ten),12,11-1,12,17,0.706
8,West Virginia (Big 12),12,5-7,22,32,0.688
9,Oregon St. (Pac-12),12,9-3,15,22,0.682
10,Tennessee (SEC),12,10-2,22,33,0.667
10,Clemson (ACC),13,11-2,6,9,0.667
12,Baylor (Big 12),12,6-6,27,41,0.659
13,Maryland (Big Ten),12,7-5,17,26,0.654
13,UCF (AAC),13,9-4,17,26,0.654
15,Houston (AAC),12,7-5,15,23,0.652
16,Southern California (Pac-12),13,11-2,13,20,0.65
17,Tulsa (AAC),12,5-7,11,17,0.647
18,Troy (Sun Belt),13,11-2,16,25,0.64
19,North Carolina (ACC),13,9-4,21,33,0.636
20,Cincinnati (AAC),12,9-3,12,19,0.632
20,Southern Miss. (Sun Belt),12,6-6,12,19,0.632
22,South Alabama (Sun Belt),12,10-2,17,27,0.63
22,Utah (Pac-12),13,10-3,17,27,0.63
24,Kentucky (SEC),12,7-5,13,21,0.619
25,Toledo (MAC),13,8-5,16,26,0.615
26,Oregon (Pac-12),12,9-3,19,31,0.613
27,Texas Tech (Big 12),12,7-5,28,46,0.609
28,Navy (AAC),12,4-8,23,38,0.605
29,UCLA (Pac-12),12,9-3,15,25,0.6
29,Arizona St. (Pac-12),12,3-9,12,20,0.6
29,Coastal Carolina (Sun Belt),12,9-3,12,20,0.6
29,South Carolina (SEC),12,8-4,12,20,0.6
29,Boise St. (Mountain West),13,9-4,9,15,0.6
34,Buffalo (MAC),12,6-6,22,37,0.595
35,Auburn (SEC),12,5-7,13,22,0.591
36,Middle Tenn. (C-USA),12,7-5,20,34,0.588
36,SMU (AAC),12,7-5,20,34,0.588
38,Arkansas St. (Sun Belt),12,3-9,14,24,0.583
39,Purdue (Big Ten),13,8-5,15,26,0.577
40,Alabama (SEC),12,10-2,9,16,0.562
41,Duke (ACC),12,8-4,14,25,0.56
41,TCU (Big 12),13,12-1,14,25,0.56
41,Tulane (AAC),13,11-2,14,25,0.56
41,Washington (Pac-12),12,10-2,14,25,0.56
45,Georgia St. (Sun Belt),12,4-8,15,27,0.556
45,Iowa St. (Big 12),12,4-8,15,27,0.556
45,Kansas St. (Big 12),13,10-3,15,27,0.556
48,UTEP (C-USA),12,5-7,16,29,0.552
49,Fla. Atlantic (C-USA),12,5-7,11,20,0.55
49,North Texas (C-USA),13,7-6,11,20,0.55
51,Central Mich. (MAC),12,4-8,18,33,0.545
51,Ga. Southern (Sun Belt),12,6-6,12,22,0.545
51,Minnesota (Big Ten),12,8-4,6,11,0.545
54,Memphis (AAC),12,6-6,13,24,0.542
55,Ole Miss (SEC),12,8-4,15,28,0.536
56,Army West Point (FBS Independent),12,6-6,16,30,0.533
56,Missouri (SEC),12,6-6,8,15,0.533
58,Hawaii (Mountain West),13,3-10,18,34,0.529
58,Utah St. (Mountain West),12,6-6,18,34,0.529
58,Rutgers (Big Ten),12,4-8,9,17,0.529
61,Stanford (Pac-12),12,3-9,11,21,0.524
62,California (Pac-12),12,4-8,12,23,0.522
63,Wake Forest (ACC),12,7-5,15,30,0.5
63,Mississippi St. (SEC),12,8-4,14,28,0.5
63,Nevada (Mountain West),12,2-10,13,26,0.5
63,Rice (C-USA),12,5-7,13,26,0.5
63,Kent St. (MAC),12,5-7,12,24,0.5
63,UAB (C-USA),12,6-6,12,24,0.5
63,UTSA (C-USA),13,11-2,12,24,0.5
63,LSU (SEC),13,9-4,10,20,0.5
63,Texas (Big 12),12,8-4,10,20,0.5
63,UNLV (Mountain West),12,5-7,10,20,0.5
73,App State (Sun Belt),12,6-6,18,37,0.486
74,Western Mich. (MAC),12,5-7,13,27,0.481
75,Illinois (Big Ten),12,8-4,12,25,0.48
76,Akron (MAC),12,2-10,11,23,0.478
77,Northwestern (Big Ten),12,1-11,19,40,0.475
78,Kansas (Big 12),12,6-6,8,17,0.471
79,Florida (SEC),12,6-6,15,32,0.469
80,Fresno St. (Mountain West),13,9-4,7,15,0.467
80,San Jose St. (Mountain West),11,7-4,7,15,0.467
82,Washington St. (Pac-12),12,7-5,12,26,0.462
83,Liberty (FBS Independent),12,8-4,11,24,0.458
84,Louisiana (Sun Belt),12,6-6,14,31,0.452
84,South Fla. (AAC),12,1-11,14,31,0.452
86,Arkansas (SEC),12,6-6,9,20,0.45
86,James Madison (Sun Belt),11,8-3,9,20,0.45
88,Boston College (ACC),12,3-9,8,18,0.444
89,Bowling Green (MAC),12,6-6,11,25,0.44
89,East Carolina (AAC),12,7-5,11,25,0.44
91,UConn (FBS Independent),12,6-6,7,16,0.438
92,Arizona (Pac-12),12,5-7,10,23,0.435
92,NIU (MAC),12,3-9,10,23,0.435
94,Massachusetts (FBS Independent),12,1-11,13,30,0.433
95,FIU (C-USA),12,4-8,15,35,0.429
95,Virginia Tech (ACC),11,3-8,6,14,0.429
95,Nebraska (Big Ten),12,4-8,3,7,0.429
98,Temple (AAC),12,3-9,14,33,0.424
99,NC State (ACC),12,8-4,8,19,0.421
100,Louisiana Tech (C-USA),12,3-9,13,31,0.419
101,Michigan St. (Big Ten),12,5-7,12,29,0.414
102,Miami (OH) (MAC),12,6-6,7,17,0.412
103,Miami (FL) (ACC),12,5-7,9,22,0.409
104,Western Ky. (C-USA),13,8-5,15,37,0.405
105,Notre Dame (FBS Independent),12,8-4,6,15,0.4
105,Syracuse (ACC),12,7-5,4,10,0.4
107,Colorado St. (Mountain West),12,3-9,13,33,0.394
108,Eastern Mich. (MAC),12,8-4,9,23,0.391
109,Virginia (ACC),10,3-7,7,18,0.389
110,Iowa (Big Ten),12,7-5,5,13,0.385
110,Wisconsin (Big Ten),12,6-6,5,13,0.385
112,Florida St. (ACC),12,9-3,8,21,0.381
113,Louisville (ACC),12,7-5,11,29,0.379
113,Vanderbilt (SEC),12,5-7,11,29,0.379
115,Indiana (Big Ten),12,4-8,9,24,0.375
116,Oklahoma (Big 12),12,6-6,10,27,0.37
117,Old Dominion (Sun Belt),12,3-9,8,22,0.364
117,Texas A&M (SEC),12,5-7,4,11,0.364
119,Colorado (Pac-12),12,1-11,11,31,0.355
120,Charlotte (C-USA),12,3-9,12,34,0.353
120,Ohio (MAC),13,9-4,6,17,0.353
120,Pittsburgh (ACC),12,8-4,6,17,0.353
123,Georgia Tech (ACC),12,5-7,8,24,0.333
123,Texas St. (Sun Belt),12,4-8,7,21,0.333
123,ULM (Sun Belt),12,4-8,5,15,0.333
126,Wyoming (Mountain West),12,7-5,2,7,0.286
127,Ball St. (MAC),12,5-7,6,22,0.273
128,New Mexico (Mountain West),12,2-10,4,15,0.267
128,Oklahoma St. (Big 12),12,7-5,4,15,0.267
130,BYU (FBS Independent),12,7-5,6,23,0.261
131,Marshall (Sun Belt),12,8-4,5,20,0.25
