Penalty Rank,Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
1,East Carolina (AAC),12,7-5,45,358,29.83
2,Air Force (Mountain West),12,9-3,49,366,30.5
3,Navy (AAC),12,4-8,46,376,31.33
4,Michigan (Big Ten),13,13-0,53,420,32.31
5,Minnesota (Big Ten),12,8-4,44,393,32.75
6,Oklahoma St. (Big 12),12,7-5,43,401,33.42
7,Iowa (Big Ten),12,7-5,51,415,34.58
8,Tulane (AAC),13,11-2,52,450,34.62
9,Memphis (AAC),12,6-6,48,424,35.33
10,South Fla. (AAC),12,1-11,55,443,36.92
11,Temple (AAC),12,3-9,55,444,37.0
12,Wyoming (Mountain West),12,7-5,53,460,38.33
13,Wake Forest (ACC),12,7-5,56,465,38.75
14,Army West Point (FBS Independent),12,6-6,58,467,38.92
15,James Madison (Sun Belt),11,8-3,56,439,39.91
16,Kentucky (SEC),12,7-5,71,479,39.92
17,Northwestern (Big Ten),12,1-11,55,490,40.83
18,Fresno St. (Mountain West),13,9-4,57,532,40.92
19,Stanford (Pac-12),12,3-9,55,495,41.25
20,Utah (Pac-12),13,10-3,59,538,41.38
21,Baylor (Big 12),12,6-6,57,507,42.25
22,North Texas (C-USA),13,7-6,68,551,42.38
23,Nebraska (Big Ten),12,4-8,65,510,42.5
23,Notre Dame (FBS Independent),12,8-4,56,510,42.5
25,SMU (AAC),12,7-5,53,517,43.08
26,Kansas St. (Big 12),13,10-3,68,561,43.15
27,Ohio (MAC),13,9-4,65,575,44.23
28,California (Pac-12),12,4-8,63,535,44.58
29,Texas St. (Sun Belt),12,4-8,59,536,44.67
30,ULM (Sun Belt),12,4-8,59,537,44.75
30,Washington St. (Pac-12),12,7-5,63,537,44.75
32,Ga. Southern (Sun Belt),12,6-6,59,540,45.0
33,Indiana (Big Ten),12,4-8,60,543,45.25
34,Georgia (SEC),13,13-0,58,598,46.0
35,Iowa St. (Big 12),12,4-8,67,553,46.08
35,Vanderbilt (SEC),12,5-7,63,553,46.08
37,Boise St. (Mountain West),13,9-4,70,605,46.54
38,Texas Tech (Big 12),12,7-5,71,561,46.75
39,TCU (Big 12),13,12-1,60,609,46.85
40,Florida (SEC),12,6-6,78,569,47.42
41,Texas (Big 12),12,8-4,73,570,47.5
42,Kansas (Big 12),12,6-6,65,571,47.58
43,UCF (AAC),13,9-4,65,622,47.85
44,Miami (OH) (MAC),12,6-6,66,577,48.08
45,Colorado (Pac-12),12,1-11,64,579,48.25
46,San Jose St. (Mountain West),11,7-4,64,532,48.36
47,Clemson (ACC),13,11-2,72,630,48.46
48,Boston College (ACC),12,3-9,72,582,48.5
49,Texas A&M (SEC),12,5-7,76,589,49.08
50,Penn St. (Big Ten),12,10-2,66,595,49.58
51,Arizona (Pac-12),12,5-7,65,600,50.0
51,Ohio St. (Big Ten),12,11-1,69,600,50.0
53,Hawaii (Mountain West),13,3-10,73,653,50.23
54,Oklahoma (Big 12),12,6-6,67,606,50.5
55,New Mexico (Mountain West),12,2-10,73,614,51.17
56,App State (Sun Belt),12,6-6,67,619,51.58
57,Georgia Tech (ACC),12,5-7,69,623,51.92
58,Troy (Sun Belt),13,11-2,74,678,52.15
59,Rice (C-USA),12,5-7,69,626,52.17
60,Buffalo (MAC),12,6-6,69,635,52.92
61,LSU (SEC),13,9-4,79,688,52.92
62,West Virginia (Big 12),12,5-7,77,636,53.0
63,UCLA (Pac-12),12,9-3,80,637,53.08
64,FIU (C-USA),12,4-8,74,640,53.33
65,Coastal Carolina (Sun Belt),12,9-3,70,642,53.5
66,BYU (FBS Independent),12,7-5,70,644,53.67
67,Duke (ACC),12,8-4,67,652,54.33
68,Liberty (FBS Independent),12,8-4,75,656,54.67
69,Purdue (Big Ten),13,8-5,69,711,54.69
70,Kent St. (MAC),12,5-7,81,657,54.75
71,Michigan St. (Big Ten),12,5-7,70,659,54.92
72,Louisiana (Sun Belt),12,6-6,80,660,55.0
72,Toledo (MAC),13,8-5,89,715,55.0
74,Arkansas (SEC),12,6-6,76,661,55.08
74,Nevada (Mountain West),12,2-10,72,661,55.08
74,Oregon St. (Pac-12),12,9-3,71,661,55.08
77,Arkansas St. (Sun Belt),12,3-9,69,663,55.25
78,North Carolina (ACC),13,9-4,81,719,55.31
79,UConn (FBS Independent),12,6-6,82,665,55.42
80,UTEP (C-USA),12,5-7,78,669,55.75
81,Ball St. (MAC),12,5-7,72,676,56.33
82,Western Ky. (C-USA),13,8-5,80,735,56.54
83,New Mexico St. (FBS Independent),12,6-6,77,682,56.83
83,San Diego St. (Mountain West),12,7-5,87,682,56.83
85,Tulsa (AAC),12,5-7,74,685,57.08
85,UNLV (Mountain West),12,5-7,69,685,57.08
87,Auburn (SEC),12,5-7,90,688,57.33
88,Fla. Atlantic (C-USA),12,5-7,74,696,58.0
89,Virginia Tech (ACC),11,3-8,81,643,58.45
90,Southern Miss. (Sun Belt),12,6-6,80,704,58.67
91,Oregon (Pac-12),12,9-3,83,705,58.75
92,Middle Tenn. (C-USA),12,7-5,80,708,59.0
93,NC State (ACC),12,8-4,89,712,59.33
93,UAB (C-USA),12,6-6,84,712,59.33
95,UTSA (C-USA),13,11-2,90,772,59.38
96,Charlotte (C-USA),12,3-9,81,714,59.5
97,Southern California (Pac-12),13,11-2,83,775,59.62
98,Miami (FL) (ACC),12,5-7,85,720,60.0
99,Akron (MAC),12,2-10,80,721,60.08
100,Old Dominion (Sun Belt),12,3-9,81,730,60.83
101,Wisconsin (Big Ten),12,6-6,79,731,60.92
102,Mississippi St. (SEC),12,8-4,76,735,61.25
103,Colorado St. (Mountain West),12,3-9,84,740,61.67
103,Ole Miss (SEC),12,8-4,81,740,61.67
105,Washington (Pac-12),12,10-2,82,741,61.75
106,Florida St. (ACC),12,9-3,84,743,61.92
106,Missouri (SEC),12,6-6,92,743,61.92
108,Virginia (ACC),10,3-7,70,622,62.2
109,Marshall (Sun Belt),12,8-4,83,747,62.25
110,NIU (MAC),12,3-9,76,750,62.5
111,Western Mich. (MAC),12,5-7,80,755,62.92
112,South Carolina (SEC),12,8-4,82,756,63.0
113,Central Mich. (MAC),12,4-8,84,758,63.17
114,Rutgers (Big Ten),12,4-8,94,770,64.17
115,Louisiana Tech (C-USA),12,3-9,82,771,64.25
116,Illinois (Big Ten),12,8-4,82,773,64.42
117,Syracuse (ACC),12,7-5,105,777,64.75
118,Georgia St. (Sun Belt),12,4-8,85,779,64.92
119,Pittsburgh (ACC),12,8-4,90,793,66.08
120,Massachusetts (FBS Independent),12,1-11,91,800,66.67
120,Tennessee (SEC),12,10-2,96,800,66.67
122,Cincinnati (AAC),12,9-3,95,812,67.67
123,Louisville (ACC),12,7-5,85,833,69.42
124,Alabama (SEC),12,10-2,98,848,70.67
125,Houston (AAC),12,7-5,96,854,71.17
126,Maryland (Big Ten),12,7-5,93,864,72.0
127,Arizona St. (Pac-12),12,3-9,87,868,72.33
128,Bowling Green (MAC),12,6-6,97,870,72.5
129,South Alabama (Sun Belt),12,10-2,98,893,74.42
130,Eastern Mich. (MAC),12,8-4,101,925,77.08
131,Utah St. (Mountain West),12,6-6,103,953,79.42
