First Down Def Rank,Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
1,James Madison (Sun Belt),11,8-3,44,95,13,152
2,Air Force (Mountain West),12,9-3,68,84,5,157
3,Minnesota (Big Ten),12,8-4,68,94,10,172
4,Ohio St. (Big Ten),12,11-1,66,87,20,173
5,Illinois (Big Ten),12,8-4,63,89,26,178
6,Boise St. (Mountain West),13,9-4,90,79,12,181
7,Marshall (Sun Belt),12,8-4,60,102,20,182
8,Kentucky (SEC),12,7-5,83,91,13,187
8,Navy (AAC),12,4-8,64,110,13,187
10,Iowa St. (Big 12),12,4-8,79,90,19,188
11,Iowa (Big Ten),12,7-5,87,93,13,193
12,Michigan (Big Ten),13,13-0,65,118,14,197
12,Wisconsin (Big Ten),12,6-6,67,111,19,197
14,NC State (ACC),12,8-4,60,113,25,198
15,Georgia (SEC),13,13-0,58,120,21,199
16,San Jose St. (Mountain West),11,7-4,82,106,15,203
17,Utah (Pac-12),13,10-3,76,116,14,206
18,Virginia (ACC),10,3-7,85,103,20,208
19,Pittsburgh (ACC),12,8-4,65,114,30,209
20,Notre Dame (FBS Independent),12,8-4,93,95,23,211
20,San Diego St. (Mountain West),12,7-5,85,109,17,211
22,Penn St. (Big Ten),12,10-2,81,112,19,212
23,New Mexico (Mountain West),12,2-10,99,92,22,213
23,South Alabama (Sun Belt),12,10-2,71,108,34,213
25,Liberty (FBS Independent),12,8-4,88,100,27,215
26,Western Mich. (MAC),12,5-7,85,105,27,217
27,Mississippi St. (SEC),12,8-4,89,101,30,220
27,Missouri (SEC),12,6-6,92,104,24,220
29,Florida St. (ACC),12,9-3,100,98,23,221
29,Texas St. (Sun Belt),12,4-8,72,133,16,221
31,Alabama (SEC),12,10-2,88,102,33,223
31,Buffalo (MAC),12,6-6,89,109,25,223
31,Miami (FL) (ACC),12,5-7,94,107,22,223
31,Oregon St. (Pac-12),12,9-3,91,113,19,223
31,Virginia Tech (ACC),11,3-8,88,107,28,223
36,Rice (C-USA),12,5-7,93,106,25,224
36,Toledo (MAC),13,8-5,103,108,13,224
38,Louisiana (Sun Belt),12,6-6,93,108,25,226
38,UTEP (C-USA),12,5-7,91,112,23,226
40,Massachusetts (FBS Independent),12,1-11,103,88,36,227
41,Louisville (ACC),12,7-5,104,101,23,228
41,Purdue (Big Ten),13,8-5,85,117,26,228
41,Southern Miss. (Sun Belt),12,6-6,95,113,20,228
44,App State (Sun Belt),12,6-6,89,121,22,232
44,Army West Point (FBS Independent),12,6-6,125,93,14,232
44,Temple (AAC),12,3-9,110,110,12,232
47,Wyoming (Mountain West),12,7-5,104,112,17,233
48,Nevada (Mountain West),12,2-10,93,119,23,235
48,UAB (C-USA),12,6-6,99,116,20,235
50,Rutgers (Big Ten),12,4-8,97,111,28,236
51,Clemson (ACC),13,11-2,83,132,22,237
51,Memphis (AAC),12,6-6,87,133,17,237
51,Syracuse (ACC),12,7-5,116,106,15,237
