Kickoff Return Def Rank,Team,Games,Win-Loss,Opp Kickoff Returns,Kickoff Touchbacks,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed
1,Missouri (SEC),12,6-6,11,52,150,0,13.64
2,Navy (AAC),12,4-8,24,14,342,0,14.25
3,NIU (MAC),12,3-9,36,17,516,0,14.33
4,Northwestern (Big Ten),12,1-11,20,8,297,0,14.85
5,Wisconsin (Big Ten),12,6-6,21,32,323,0,15.38
6,San Jose St. (Mountain West),11,7-4,34,10,532,2,15.65
7,Tulsa (AAC),12,5-7,28,30,442,0,15.79
8,Fla. Atlantic (C-USA),12,5-7,30,29,488,0,16.27
9,Louisiana (Sun Belt),12,6-6,30,20,497,0,16.57
10,UNLV (Mountain West),12,5-7,28,22,465,1,16.61
11,Texas Tech (Big 12),12,7-5,20,39,335,0,16.75
12,Army West Point (FBS Independent),12,6-6,23,32,387,0,16.83
13,Louisville (ACC),12,7-5,22,40,371,0,16.86
14,Cincinnati (AAC),12,9-3,19,45,321,0,16.89
15,Kansas St. (Big 12),13,10-3,22,49,372,0,16.91
16,Kent St. (MAC),12,5-7,34,20,575,0,16.91
17,Iowa (Big Ten),12,7-5,17,29,289,0,17.0
17,Pittsburgh (ACC),12,8-4,16,52,272,0,17.0
17,Tennessee (SEC),12,10-2,37,31,629,0,17.0
20,Air Force (Mountain West),12,9-3,29,28,494,0,17.03
21,Stanford (Pac-12),12,3-9,11,40,188,0,17.09
22,Colorado St. (Mountain West),12,3-9,6,30,103,0,17.17
23,South Carolina (SEC),12,8-4,18,44,310,0,17.22
24,Michigan (Big Ten),13,13-0,21,68,365,0,17.38
25,Texas (Big 12),12,8-4,34,27,591,0,17.38
26,Ohio (MAC),13,9-4,37,31,650,0,17.57
27,Duke (ACC),12,8-4,28,42,492,0,17.57
28,Notre Dame (FBS Independent),12,8-4,17,44,304,0,17.88
29,Central Mich. (MAC),12,4-8,21,23,376,0,17.9
30,Massachusetts (FBS Independent),12,1-11,25,13,450,0,18.0
30,Nebraska (Big Ten),12,4-8,15,36,270,0,18.0
32,Fresno St. (Mountain West),13,9-4,29,34,523,0,18.03
33,Arkansas St. (Sun Belt),12,3-9,25,27,451,0,18.04
34,Alabama (SEC),12,10-2,29,45,526,0,18.14
34,Mississippi St. (SEC),12,8-4,29,38,526,0,18.14
36,Western Ky. (C-USA),13,8-5,37,35,672,0,18.16
37,Arizona St. (Pac-12),12,3-9,24,31,437,0,18.21
38,Miami (FL) (ACC),12,5-7,13,37,237,0,18.23
39,Nevada (Mountain West),12,2-10,16,26,293,0,18.31
40,Hawaii (Mountain West),13,3-10,9,38,165,0,18.33
41,Troy (Sun Belt),13,11-2,22,42,405,0,18.41
42,Louisiana Tech (C-USA),12,3-9,26,35,479,0,18.42
43,South Fla. (AAC),12,1-11,9,50,166,0,18.44
44,Ball St. (MAC),12,5-7,31,10,572,0,18.45
45,Tulane (AAC),13,11-2,23,46,427,0,18.57
46,UCF (AAC),13,9-4,23,52,430,0,18.7
47,Texas St. (Sun Belt),12,4-8,35,18,655,0,18.71
