Kickoff Return Rank,Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
1,Mississippi St. (SEC),12,8-4,29,807,1,27.83
2,Syracuse (ACC),12,7-5,16,426,0,26.62
3,Miami (FL) (ACC),12,5-7,35,930,1,26.57
4,App State (Sun Belt),12,6-6,26,675,1,25.96
5,Louisville (ACC),12,7-5,14,353,1,25.21
6,South Carolina (SEC),12,8-4,21,526,1,25.05
7,Florida St. (ACC),12,9-3,13,322,1,24.77
8,Kansas St. (Big 12),13,10-3,30,737,0,24.57
9,Oklahoma St. (Big 12),12,7-5,31,750,1,24.19
10,Arizona St. (Pac-12),12,3-9,33,797,0,24.15
11,Indiana (Big Ten),12,4-8,30,717,2,23.90
12,Memphis (AAC),12,6-6,28,647,0,23.11
13,NC State (ACC),12,8-4,19,438,0,23.05
14,Clemson (ACC),13,11-2,14,322,0,23.00
15,Oregon St. (Pac-12),12,9-3,28,641,0,22.89
16,Kent St. (MAC),12,5-7,37,847,0,22.89
17,Texas (Big 12),12,8-4,19,432,0,22.74
18,Washington St. (Pac-12),12,7-5,23,519,0,22.57
19,Houston (AAC),12,7-5,38,856,1,22.53
20,Tulane (AAC),13,11-2,27,608,0,22.52
21,Boise St. (Mountain West),13,9-4,22,494,0,22.45
22,Fresno St. (Mountain West),13,9-4,30,673,0,22.43
23,New Mexico (Mountain West),12,2-10,25,560,1,22.40
24,Penn St. (Big Ten),12,10-2,17,379,1,22.29
25,UAB (C-USA),12,6-6,25,556,0,22.24
26,Texas A&M (SEC),12,5-7,23,510,1,22.17
27,Iowa (Big Ten),12,7-5,20,443,0,22.15
28,Wisconsin (Big Ten),12,6-6,23,508,0,22.09
29,Texas Tech (Big 12),12,7-5,27,595,0,22.04
30,Virginia (ACC),10,3-7,20,440,0,22.00
31,North Carolina (ACC),13,9-4,19,415,1,21.84
32,South Alabama (Sun Belt),12,10-2,22,478,0,21.73
33,Arkansas St. (Sun Belt),12,3-9,51,"1,106",1,21.69
34,Akron (MAC),12,2-10,43,927,0,21.56
35,Boston College (ACC),12,3-9,30,646,0,21.53
36,Florida (SEC),12,6-6,23,495,0,21.52
37,Ball St. (MAC),12,5-7,22,473,0,21.50
37,Wyoming (Mountain West),12,7-5,12,258,0,21.50
39,Colorado (Pac-12),12,1-11,35,750,0,21.43
40,Vanderbilt (SEC),12,5-7,24,511,0,21.29
41,Louisiana Tech (C-USA),12,3-9,35,744,0,21.26
42,East Carolina (AAC),12,7-5,28,595,1,21.25
42,Minnesota (Big Ten),12,8-4,20,425,0,21.25
44,Central Mich. (MAC),12,4-8,33,701,0,21.24
45,South Fla. (AAC),12,1-11,47,994,1,21.15
46,Liberty (FBS Independent),12,8-4,35,738,1,21.09
47,Georgia Tech (ACC),12,5-7,13,273,0,21.00
47,UCLA (Pac-12),12,9-3,35,735,0,21.00
49,Western Ky. (C-USA),13,8-5,21,438,0,20.86
50,Bowling Green (MAC),12,6-6,33,688,0,20.85
51,UNLV (Mountain West),12,5-7,19,396,0,20.84
52,Rutgers (Big Ten),12,4-8,26,541,0,20.81
53,UTSA (C-USA),13,11-2,19,395,1,20.79
54,Duke (ACC),12,8-4,30,623,0,20.77
55,Buffalo (MAC),12,6-6,31,641,0,20.68
56,Cincinnati (AAC),12,9-3,18,372,1,20.67
57,Middle Tenn. (C-USA),12,7-5,16,330,0,20.62
58,Illinois (Big Ten),12,8-4,12,245,0,20.42
59,San Diego St. (Mountain West),12,7-5,32,652,1,20.38
60,FIU (C-USA),12,4-8,35,712,0,20.34
61,BYU (FBS Independent),12,7-5,21,425,0,20.24
62,Coastal Carolina (Sun Belt),12,9-3,24,485,1,20.21
63,SMU (AAC),12,7-5,18,362,0,20.11
64,Louisiana (Sun Belt),12,6-6,22,439,0,19.95
65,TCU (Big 12),13,12-1,35,697,0,19.91
66,Southern Miss. (Sun Belt),12,6-6,19,377,0,19.84
