Passing Off Rank,Team,Games,Win-Loss,Pass Attempts,Pass Completions,Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
1,Washington (Pac-12),12,10-2,520,341,8,4520,8.69,13.26,30,376.7
2,Western Ky. (C-USA),13,8-5,567,364,11,4409,7.78,12.11,38,339.2
3,Tennessee (SEC),12,10-2,394,271,3,3988,10.12,14.72,35,332.3
4,Ga. Southern (Sun Belt),12,6-6,564,344,15,3924,6.96,11.41,26,327.0
5,Southern California (Pac-12),13,11-2,463,308,4,4234,9.14,13.75,38,325.7
6,SMU (AAC),12,7-5,476,306,10,3899,8.19,12.74,34,324.9
7,Houston (AAC),12,7-5,473,319,10,3853,8.15,12.08,37,321.1
8,Arizona (Pac-12),12,5-7,459,283,13,3821,8.32,13.5,26,318.4
9,North Carolina (ACC),13,9-4,491,326,7,4124,8.4,12.65,35,317.2
10,Wake Forest (ACC),12,7-5,437,279,12,3775,8.64,13.53,40,314.6
11,Mississippi St. (SEC),12,8-4,589,398,7,3772,6.4,9.48,35,314.3
12,UTSA (C-USA),13,11-2,461,318,7,4012,8.7,12.62,33,308.6
13,Texas Tech (Big 12),12,7-5,529,324,17,3684,6.96,11.37,25,307.0
14,Ohio St. (Big Ten),12,11-1,376,251,6,3530,9.39,14.06,38,294.2
15,Oregon (Pac-12),12,9-3,402,285,8,3498,8.7,12.27,28,291.5
16,East Carolina (AAC),12,7-5,445,296,5,3462,7.78,11.7,23,288.5
17,Purdue (Big Ten),13,8-5,541,350,14,3734,6.9,10.67,25,287.2
18,Ohio (MAC),13,9-4,430,282,5,3710,8.63,13.16,26,285.4
19,Georgia (SEC),13,13-0,430,293,6,3704,8.61,12.64,24,284.9
20,Oklahoma St. (Big 12),12,7-5,493,278,16,3405,6.91,12.25,22,283.8
21,Akron (MAC),12,2-10,502,323,12,3397,6.77,10.52,15,283.1
22,Memphis (AAC),12,6-6,425,270,8,3345,7.87,12.39,20,278.8
23,Alabama (SEC),12,10-2,416,265,8,3339,8.03,12.6,32,278.2
24,Tulsa (AAC),12,5-7,414,241,10,3278,7.92,13.6,27,273.2
25,TCU (Big 12),13,12-1,402,264,4,3549,8.83,13.44,31,273.0
26,Charlotte (C-USA),12,3-9,429,257,14,3252,7.58,12.65,27,271.0
27,Fresno St. (Mountain West),13,9-4,437,312,9,3508,8.03,11.24,20,269.8
28,Temple (AAC),12,3-9,484,288,12,3217,6.65,11.17,18,268.1
29,California (Pac-12),12,4-8,466,291,9,3216,6.9,11.05,23,268.0
30,Louisiana Tech (C-USA),12,3-9,434,254,19,3207,7.39,12.63,25,267.2
31,Middle Tenn. (C-USA),12,7-5,469,315,10,3206,6.84,10.18,19,267.2
32,BYU (FBS Independent),12,7-5,380,250,6,3199,8.42,12.8,32,266.6
33,James Madison (Sun Belt),11,8-3,328,201,10,2923,8.91,14.54,27,265.7
34,San Jose St. (Mountain West),11,7-4,385,234,4,2904,7.54,12.41,20,264.0
35,Washington St. (Pac-12),12,7-5,468,301,8,3162,6.76,10.5,24,263.5
36,North Texas (C-USA),13,7-6,396,222,14,3408,8.61,15.35,32,262.2
37,Iowa St. (Big 12),12,4-8,479,313,15,3141,6.56,10.04,19,261.8
38,LSU (SEC),13,9-4,442,295,6,3401,7.69,11.53,19,261.6
39,UCLA (Pac-12),12,9-3,387,270,8,3138,8.11,11.62,27,261.5
40,Maryland (Big Ten),12,7-5,408,274,6,3117,7.64,11.38,20,259.8
41,Florida St. (ACC),12,9-3,357,222,6,3094,8.67,13.94,26,257.8
42,South Alabama (Sun Belt),12,10-2,393,254,10,3093,7.87,12.18,25,257.8
42,South Carolina (SEC),12,8-4,372,250,13,3093,8.31,12.37,20,257.8
44,Cincinnati (AAC),12,9-3,400,241,8,3071,7.68,12.74,21,255.9
45,Oklahoma (Big 12),12,6-6,383,237,8,3067,8.01,12.94,26,255.6
46,Stanford (Pac-12),12,3-9,448,275,8,3051,6.81,11.09,15,254.2
47,Troy (Sun Belt),13,11-2,377,238,13,3287,8.72,13.81,19,252.8
48,Utah (Pac-12),13,10-3,406,270,8,3282,8.08,12.16,29,252.5
49,Arizona St. (Pac-12),12,3-9,403,270,9,3023,7.5,11.2,18,251.9
50,App State (Sun Belt),12,6-6,359,226,6,3011,8.39,13.32,28,250.9
51,Penn St. (Big Ten),12,10-2,400,254,7,3004,7.51,11.83,27,250.3
52,Coastal Carolina (Sun Belt),12,9-3,336,220,6,2988,8.89,13.58,26,249.0
53,Old Dominion (Sun Belt),12,3-9,421,237,7,2966,7.05,12.51,19,247.2
54,Boston College (ACC),12,3-9,440,262,14,2965,6.74,11.32,21,247.1
55,UCF (AAC),13,9-4,416,269,8,3179,7.64,11.82,22,244.5
56,Michigan St. (Big Ten),12,5-7,412,258,12,2880,6.99,11.16,23,240.0
57,Miami (FL) (ACC),12,5-7,413,255,12,2868,6.94,11.25,18,239.0
58,Tulane (AAC),13,11-2,361,233,5,3078,8.53,13.21,28,236.8
59,Bowling Green (MAC),12,6-6,413,251,10,2841,6.88,11.32,24,236.8
60,Duke (ACC),12,8-4,371,236,6,2837,7.65,12.02,20,236.4
61,Baylor (Big 12),12,6-6,369,236,11,2821,7.64,11.95,17,235.1
62,Buffalo (MAC),12,6-6,425,252,8,2794,6.57,11.09,17,232.8
63,Texas (Big 12),12,8-4,358,217,7,2769,7.73,12.76,21,230.8
64,Arkansas (SEC),12,6-6,328,212,6,2764,8.43,13.04,24,230.3
65,Kansas (Big 12),12,6-6,315,205,6,2763,8.77,13.48,27,230.2
66,Ole Miss (SEC),12,8-4,346,214,9,2756,7.97,12.88,20,229.7
67,Ball St. (MAC),12,5-7,481,287,14,2742,5.7,9.55,18,228.5
68,Toledo (MAC),13,8-5,410,228,15,2961,7.22,12.99,30,227.8
69,Florida (SEC),12,6-6,344,186,9,2730,7.94,14.68,18,227.5
69,West Virginia (Big 12),12,5-7,425,254,12,2730,6.42,10.75,20,227.5
71,Fla. Atlantic (C-USA),12,5-7,379,217,5,2726,7.19,12.56,25,227.2
72,Rice (C-USA),12,5-7,364,213,19,2725,7.49,12.79,20,227.1
73,Arkansas St. (Sun Belt),12,3-9,396,247,5,2719,6.87,11.01,16,226.6
74,Clemson (ACC),13,11-2,424,268,8,2933,6.92,10.94,24,225.6
75,Louisiana (Sun Belt),12,6-6,411,232,9,2699,6.57,11.63,26,224.9
76,Syracuse (ACC),12,7-5,319,196,8,2685,8.42,13.7,19,223.8
77,NC State (ACC),12,8-4,423,247,6,2670,6.31,10.81,23,222.5
78,Liberty (FBS Independent),12,8-4,375,217,15,2666,7.11,12.29,19,222.2
79,Pittsburgh (ACC),12,8-4,348,202,10,2655,7.63,13.14,12,221.2
80,Texas St. (Sun Belt),12,4-8,444,275,10,2653,5.98,9.65,19,221.1
81,Virginia (ACC),10,3-7,341,185,12,2210,6.48,11.95,7,221.0
82,Nebraska (Big Ten),12,4-8,341,205,13,2650,7.77,12.93,17,220.8
83,Texas A&M (SEC),12,5-7,391,220,6,2633,6.73,11.97,18,219.4
84,FIU (C-USA),12,4-8,468,271,16,2625,5.61,9.69,16,218.8
85,Eastern Mich. (MAC),12,8-4,362,226,11,2613,7.22,11.56,21,217.8
86,UTEP (C-USA),12,5-7,380,202,12,2612,6.87,12.93,15,217.7
87,Indiana (Big Ten),12,4-8,483,261,13,2609,5.4,10.0,16,217.4
88,Kentucky (SEC),12,7-5,312,202,11,2593,8.31,12.84,21,216.1
89,Kent St. (MAC),12,5-7,349,194,8,2582,7.4,13.31,17,215.2
90,UNLV (Mountain West),12,5-7,361,227,7,2580,7.15,11.37,15,215.0
91,Missouri (SEC),12,6-6,346,220,9,2548,7.36,11.58,13,212.3
92,Louisville (ACC),12,7-5,345,205,10,2540,7.36,12.39,12,211.7
93,Kansas St. (Big 12),13,10-3,354,224,4,2737,7.73,12.22,21,210.5
94,Michigan (Big Ten),13,13-0,335,217,4,2736,8.17,12.61,22,210.5
95,Northwestern (Big Ten),12,1-11,417,245,17,2524,6.05,10.3,10,210.3
96,Southern Miss. (Sun Belt),12,6-6,328,182,14,2509,7.65,13.79,17,209.1
97,Illinois (Big Ten),12,8-4,361,252,5,2500,6.93,9.92,15,208.3
98,Central Mich. (MAC),12,4-8,390,219,10,2497,6.4,11.4,16,208.1
99,Hawaii (Mountain West),13,3-10,490,261,12,2672,5.45,10.24,13,205.5
100,ULM (Sun Belt),12,4-8,332,221,7,2464,7.42,11.15,16,205.3
101,Georgia St. (Sun Belt),12,4-8,298,174,7,2443,8.2,14.04,18,203.6
102,Virginia Tech (ACC),11,3-8,346,203,9,2236,6.46,11.01,9,203.3
103,Oregon St. (Pac-12),12,9-3,296,184,13,2405,8.12,13.07,15,200.4
104,Marshall (Sun Belt),12,8-4,346,215,9,2403,6.95,11.18,14,200.2
105,Utah St. (Mountain West),12,6-6,375,215,18,2402,6.41,11.17,17,200.2
106,Notre Dame (FBS Independent),12,8-4,304,192,8,2399,7.89,12.49,22,199.9
107,UAB (C-USA),12,6-6,293,177,6,2382,8.13,13.46,14,198.5
108,Colorado St. (Mountain West),12,3-9,322,203,11,2361,7.33,11.63,12,196.8
109,Boise St. (Mountain West),13,9-4,363,216,9,2531,6.97,11.72,19,194.7
110,South Fla. (AAC),12,1-11,326,188,9,2315,7.1,12.31,18,192.9
111,Georgia Tech (ACC),12,5-7,381,219,9,2306,6.05,10.53,10,192.2
