Pass Def Rank,Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
1,Texas A&M (SEC),12,5-7,184,327,1874,15,5.73,10.18,156.2
2,Air Force (Mountain West),12,9-3,159,268,1880,8,7.01,11.82,156.7
3,Florida St. (ACC),12,9-3,183,325,1907,17,5.87,10.42,158.9
4,Army West Point (FBS Independent),12,6-6,167,275,1920,15,6.98,11.5,160.0
5,Boise St. (Mountain West),13,9-4,168,326,2089,11,6.41,12.43,160.7
6,Illinois (Big Ten),12,8-4,183,370,1985,8,5.36,10.85,165.4
7,Kentucky (SEC),12,7-5,192,323,2081,9,6.44,10.84,173.4
8,Minnesota (Big Ten),12,8-4,197,343,2084,8,6.08,10.58,173.7
9,Iowa (Big Ten),12,7-5,223,381,2086,13,5.48,9.35,173.8
10,Massachusetts (FBS Independent),12,1-11,143,265,2103,17,7.94,14.71,175.2
11,Iowa St. (Big 12),12,4-8,190,322,2139,20,6.64,11.26,178.2
12,Northwestern (Big Ten),12,1-11,185,312,2201,17,7.05,11.9,183.4
13,New Mexico St. (FBS Independent),12,6-6,205,350,2204,13,6.3,10.75,183.7
14,Ohio St. (Big Ten),12,11-1,189,326,2208,16,6.77,11.68,184.0
15,Toledo (MAC),13,8-5,221,408,2411,15,5.91,10.91,185.5
16,Alabama (SEC),12,10-2,220,399,2232,12,5.59,10.15,186.0
17,Cincinnati (AAC),12,9-3,202,368,2237,14,6.08,11.07,186.4
18,Tulane (AAC),13,11-2,240,411,2451,18,5.96,10.21,188.5
19,Syracuse (ACC),12,7-5,235,353,2265,16,6.42,9.64,188.8
20,Notre Dame (FBS Independent),12,8-4,201,346,2287,17,6.61,11.38,190.6
21,Colorado St. (Mountain West),12,3-9,219,355,2297,15,6.47,10.49,191.4
22,Michigan (Big Ten),13,13-0,242,429,2494,9,5.81,10.31,191.8
23,Fresno St. (Mountain West),13,9-4,210,402,2513,14,6.25,11.97,193.3
24,UAB (C-USA),12,6-6,217,379,2372,14,6.26,10.93,197.7
25,Utah St. (Mountain West),12,6-6,184,343,2381,24,6.94,12.94,198.4
26,Temple (AAC),12,3-9,209,326,2383,21,7.31,11.4,198.6
27,South Carolina (SEC),12,8-4,198,370,2394,21,6.47,12.09,199.5
28,Liberty (FBS Independent),12,8-4,211,362,2415,15,6.67,11.45,201.2
29,Wisconsin (Big Ten),12,6-6,208,345,2427,16,7.03,11.67,202.2
30,New Mexico (Mountain West),12,2-10,195,320,2433,15,7.6,12.48,202.8
