Punt Return Def Rank,Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
1,Rutgers (Big Ten),12,4-8,8,-11,0,-1.38
2,Utah (Pac-12),13,10-3,5,3,0,0.6
3,Tulane (AAC),13,11-2,7,8,0,1.14
4,Charlotte (C-USA),12,3-9,9,19,1,2.11
5,Iowa St. (Big 12),12,4-8,10,22,0,2.2
6,New Mexico St. (FBS Independent),12,6-6,14,31,0,2.21
7,Tennessee (SEC),12,10-2,2,5,0,2.5
8,North Texas (C-USA),13,7-6,12,32,0,2.67
9,West Virginia (Big 12),12,5-7,7,19,0,2.71
10,Oklahoma (Big 12),12,6-6,12,34,0,2.83
11,Minnesota (Big Ten),12,8-4,9,26,0,2.89
12,Virginia Tech (ACC),11,3-8,11,32,0,2.91
13,Old Dominion (Sun Belt),12,3-9,18,55,0,3.06
14,Air Force (Mountain West),12,9-3,9,28,0,3.11
15,Texas (Big 12),12,8-4,10,34,0,3.4
16,Cincinnati (AAC),12,9-3,20,70,0,3.5
17,Miami (OH) (MAC),12,6-6,21,77,0,3.67
18,Iowa (Big Ten),12,7-5,18,67,0,3.72
19,Miami (FL) (ACC),12,5-7,15,57,0,3.8
20,Houston (AAC),12,7-5,13,51,0,3.92
21,Washington St. (Pac-12),12,7-5,14,55,0,3.93
22,Bowling Green (MAC),12,6-6,14,57,0,4.07
23,Auburn (SEC),12,5-7,10,41,0,4.1
24,Temple (AAC),12,3-9,13,54,0,4.15
24,UTSA (C-USA),13,11-2,13,54,0,4.15
26,Maryland (Big Ten),12,7-5,20,84,0,4.2
27,Florida St. (ACC),12,9-3,11,49,0,4.45
28,Texas A&M (SEC),12,5-7,13,58,0,4.46
29,South Carolina (SEC),12,8-4,19,85,0,4.47
30,Baylor (Big 12),12,6-6,14,66,0,4.71
31,Pittsburgh (ACC),12,8-4,18,87,1,4.83
32,Navy (AAC),12,4-8,17,83,1,4.88
33,App State (Sun Belt),12,6-6,6,30,1,5.0
33,Kansas St. (Big 12),13,10-3,8,40,0,5.0
33,Toledo (MAC),13,8-5,8,40,1,5.0
36,Ohio St. (Big Ten),12,11-1,8,42,0,5.25
37,Western Mich. (MAC),12,5-7,22,119,0,5.41
38,San Diego St. (Mountain West),12,7-5,24,130,0,5.42
39,Louisville (ACC),12,7-5,23,127,0,5.52
40,Purdue (Big Ten),13,8-5,19,105,0,5.53
41,Eastern Mich. (MAC),12,8-4,18,100,0,5.56
42,Colorado St. (Mountain West),12,3-9,14,78,0,5.57
42,Utah St. (Mountain West),12,6-6,14,78,0,5.57
44,Duke (ACC),12,8-4,13,74,0,5.69
45,SMU (AAC),12,7-5,8,46,0,5.75
46,TCU (Big 12),13,12-1,5,29,0,5.8
47,Georgia St. (Sun Belt),12,4-8,23,135,3,5.87
48,Boston College (ACC),12,3-9,12,71,0,5.92
49,Michigan St. (Big Ten),12,5-7,15,89,0,5.93
50,BYU (FBS Independent),12,7-5,10,60,0,6.0
50,Middle Tenn. (C-USA),12,7-5,21,126,0,6.0
52,Louisiana (Sun Belt),12,6-6,16,97,0,6.06
53,Massachusetts (FBS Independent),12,1-11,23,143,0,6.22
54,Army West Point (FBS Independent),12,6-6,8,50,0,6.25
55,Kent St. (MAC),12,5-7,15,94,0,6.27
56,NIU (MAC),12,3-9,12,78,0,6.5
57,Fla. Atlantic (C-USA),12,5-7,25,164,0,6.56
58,Ball St. (MAC),12,5-7,17,112,0,6.59
59,Alabama (SEC),12,10-2,10,66,0,6.6
60,Arkansas St. (Sun Belt),12,3-9,26,174,0,6.69
61,Troy (Sun Belt),13,11-2,16,108,0,6.75
62,New Mexico (Mountain West),12,2-10,26,176,1,6.77
63,Penn St. (Big Ten),12,10-2,14,95,0,6.79
64,Washington (Pac-12),12,10-2,8,55,0,6.88
65,Southern Miss. (Sun Belt),12,6-6,9,62,0,6.89
66,Marshall (Sun Belt),12,8-4,12,84,0,7.0
66,Stanford (Pac-12),12,3-9,22,154,0,7.0
68,Ole Miss (SEC),12,8-4,10,71,0,7.1
69,Texas St. (Sun Belt),12,4-8,13,93,0,7.15
70,Kansas (Big 12),12,6-6,10,73,0,7.3
71,Central Mich. (MAC),12,4-8,11,81,0,7.36
72,Akron (MAC),12,2-10,19,141,0,7.42
73,Michigan (Big Ten),13,13-0,7,52,1,7.43
74,Northwestern (Big Ten),12,1-11,13,98,0,7.54
75,Mississippi St. (SEC),12,8-4,14,107,1,7.64
76,Syracuse (ACC),12,7-5,19,146,0,7.68
77,East Carolina (AAC),12,7-5,7,54,1,7.71
78,North Carolina (ACC),13,9-4,20,156,0,7.8
79,Fresno St. (Mountain West),13,9-4,10,80,0,8.0
80,Arizona (Pac-12),12,5-7,17,140,1,8.24
81,UNLV (Mountain West),12,5-7,20,165,0,8.25
82,Florida (SEC),12,6-6,10,83,0,8.3
83,UTEP (C-USA),12,5-7,16,133,0,8.31
84,Colorado (Pac-12),12,1-11,34,283,1,8.32
85,Illinois (Big Ten),12,8-4,6,51,0,8.5
85,Ohio (MAC),13,9-4,18,153,0,8.5
87,UCF (AAC),13,9-4,17,145,0,8.53
88,James Madison (Sun Belt),11,8-3,14,120,1,8.57
89,Notre Dame (FBS Independent),12,8-4,8,69,0,8.62
90,Oklahoma St. (Big 12),12,7-5,27,235,0,8.7
91,Hawaii (Mountain West),13,3-10,15,132,0,8.8
92,Indiana (Big Ten),12,4-8,27,238,1,8.81
93,NC State (ACC),12,8-4,19,170,0,8.95
94,Nebraska (Big Ten),12,4-8,20,179,0,8.95
95,Wisconsin (Big Ten),12,6-6,20,181,0,9.05
96,Rice (C-USA),12,5-7,15,140,1,9.33
97,Coastal Carolina (Sun Belt),12,9-3,11,104,0,9.45
98,South Fla. (AAC),12,1-11,8,77,0,9.62
99,Nevada (Mountain West),12,2-10,15,146,0,9.73
100,Western Ky. (C-USA),13,8-5,8,78,0,9.75
101,California (Pac-12),12,4-8,23,228,1,9.91
102,LSU (SEC),13,9-4,15,151,0,10.07
103,FIU (C-USA),12,4-8,10,101,0,10.1
104,UConn (FBS Independent),12,6-6,20,207,3,10.35
105,Clemson (ACC),13,11-2,22,233,1,10.59
106,UAB (C-USA),12,6-6,15,166,0,11.07
107,UCLA (Pac-12),12,9-3,9,100,1,11.11
108,Liberty (FBS Independent),12,8-4,12,137,0,11.42
109,Southern California (Pac-12),13,11-2,7,80,0,11.43
110,South Alabama (Sun Belt),12,10-2,16,184,1,11.5
111,Oregon St. (Pac-12),12,9-3,9,105,0,11.67
112,Wyoming (Mountain West),12,7-5,23,279,1,12.13
113,Ga. Southern (Sun Belt),12,6-6,17,207,0,12.18
114,Arizona St. (Pac-12),12,3-9,21,265,1,12.62
115,Tulsa (AAC),12,5-7,23,293,2,12.74
116,Oregon (Pac-12),12,9-3,4,52,0,13.0
117,Virginia (ACC),10,3-7,24,314,0,13.08
118,San Jose St. (Mountain West),11,7-4,8,105,1,13.12
119,Kentucky (SEC),12,7-5,8,108,0,13.5
120,Louisiana Tech (C-USA),12,3-9,8,110,2,13.75
121,Buffalo (MAC),12,6-6,16,228,0,14.25
122,Arkansas (SEC),12,6-6,10,144,0,14.4
123,Wake Forest (ACC),12,7-5,7,103,0,14.71
124,Memphis (AAC),12,6-6,13,192,1,14.77
125,Vanderbilt (SEC),12,5-7,25,379,1,15.16
126,Missouri (SEC),12,6-6,13,204,1,15.69
127,Texas Tech (Big 12),12,7-5,10,157,1,15.7
128,ULM (Sun Belt),12,4-8,27,477,3,17.67
129,Georgia (SEC),13,13-0,6,110,1,18.33
130,Georgia Tech (ACC),12,5-7,37,686,3,18.54
131,Boise St. (Mountain West),13,9-4,10,187,3,18.7
