Redzone Def Rank,Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
1,Georgia (SEC),13,13-0,28,5,4,8,17,0.607
2,Middle Tenn. (C-USA),12,7-5,46,11,13,7,31,0.674
3,Oregon St. (Pac-12),12,9-3,40,13,7,7,27,0.675
4,San Diego St. (Mountain West),12,7-5,37,9,11,5,25,0.676
5,UCF (AAC),13,9-4,54,15,9,13,37,0.685
6,San Jose St. (Mountain West),11,7-4,35,11,8,6,25,0.714
7,Penn St. (Big Ten),12,10-2,39,10,7,11,28,0.718
8,Texas A&M (SEC),12,5-7,44,12,10,10,32,0.727
9,Texas Tech (Big 12),12,7-5,53,14,9,16,39,0.736
10,Louisville (ACC),12,7-5,42,10,10,11,31,0.738
11,Illinois (Big Ten),12,8-4,27,6,4,10,20,0.741
12,Ga. Southern (Sun Belt),12,6-6,58,22,6,15,43,0.741
13,Old Dominion (Sun Belt),12,3-9,47,14,7,14,35,0.745
14,Air Force (Mountain West),12,9-3,25,6,4,9,19,0.76
15,Texas (Big 12),12,8-4,38,10,9,10,29,0.763
15,Washington (Pac-12),12,10-2,38,12,11,6,29,0.763
17,Army West Point (FBS Independent),12,6-6,43,15,10,8,33,0.767
18,Alabama (SEC),12,10-2,39,11,8,11,30,0.769
18,Wisconsin (Big Ten),12,6-6,39,13,10,7,30,0.769
20,Oregon (Pac-12),12,9-3,48,16,12,9,37,0.771
20,Tennessee (SEC),12,10-2,48,12,14,11,37,0.771
22,Central Mich. (MAC),12,4-8,44,13,15,6,34,0.773
23,Boise St. (Mountain West),13,9-4,31,12,1,11,24,0.774
24,Cincinnati (AAC),12,9-3,40,13,10,8,31,0.775
24,Washington St. (Pac-12),12,7-5,40,13,9,9,31,0.775
26,Stanford (Pac-12),12,3-9,45,14,12,9,35,0.778
27,Indiana (Big Ten),12,4-8,55,15,19,9,43,0.782
28,Michigan St. (Big Ten),12,5-7,47,12,17,8,37,0.787
29,Wake Forest (ACC),12,7-5,48,10,17,11,38,0.792
30,Michigan (Big Ten),13,13-0,29,5,6,12,23,0.793
31,Iowa (Big Ten),12,7-5,34,4,10,13,27,0.794
32,Fresno St. (Mountain West),13,9-4,44,12,9,14,35,0.795
32,UTEP (C-USA),12,5-7,44,11,14,10,35,0.795
34,UNLV (Mountain West),12,5-7,54,17,11,15,43,0.796
35,LSU (SEC),13,9-4,45,15,7,14,36,0.8
35,South Alabama (Sun Belt),12,10-2,35,7,10,11,28,0.8
35,UTSA (C-USA),13,11-2,45,15,10,11,36,0.8
35,Western Mich. (MAC),12,5-7,45,16,8,12,36,0.8
39,Southern California (Pac-12),13,11-2,51,22,12,7,41,0.804
40,Georgia Tech (ACC),12,5-7,46,16,8,13,37,0.804
41,East Carolina (AAC),12,7-5,41,10,12,11,33,0.805
41,Texas St. (Sun Belt),12,4-8,41,15,8,10,33,0.805
43,App State (Sun Belt),12,6-6,36,16,8,5,29,0.806
43,Kansas St. (Big 12),13,10-3,36,13,10,6,29,0.806
45,Coastal Carolina (Sun Belt),12,9-3,47,15,9,14,38,0.809
45,Maryland (Big Ten),12,7-5,47,11,14,13,38,0.809
47,Clemson (ACC),13,11-2,42,11,12,11,34,0.81
47,Liberty (FBS Independent),12,8-4,42,14,10,10,34,0.81
49,California (Pac-12),12,4-8,48,17,16,6,39,0.812
49,Kentucky (SEC),12,7-5,32,12,5,9,26,0.812
49,Temple (AAC),12,3-9,48,15,13,11,39,0.812
52,Mississippi St. (SEC),12,8-4,43,13,11,11,35,0.814
52,Nevada (Mountain West),12,2-10,43,15,8,12,35,0.814
52,Pittsburgh (ACC),12,8-4,43,10,14,11,35,0.814
55,Marshall (Sun Belt),12,8-4,27,8,6,8,22,0.815
56,Troy (Sun Belt),13,11-2,38,14,8,9,31,0.816
57,Bowling Green (MAC),12,6-6,50,19,15,7,41,0.82
58,Purdue (Big Ten),13,8-5,39,11,14,7,32,0.821
59,Charlotte (C-USA),12,3-9,57,23,13,11,47,0.825
60,Kent St. (MAC),12,5-7,46,15,10,13,38,0.826
60,UConn (FBS Independent),12,6-6,46,19,9,10,38,0.826
62,New Mexico St. (FBS Independent),12,6-6,41,15,9,10,34,0.829
63,Miami (FL) (ACC),12,5-7,47,17,10,12,39,0.83
