Redzone Off Rank,Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
1,Georgia (SEC),13,13-0,71,30,18,21,69,0.972
2,Clemson (ACC),13,11-2,58,26,18,12,56,0.966
3,Eastern Mich. (MAC),12,8-4,45,21,13,9,43,0.956
4,Ohio St. (Big Ten),12,11-1,58,22,22,11,55,0.948
5,Michigan (Big Ten),13,13-0,64,29,14,17,60,0.938
6,Tennessee (SEC),12,10-2,63,34,16,9,59,0.937
7,Purdue (Big Ten),13,8-5,53,16,18,15,49,0.925
8,Texas Tech (Big 12),12,7-5,50,23,12,11,46,0.92
9,Arkansas St. (Sun Belt),12,3-9,36,13,9,11,33,0.917
10,Washington St. (Pac-12),12,7-5,47,15,19,9,43,0.915
11,Texas St. (Sun Belt),12,4-8,35,7,13,12,32,0.914
12,SMU (AAC),12,7-5,58,22,20,11,53,0.914
13,West Virginia (Big 12),12,5-7,46,19,10,13,42,0.913
14,Maryland (Big Ten),12,7-5,45,18,14,9,41,0.911
15,Kansas St. (Big 12),13,10-3,52,21,10,16,47,0.904
16,Mississippi St. (SEC),12,8-4,41,9,23,5,37,0.902
17,UTSA (C-USA),13,11-2,61,21,20,14,55,0.902
18,Buffalo (MAC),12,6-6,40,16,10,10,36,0.9
18,Cincinnati (AAC),12,9-3,40,13,8,15,36,0.9
18,NIU (MAC),12,3-9,40,12,12,12,36,0.9
21,Ga. Southern (Sun Belt),12,6-6,49,17,14,13,44,0.898
22,Houston (AAC),12,7-5,58,13,26,13,52,0.897
23,Penn St. (Big Ten),12,10-2,48,19,17,7,43,0.896
24,Texas A&M (SEC),12,5-7,38,11,12,11,34,0.895
25,Wyoming (Mountain West),12,7-5,28,9,4,12,25,0.893
26,Texas (Big 12),12,8-4,55,20,15,14,49,0.891
27,Ohio (MAC),13,9-4,63,21,18,17,56,0.889
28,Alabama (SEC),12,10-2,60,19,21,13,53,0.883
29,Memphis (AAC),12,6-6,59,26,12,14,52,0.881
30,Auburn (SEC),12,5-7,42,18,6,13,37,0.881
30,Ball St. (MAC),12,5-7,42,10,15,12,37,0.881
32,Oklahoma St. (Big 12),12,7-5,50,17,12,15,44,0.88
32,Tulsa (AAC),12,5-7,50,15,16,13,44,0.88
34,ULM (Sun Belt),12,4-8,33,13,8,8,29,0.879
35,Toledo (MAC),13,8-5,49,16,19,8,43,0.878
36,UConn (FBS Independent),12,6-6,32,13,6,9,28,0.875
37,Air Force (Mountain West),12,9-3,39,24,1,9,34,0.872
37,Army West Point (FBS Independent),12,6-6,39,26,1,7,34,0.872
39,Stanford (Pac-12),12,3-9,31,13,8,6,27,0.871
39,Wake Forest (ACC),12,7-5,62,14,28,12,54,0.871
41,Boise St. (Mountain West),13,9-4,53,18,14,14,46,0.868
42,Notre Dame (FBS Independent),12,8-4,45,22,10,7,39,0.867
42,Syracuse (ACC),12,7-5,45,16,11,12,39,0.867
44,North Texas (C-USA),13,7-6,52,17,16,12,45,0.865
45,Charlotte (C-USA),12,3-9,37,10,19,3,32,0.865
46,Minnesota (Big Ten),12,8-4,51,29,6,9,44,0.863
47,LSU (SEC),13,9-4,58,32,9,9,50,0.862
48,Washington (Pac-12),12,10-2,65,28,15,13,56,0.862
49,Akron (MAC),12,2-10,43,14,10,13,37,0.86
49,NC State (ACC),12,8-4,43,7,13,17,37,0.86
51,UCLA (Pac-12),12,9-3,64,27,17,11,55,0.859
52,Kansas (Big 12),12,6-6,56,23,18,7,48,0.857
52,New Mexico St. (FBS Independent),12,6-6,35,21,5,4,30,0.857
52,Tulane (AAC),13,11-2,63,25,18,11,54,0.857
52,Vanderbilt (SEC),12,5-7,35,10,14,6,30,0.857
56,Nebraska (Big Ten),12,4-8,34,15,7,7,29,0.853
56,Temple (AAC),12,3-9,34,8,11,10,29,0.853
58,South Fla. (AAC),12,1-11,47,18,14,8,40,0.851
59,UNLV (Mountain West),12,5-7,40,14,9,11,34,0.85
60,Oregon (Pac-12),12,9-3,66,27,19,10,56,0.848
61,Arizona St. (Pac-12),12,3-9,46,18,14,7,39,0.848
62,Southern California (Pac-12),13,11-2,72,26,28,7,61,0.847
63,Wisconsin (Big Ten),12,6-6,39,13,12,8,33,0.846
64,Louisville (ACC),12,7-5,45,16,6,16,38,0.844
64,Oklahoma (Big 12),12,6-6,45,21,10,7,38,0.844
66,South Carolina (SEC),12,8-4,51,24,12,7,43,0.843
67,James Madison (Sun Belt),11,8-3,56,22,15,10,47,0.839
68,East Carolina (AAC),12,7-5,49,19,11,11,41,0.837
68,South Alabama (Sun Belt),12,10-2,49,18,12,11,41,0.837
70,Florida St. (ACC),12,9-3,61,27,16,8,51,0.836
71,San Jose St. (Mountain West),11,7-4,48,16,12,12,40,0.833
72,Western Ky. (C-USA),13,8-5,53,13,21,10,44,0.83
73,Georgia St. (Sun Belt),12,4-8,41,21,8,5,34,0.829
