Rushing Def Rank,Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
1,Georgia (SEC),13,13-0,341,1001,2.94,5,77.0
2,James Madison (Sun Belt),11,8-3,354,874,2.47,8,79.5
3,Michigan (Big Ten),13,13-0,380,1108,2.92,7,85.2
4,South Alabama (Sun Belt),12,10-2,342,1053,3.08,8,87.8
5,Marshall (Sun Belt),12,8-4,381,1065,2.8,8,88.8
6,Navy (AAC),12,4-8,355,1067,3.01,7,88.9
7,Pittsburgh (ACC),12,8-4,356,1146,3.22,11,95.5
8,Illinois (Big Ten),12,8-4,373,1181,3.17,6,98.4
9,Air Force (Mountain West),12,9-3,340,1197,3.52,10,99.8
10,Clemson (ACC),13,11-2,404,1314,3.25,11,101.1
11,NC State (ACC),12,8-4,349,1233,3.53,13,102.8
12,Wisconsin (Big Ten),12,6-6,417,1238,2.97,14,103.2
13,Iowa (Big Ten),12,7-5,433,1249,2.88,4,104.1
14,Penn St. (Big Ten),12,10-2,393,1261,3.21,13,105.1
15,Minnesota (Big Ten),12,8-4,342,1270,3.71,8,105.8
16,Utah (Pac-12),13,10-3,363,1391,3.83,15,107.0
17,Iowa St. (Big 12),12,4-8,403,1288,3.2,8,107.3
18,East Carolina (AAC),12,7-5,387,1337,3.45,12,111.4
19,Tennessee (SEC),12,10-2,414,1341,3.24,14,111.8
20,Oregon St. (Pac-12),12,9-3,342,1368,4.0,17,114.0
21,Texas St. (Sun Belt),12,4-8,403,1394,3.46,18,116.2
22,Troy (Sun Belt),13,11-2,460,1531,3.33,15,117.8
23,Ohio St. (Big Ten),12,11-1,421,1439,3.42,10,119.9
24,Boise St. (Mountain West),13,9-4,460,1571,3.42,14,120.8
25,Duke (ACC),12,8-4,390,1453,3.73,8,121.1
26,Memphis (AAC),12,6-6,414,1461,3.53,17,121.8
27,Middle Tenn. (C-USA),12,7-5,420,1463,3.48,14,121.9
28,San Jose St. (Mountain West),11,7-4,412,1349,3.27,12,122.6
29,Texas (Big 12),12,8-4,441,1476,3.35,13,123.0
30,UCLA (Pac-12),12,9-3,398,1490,3.74,16,124.2
31,Alabama (SEC),12,10-2,428,1504,3.51,13,125.3
32,Oregon (Pac-12),12,9-3,354,1506,4.25,17,125.5
33,Washington (Pac-12),12,10-2,430,1524,3.54,13,127.0
34,Missouri (SEC),12,6-6,412,1526,3.7,18,127.2
