Rushing Off Rank,Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
1,Air Force (Mountain West),12,9-3,735,3971,5.4,34,330.9
2,Army West Point (FBS Independent),12,6-6,648,3473,5.36,38,289.4
3,Ole Miss (SEC),12,8-4,571,3139,5.5,31,261.6
4,UCLA (Pac-12),12,9-3,486,2956,6.08,34,246.3
5,UAB (C-USA),12,6-6,490,2925,5.97,30,243.8
6,Michigan (Big Ten),13,13-0,560,3159,5.64,38,243.0
7,Navy (AAC),12,4-8,708,2894,4.09,22,241.2
8,UCF (AAC),13,9-4,579,3069,5.3,33,236.1
9,Arkansas (SEC),12,6-6,553,2681,4.85,22,223.4
10,Utah (Pac-12),13,10-3,517,2863,5.54,37,220.2
11,Minnesota (Big Ten),12,8-4,548,2618,4.78,32,218.2
12,Florida St. (ACC),12,9-3,475,2614,5.5,31,217.8
13,Oklahoma (Big 12),12,6-6,521,2599,4.99,25,216.6
14,Oregon (Pac-12),12,9-3,476,2595,5.45,32,216.2
15,Florida (SEC),12,6-6,439,2564,5.84,29,213.7
16,Georgia St. (Sun Belt),12,4-8,577,2562,4.44,26,213.5
17,Kansas St. (Big 12),13,10-3,530,2725,5.14,30,209.6
18,Georgia (SEC),13,13-0,487,2691,5.53,37,207.0
19,Auburn (SEC),12,5-7,488,2470,5.06,25,205.8
20,Tennessee (SEC),12,10-2,485,2469,5.09,39,205.8
21,Marshall (Sun Belt),12,8-4,552,2467,4.47,19,205.6
22,App State (Sun Belt),12,6-6,474,2453,5.18,27,204.4
23,Kent St. (MAC),12,5-7,517,2425,4.69,23,202.1
24,North Texas (C-USA),13,7-6,496,2622,5.29,22,201.7
25,TCU (Big 12),13,12-1,497,2600,5.23,33,200.0
26,Texas (Big 12),12,8-4,452,2395,5.3,28,199.6
27,Oregon St. (Pac-12),12,9-3,485,2390,4.93,33,199.2
28,Ohio St. (Big Ten),12,11-1,434,2382,5.49,29,198.5
29,South Fla. (AAC),12,1-11,441,2375,5.39,25,197.9
30,Alabama (SEC),12,10-2,425,2367,5.57,25,197.2
31,Tulane (AAC),13,11-2,523,2562,4.9,30,197.1
32,UConn (FBS Independent),12,6-6,487,2339,4.8,18,194.9
33,Kansas (Big 12),12,6-6,412,2336,5.67,27,194.7
34,Baylor (Big 12),12,6-6,509,2329,4.58,34,194.1
35,Louisville (ACC),12,7-5,469,2321,4.95,23,193.4
36,NIU (MAC),12,3-9,478,2285,4.78,19,190.4
37,Wyoming (Mountain West),12,7-5,446,2253,5.05,14,187.8
38,Boise St. (Mountain West),13,9-4,501,2431,4.85,24,187.0
39,James Madison (Sun Belt),11,8-3,479,2054,4.29,24,186.7
40,Duke (ACC),12,8-4,444,2217,4.99,28,184.8
41,Fla. Atlantic (C-USA),12,5-7,491,2212,4.51,19,184.3
42,Notre Dame (FBS Independent),12,8-4,486,2193,4.51,22,182.8
43,Penn St. (Big Ten),12,10-2,458,2185,4.77,25,182.1
44,Pittsburgh (ACC),12,8-4,475,2175,4.58,28,181.2
45,LSU (SEC),13,9-4,486,2354,4.84,35,181.1
46,Clemson (ACC),13,11-2,501,2327,4.64,30,179.0
47,Liberty (FBS Independent),12,8-4,473,2143,4.53,23,178.6
48,Illinois (Big Ten),12,8-4,515,2140,4.16,17,178.3
49,Toledo (MAC),13,8-5,526,2314,4.4,22,178.0
50,UTSA (C-USA),13,11-2,511,2307,4.51,28,177.5
51,Southern California (Pac-12),13,11-2,441,2264,5.13,29,174.2
52,BYU (FBS Independent),12,7-5,396,2087,5.27,17,173.9
53,Wisconsin (Big Ten),12,6-6,454,2079,4.58,19,173.2
54,West Virginia (Big 12),12,5-7,445,2058,4.62,24,171.5
55,East Carolina (AAC),12,7-5,390,2046,5.25,23,170.5
56,UTEP (C-USA),12,5-7,464,2006,4.32,14,167.2
57,South Alabama (Sun Belt),12,10-2,480,1994,4.15,19,166.2
