Sack Rank,Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
1,Oregon (Pac-12),12,9-3,4,18,0.33
2,Georgia (SEC),13,13-0,7,55,0.54
3,Ga. Southern (Sun Belt),12,6-6,7,52,0.58
3,Washington (Pac-12),12,10-2,7,54,0.58
5,Ohio St. (Big Ten),12,11-1,8,46,0.67
6,Utah (Pac-12),13,10-3,9,68,0.69
7,Kansas (Big 12),12,6-6,9,52,0.75
8,Temple (AAC),12,3-9,10,58,0.83
9,North Texas (C-USA),13,7-6,11,71,0.85
10,Air Force (Mountain West),12,9-3,12,26,1.0
10,Army West Point (FBS Independent),12,6-6,12,85,1.0
10,BYU (FBS Independent),12,7-5,12,60,1.0
10,Florida (SEC),12,6-6,12,72,1.0
10,Michigan (Big Ten),13,13-0,13,107,1.0
10,NIU (MAC),12,3-9,12,81,1.0
10,Navy (AAC),12,4-8,12,60,1.0
10,Oregon St. (Pac-12),12,9-3,12,80,1.0
18,Boise St. (Mountain West),13,9-4,14,111,1.08
18,Western Ky. (C-USA),13,8-5,14,92,1.08
20,Minnesota (Big Ten),12,8-4,13,87,1.08
21,Ball St. (MAC),12,5-7,14,121,1.17
21,Fla. Atlantic (C-USA),12,5-7,14,88,1.17
21,Ole Miss (SEC),12,8-4,14,95,1.17
21,South Fla. (AAC),12,1-11,14,92,1.17
25,New Mexico St. (FBS Independent),12,6-6,15,112,1.25
25,Vanderbilt (SEC),12,5-7,15,87,1.25
25,Wyoming (Mountain West),12,7-5,15,115,1.25
28,East Carolina (AAC),12,7-5,16,97,1.33
28,UCLA (Pac-12),12,9-3,16,109,1.33
30,Duke (ACC),12,8-4,17,107,1.42
30,Texas (Big 12),12,8-4,17,136,1.42
30,UConn (FBS Independent),12,6-6,17,118,1.42
33,Kansas St. (Big 12),13,10-3,19,121,1.46
34,App State (Sun Belt),12,6-6,18,93,1.5
34,FIU (C-USA),12,4-8,18,114,1.5
34,Florida St. (ACC),12,9-3,18,136,1.5
34,Michigan St. (Big Ten),12,5-7,18,139,1.5
34,Penn St. (Big Ten),12,10-2,18,113,1.5
34,Pittsburgh (ACC),12,8-4,18,143,1.5
40,Hawaii (Mountain West),13,3-10,20,146,1.54
41,Notre Dame (FBS Independent),12,8-4,19,107,1.58
41,SMU (AAC),12,7-5,19,124,1.58
41,UAB (C-USA),12,6-6,19,122,1.58
44,Alabama (SEC),12,10-2,20,138,1.67
44,Baylor (Big 12),12,6-6,20,130,1.67
44,West Virginia (Big 12),12,5-7,20,144,1.67
47,Ohio (MAC),13,9-4,22,171,1.69
48,Houston (AAC),12,7-5,21,144,1.75
48,Illinois (Big Ten),12,8-4,21,141,1.75
48,Kent St. (MAC),12,5-7,21,130,1.75
48,Northwestern (Big Ten),12,1-11,21,130,1.75
52,TCU (Big 12),13,12-1,23,179,1.77
53,South Alabama (Sun Belt),12,10-2,22,134,1.83
54,Clemson (ACC),13,11-2,24,152,1.85
54,Purdue (Big Ten),13,8-5,24,169,1.85
54,Toledo (MAC),13,8-5,24,159,1.85
54,UTSA (C-USA),13,11-2,24,155,1.85
58,Arizona (Pac-12),12,5-7,23,219,1.92
58,Colorado (Pac-12),12,1-11,23,175,1.92
58,Louisiana (Sun Belt),12,6-6,23,118,1.92
58,Missouri (SEC),12,6-6,23,140,1.92
58,Tennessee (SEC),12,10-2,23,119,1.92
63,Tulane (AAC),13,11-2,25,129,1.92
64,James Madison (Sun Belt),11,8-3,22,141,2.0
64,UTEP (C-USA),12,5-7,24,203,2.0
66,Massachusetts (FBS Independent),12,1-11,25,169,2.08
66,Oklahoma (Big 12),12,6-6,25,123,2.08
66,San Diego St. (Mountain West),12,7-5,25,154,2.08
66,Texas A&M (SEC),12,5-7,25,151,2.08
66,Wisconsin (Big Ten),12,6-6,25,157,2.08
71,Coastal Carolina (Sun Belt),12,9-3,26,149,2.17
71,Iowa St. (Big 12),12,4-8,26,193,2.17
71,Louisville (ACC),12,7-5,26,166,2.17
71,Mississippi St. (SEC),12,8-4,26,243,2.17
71,NC State (ACC),12,8-4,26,148,2.17
71,Oklahoma St. (Big 12),12,7-5,26,151,2.17
71,Rutgers (Big Ten),12,4-8,26,175,2.17
71,Utah St. (Mountain West),12,6-6,26,133,2.17
79,Texas St. (Sun Belt),12,4-8,27,205,2.25
80,Southern California (Pac-12),13,11-2,30,247,2.31
80,UCF (AAC),13,9-4,30,162,2.31
82,Arizona St. (Pac-12),12,3-9,28,213,2.33
82,South Carolina (SEC),12,8-4,28,173,2.33
84,Eastern Mich. (MAC),12,8-4,29,218,2.42
85,Buffalo (MAC),12,6-6,30,181,2.5
85,Middle Tenn. (C-USA),12,7-5,30,200,2.5
85,Rice (C-USA),12,5-7,30,196,2.5
88,Arkansas (SEC),12,6-6,31,221,2.58
88,California (Pac-12),12,4-8,31,251,2.58
88,Central Mich. (MAC),12,4-8,31,215,2.58
88,Cincinnati (AAC),12,9-3,31,240,2.58
92,Auburn (SEC),12,5-7,32,196,2.67
92,Louisiana Tech (C-USA),12,3-9,32,210,2.67
92,Memphis (AAC),12,6-6,32,197,2.67
92,Southern Miss. (Sun Belt),12,6-6,32,201,2.67
96,Fresno St. (Mountain West),13,9-4,35,223,2.69
97,Nebraska (Big Ten),12,4-8,32,247,2.71
98,Charlotte (C-USA),12,3-9,34,236,2.83
98,Georgia St. (Sun Belt),12,4-8,34,174,2.83
98,Miami (OH) (MAC),12,6-6,34,213,2.83
98,Nevada (Mountain West),12,2-10,34,198,2.83
102,Marshall (Sun Belt),12,8-4,35,218,2.92
102,Old Dominion (Sun Belt),12,3-9,35,218,2.92
102,ULM (Sun Belt),12,4-8,35,222,2.92
105,North Carolina (ACC),13,9-4,38,183,2.92
106,Bowling Green (MAC),12,6-6,36,241,3.0
106,Miami (FL) (ACC),12,5-7,36,274,3.0
106,Virginia Tech (ACC),11,3-8,33,227,3.0
106,Wake Forest (ACC),12,7-5,36,213,3.0
110,Troy (Sun Belt),13,11-2,40,239,3.08
111,Iowa (Big Ten),12,7-5,37,271,3.08
111,UNLV (Mountain West),12,5-7,37,216,3.08
113,Arkansas St. (Sun Belt),12,3-9,38,274,3.17
113,Indiana (Big Ten),12,4-8,38,294,3.17
115,Georgia Tech (ACC),12,5-7,39,239,3.25
115,Liberty (FBS Independent),12,8-4,39,204,3.25
115,Maryland (Big Ten),12,7-5,39,246,3.25
115,Texas Tech (Big 12),12,7-5,39,251,3.25
119,Washington St. (Pac-12),12,7-5,40,270,3.33
120,Virginia (ACC),10,3-7,34,227,3.4
