Scoring Def Rank,Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
1,Illinois (Big Ten),12,8-4,14,12,0,0,17,0,147,12.2
2,Georgia (SEC),13,13-0,17,13,0,0,17,0,166,12.8
3,Air Force (Mountain West),12,9-3,18,15,0,0,12,0,159,13.2
4,Minnesota (Big Ten),12,8-4,16,16,0,0,16,0,160,13.3
5,Michigan (Big Ten),13,13-0,18,16,1,0,16,0,174,13.4
6,Iowa (Big Ten),12,7-5,18,17,0,0,16,0,173,14.4
7,Marshall (Sun Belt),12,8-4,23,18,1,0,12,0,194,16.2
8,Troy (Sun Belt),13,11-2,28,22,0,0,12,1,228,17.5
9,Alabama (SEC),12,10-2,25,20,2,0,14,0,216,18.0
9,Penn St. (Big Ten),12,10-2,25,22,1,0,14,0,216,18.0
11,Boise St. (Mountain West),13,9-4,29,28,0,0,13,0,241,18.5
12,Kentucky (SEC),12,7-5,26,20,2,0,15,2,229,19.1
13,Ohio St. (Big Ten),12,11-1,28,26,1,1,11,0,231,19.2
14,NC State (ACC),12,8-4,28,26,0,0,13,0,233,19.4
14,South Alabama (Sun Belt),12,10-2,27,24,1,0,15,0,233,19.4
16,Florida St. (ACC),12,9-3,28,26,0,0,14,0,236,19.7
17,Clemson (ACC),13,11-2,32,30,0,0,13,0,261,20.1
17,Kansas St. (Big 12),13,10-3,31,23,2,0,16,0,261,20.1
19,Louisville (ACC),12,7-5,29,29,0,0,13,0,242,20.2
19,San Diego St. (Mountain West),12,7-5,32,30,1,0,6,0,242,20.2
21,Iowa St. (Big 12),12,4-8,30,30,0,0,11,0,243,20.2
22,San Jose St. (Mountain West),11,7-4,28,24,1,0,9,1,223,20.3
23,Cincinnati (AAC),12,9-3,30,27,0,0,11,2,244,20.3
24,Utah (Pac-12),13,10-3,33,31,2,0,10,1,265,20.4
25,Fresno St. (Mountain West),13,9-4,30,25,2,0,19,0,266,20.5
25,Tulane (AAC),13,11-2,33,32,0,0,12,0,266,20.5
27,Wisconsin (Big Ten),12,6-6,31,30,0,0,10,0,246,20.5
28,Texas A&M (SEC),12,5-7,30,29,0,0,13,0,248,20.7
29,James Madison (Sun Belt),11,8-3,28,25,1,1,11,0,230,20.9
30,Texas (Big 12),12,8-4,30,28,1,0,14,1,254,21.2
31,Oregon St. (Pac-12),12,9-3,31,29,0,0,14,0,257,21.4
32,Notre Dame (FBS Independent),12,8-4,34,26,2,0,9,0,261,21.8
33,Washington St. (Pac-12),12,7-5,34,27,1,0,12,0,269,22.4
34,Army West Point (FBS Independent),12,6-6,34,33,0,0,11,0,270,22.5
34,Miami (OH) (MAC),12,6-6,32,30,0,0,16,0,270,22.5
36,Syracuse (ACC),12,7-5,34,28,1,0,12,1,272,22.7
37,Duke (ACC),12,8-4,34,32,1,0,12,0,274,22.8
37,Louisiana (Sun Belt),12,6-6,35,27,1,0,11,1,274,22.8
39,UCF (AAC),13,9-4,36,31,3,0,16,0,301,23.2
40,LSU (SEC),13,9-4,36,33,1,0,17,0,302,23.2
41,Pittsburgh (ACC),12,8-4,34,29,0,0,16,0,281,23.4
41,UAB (C-USA),12,6-6,37,33,1,0,8,0,281,23.4
41,Wyoming (Mountain West),12,7-5,34,34,0,0,13,2,281,23.4
44,Western Ky. (C-USA),13,8-5,36,33,1,0,18,0,305,23.5
45,Southern Miss. (Sun Belt),12,6-6,33,30,1,1,16,1,282,23.5
45,Tennessee (SEC),12,10-2,36,31,1,0,11,0,282,23.5
47,Virginia (ACC),10,3-7,26,25,1,0,19,0,240,24.0
48,Maryland (Big Ten),12,7-5,34,31,0,0,18,0,289,24.1
48,Western Mich. (MAC),12,5-7,34,34,0,0,17,0,289,24.1
50,Mississippi St. (SEC),12,8-4,35,30,1,0,16,0,290,24.2
50,Ole Miss (SEC),12,8-4,36,33,1,0,13,0,290,24.2
52,Navy (AAC),12,4-8,34,32,1,0,18,0,292,24.3
52,New Mexico St. (FBS Independent),12,6-6,35,34,0,0,16,0,292,24.3
54,Purdue (Big Ten),13,8-5,41,34,2,0,12,0,320,24.6
55,Virginia Tech (ACC),11,3-8,31,27,0,0,19,1,272,24.7
56,Liberty (FBS Independent),12,8-4,37,32,2,0,13,1,299,24.9
57,Missouri (SEC),12,6-6,37,36,0,0,14,0,300,25.0
57,TCU (Big 12),13,12-1,41,40,0,0,13,0,325,25.0
59,Toledo (MAC),13,8-5,42,36,4,0,12,0,332,25.5
60,New Mexico (Mountain West),12,2-10,38,37,1,0,15,0,312,26.0
61,UConn (FBS Independent),12,6-6,39,35,0,0,14,1,313,26.1
62,Texas St. (Sun Belt),12,4-8,39,36,1,0,14,1,316,26.3
62,Washington (Pac-12),12,10-2,40,33,4,0,11,1,316,26.3
64,UTSA (C-USA),13,11-2,42,41,2,0,16,0,345,26.5
65,Baylor (Big 12),12,6-6,40,36,0,1,13,1,319,26.6
65,Fla. Atlantic (C-USA),12,5-7,41,36,2,0,11,0,319,26.6
65,Old Dominion (Sun Belt),12,3-9,37,35,0,0,20,1,319,26.6
68,App State (Sun Belt),12,6-6,42,38,2,0,9,0,321,26.8
68,Miami (FL) (ACC),12,5-7,40,40,0,0,13,1,321,26.8
70,Ball St. (MAC),12,5-7,40,35,2,0,14,1,323,26.9
70,Colorado St. (Mountain West),12,3-9,41,41,0,0,12,0,323,26.9
72,East Carolina (AAC),12,7-5,40,38,2,0,14,0,324,27.0
72,UTEP (C-USA),12,5-7,41,37,1,0,13,0,324,27.0
74,Buffalo (MAC),12,6-6,42,37,1,0,11,1,326,27.2
75,Memphis (AAC),12,6-6,43,37,3,0,9,0,328,27.3
76,Michigan St. (Big Ten),12,5-7,41,38,2,0,13,1,329,27.4
76,Oregon (Pac-12),12,9-3,40,38,0,0,17,0,329,27.4
78,South Carolina (SEC),12,8-4,42,39,1,0,11,2,330,27.5
79,Nebraska (Big Ten),12,4-8,41,37,0,0,16,0,331,27.6
80,California (Pac-12),12,4-8,43,39,2,0,11,0,334,27.8
81,Southern California (Pac-12),13,11-2,48,40,4,0,9,0,363,27.9
82,Middle Tenn. (C-USA),12,7-5,44,41,0,0,10,1,337,28.1
83,Central Mich. (MAC),12,4-8,44,39,2,0,9,2,338,28.2
84,Northwestern (Big Ten),12,1-11,43,43,0,0,13,0,340,28.3
84,UCLA (Pac-12),12,9-3,42,36,5,0,14,0,340,28.3
86,Ohio (MAC),13,9-4,46,42,2,0,15,1,369,28.4
87,Georgia Tech (ACC),12,5-7,42,39,1,0,16,0,341,28.4
88,UNLV (Mountain West),12,5-7,41,38,1,0,18,1,342,28.5
89,Eastern Mich. (MAC),12,8-4,43,37,0,0,16,0,343,28.6
90,Arkansas (SEC),12,6-6,44,33,3,0,14,0,345,28.8
90,Florida (SEC),12,6-6,44,40,1,0,13,0,345,28.8
92,Kent St. (MAC),12,5-7,42,41,0,0,17,2,348,29.0
93,Temple (AAC),12,3-9,44,43,1,0,14,0,351,29.2
93,Wake Forest (ACC),12,7-5,43,32,4,0,17,1,351,29.2
95,Oklahoma St. (Big 12),12,7-5,44,38,4,0,14,0,352,29.3
96,Auburn (SEC),12,5-7,45,42,0,0,14,0,354,29.5
96,Texas Tech (Big 12),12,7-5,41,40,1,0,22,0,354,29.5
98,Oklahoma (Big 12),12,6-6,45,41,1,0,14,0,355,29.6
99,Rutgers (Big Ten),12,4-8,46,45,0,0,12,0,357,29.8
100,BYU (FBS Independent),12,7-5,45,38,1,0,16,1,360,30.0
101,Coastal Carolina (Sun Belt),12,9-3,44,43,0,0,18,0,361,30.1
102,Boston College (ACC),12,3-9,45,38,1,0,18,0,364,30.3
103,Utah St. (Mountain West),12,6-6,44,40,3,0,19,0,367,30.6
104,Nevada (Mountain West),12,2-10,45,43,1,0,18,1,371,30.9
105,North Carolina (ACC),13,9-4,53,48,2,0,11,0,403,31.0
106,Massachusetts (FBS Independent),12,1-11,48,46,0,0,13,0,373,31.1
107,Georgia St. (Sun Belt),12,4-8,49,44,3,0,10,0,374,31.2
108,Arizona St. (Pac-12),12,3-9,46,43,2,0,18,0,377,31.4
108,Arkansas St. (Sun Belt),12,3-9,50,42,3,0,9,1,377,31.4
110,North Texas (C-USA),13,7-6,51,50,0,0,17,1,409,31.5
111,Stanford (Pac-12),12,3-9,50,45,1,0,13,0,386,32.2
112,Ga. Southern (Sun Belt),12,6-6,47,44,1,0,20,0,388,32.3
113,NIU (MAC),12,3-9,50,49,0,0,14,1,393,32.8
114,West Virginia (Big 12),12,5-7,50,46,1,1,15,0,395,32.9
115,Tulsa (AAC),12,5-7,47,45,1,0,22,1,397,33.1
116,Bowling Green (MAC),12,6-6,51,47,5,0,12,0,399,33.2
117,Akron (MAC),12,2-10,51,48,0,0,16,0,402,33.5
117,Houston (AAC),12,7-5,51,43,1,0,17,0,402,33.5
119,Kansas (Big 12),12,6-6,51,46,2,0,16,1,406,33.8
119,Rice (C-USA),12,5-7,52,50,1,0,14,0,406,33.8
121,Indiana (Big Ten),12,4-8,53,50,0,0,13,0,407,33.9
122,ULM (Sun Belt),12,4-8,53,53,0,0,14,0,413,34.4
