Scoring Off Rank,Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
1,Tennessee (SEC),12,10-2,75,71,1,0,15,0,568,47.3
2,Ohio St. (Big Ten),12,11-1,70,69,0,0,15,0,534,44.5
3,Southern California (Pac-12),13,11-2,70,68,1,0,14,1,534,41.1
4,Alabama (SEC),12,10-2,61,58,1,0,21,0,489,40.8
4,Washington (Pac-12),12,10-2,62,56,3,0,17,2,489,40.8
6,TCU (Big 12),13,12-1,68,61,2,0,17,0,524,40.3
7,Michigan (Big Ten),13,13-0,63,61,2,0,26,0,521,40.1
8,Utah (Pac-12),13,10-3,70,66,2,0,10,0,520,40.0
9,Oregon (Pac-12),12,9-3,62,60,1,0,14,0,476,39.7
10,UCLA (Pac-12),12,9-3,61,58,2,0,15,1,475,39.6
11,Georgia (SEC),13,13-0,62,61,1,0,24,1,509,39.2
12,UTSA (C-USA),13,11-2,63,58,2,0,21,0,503,38.7
13,SMU (AAC),12,7-5,60,56,0,0,15,0,461,38.4
14,Houston (AAC),12,7-5,58,53,3,0,13,0,446,37.2
15,James Madison (Sun Belt),11,8-3,53,50,1,0,11,2,407,37.0
16,Wake Forest (ACC),12,7-5,58,56,1,0,12,0,442,36.8
17,Florida St. (ACC),12,9-3,58,54,1,0,10,0,434,36.2
18,Western Ky. (C-USA),13,8-5,60,59,1,0,15,0,466,35.8
19,Penn St. (Big Ten),12,10-2,56,53,0,0,13,1,430,35.8
20,Texas (Big 12),12,8-4,53,53,0,0,19,0,428,35.7
21,Tulane (AAC),13,11-2,60,59,0,0,13,0,458,35.2
22,Memphis (AAC),12,6-6,52,45,2,0,20,0,421,35.1
23,North Carolina (ACC),13,9-4,60,54,1,0,13,0,455,35.0
24,App State (Sun Belt),12,6-6,56,50,2,0,9,1,419,34.9
25,Clemson (ACC),13,11-2,56,51,3,0,18,2,451,34.7
26,UCF (AAC),13,9-4,57,51,4,0,14,2,447,34.4
27,Kansas (Big 12),12,6-6,56,53,0,0,7,0,410,34.2
27,Ole Miss (SEC),12,8-4,52,49,1,0,15,1,410,34.2
29,North Texas (C-USA),13,7-6,56,54,0,0,17,0,441,33.9
30,Ga. Southern (Sun Belt),12,6-6,51,48,1,0,16,0,404,33.7
31,Baylor (Big 12),12,6-6,54,49,2,0,8,1,403,33.6
31,Texas Tech (Big 12),12,7-5,50,45,2,0,18,0,403,33.6
33,Kansas St. (Big 12),13,10-3,54,52,0,0,18,1,432,33.2
34,Duke (ACC),12,8-4,51,49,0,0,14,0,397,33.1
35,Oklahoma (Big 12),12,6-6,51,50,1,1,11,1,395,32.9
36,Mississippi St. (SEC),12,8-4,53,44,0,0,10,0,392,32.7
37,Oregon St. (Pac-12),12,9-3,52,45,1,0,10,0,389,32.4
38,LSU (SEC),13,9-4,56,50,1,0,10,1,420,32.3
39,Toledo (MAC),13,8-5,54,54,0,0,13,0,417,32.1
40,Ohio (MAC),13,9-4,51,48,1,0,19,1,415,31.9
41,BYU (FBS Independent),12,7-5,51,46,1,0,9,1,383,31.9
41,South Alabama (Sun Belt),12,10-2,47,44,2,0,17,1,383,31.9
43,Florida (SEC),12,6-6,49,42,2,0,13,1,381,31.8
43,Oklahoma St. (Big 12),12,7-5,45,42,1,0,21,2,381,31.8
45,South Carolina (SEC),12,8-4,50,40,5,0,10,0,380,31.7
46,Cincinnati (AAC),12,9-3,45,44,1,0,19,0,373,31.1
47,Arizona (Pac-12),12,5-7,45,38,3,0,18,1,370,30.8
47,Pittsburgh (ACC),12,8-4,46,45,1,0,15,1,370,30.8
47,East Carolina (AAC),12,7-5,48,40,2,0,12,1,370,30.8
50,Fresno St. (Mountain West),13,9-4,49,47,1,0,18,1,399,30.7
51,Arkansas (SEC),12,6-6,47,44,1,0,12,2,368,30.7
51,Notre Dame (FBS Independent),12,8-4,47,43,1,0,13,1,368,30.7
53,Tulsa (AAC),12,5-7,45,44,0,0,17,1,367,30.6
53,West Virginia (Big 12),12,5-7,47,39,1,1,14,0,367,30.6
53,UAB (C-USA),12,6-6,47,44,1,0,13,0,367,30.6
56,Georgia St. (Sun Belt),12,4-8,47,41,2,0,11,0,360,30.0
57,Fla. Atlantic (C-USA),12,5-7,47,45,0,0,10,0,357,29.8
58,Maryland (Big Ten),12,7-5,43,38,2,1,16,0,350,29.2
58,Middle Tenn. (C-USA),12,7-5,45,44,0,0,12,0,350,29.2
60,Coastal Carolina (Sun Belt),12,9-3,47,43,0,0,8,0,349,29.1
61,Boise St. (Mountain West),13,9-4,45,45,0,0,21,0,378,29.1
62,Buffalo (MAC),12,6-6,41,39,0,0,21,0,348,29.0
62,Louisiana Tech (C-USA),12,3-9,42,38,2,0,18,0,348,29.0
64,Eastern Mich. (MAC),12,8-4,44,43,0,0,13,0,346,28.8
65,Army West Point (FBS Independent),12,6-6,46,43,0,0,8,0,343,28.6
66,Kent St. (MAC),12,5-7,42,36,1,0,17,0,341,28.4
67,Syracuse (ACC),12,7-5,41,38,1,0,18,0,340,28.3
68,Liberty (FBS Independent),12,8-4,43,40,2,0,11,2,339,28.2
68,Minnesota (Big Ten),12,8-4,42,42,0,0,15,0,339,28.2
70,Purdue (Big Ten),13,8-5,45,41,0,0,18,0,365,28.1
71,South Fla. (AAC),12,1-11,44,37,4,0,9,0,336,28.0
72,Washington St. (Pac-12),12,7-5,43,40,1,0,11,0,333,27.8
73,Air Force (Mountain West),12,9-3,41,41,0,0,15,0,332,27.7
74,San Jose St. (Mountain West),11,7-4,38,34,1,0,12,1,302,27.5
75,NIU (MAC),12,3-9,39,31,4,0,18,0,327,27.2
76,Louisville (ACC),12,7-5,39,35,0,0,19,0,326,27.2
77,Louisiana (Sun Belt),12,6-6,39,37,0,1,17,0,324,27.0
