Tackle for Loss Rank,Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
1,Liberty (FBS Independent),12,8-4,75,68,454,109,9.1
2,James Madison (Sun Belt),11,8-3,69,52,337,95,8.6
3,Southern Miss. (Sun Belt),12,6-6,73,56,375,101,8.4
4,Central Mich. (MAC),12,4-8,78,44,415,100,8.3
5,Oklahoma (Big 12),12,6-6,66,66,388,99,8.2
6,Clemson (ACC),13,11-2,81,44,403,103,7.9
7,Penn St. (Big Ten),12,10-2,79,32,388,95,7.9
8,Houston (AAC),12,7-5,65,48,325,89,7.4
8,Missouri (SEC),12,6-6,77,24,318,89,7.4
10,San Jose St. (Mountain West),11,7-4,67,28,314,81,7.4
11,Temple (AAC),12,3-9,74,28,341,88,7.3
12,Louisville (ACC),12,7-5,68,38,386,87,7.2
12,Tennessee (SEC),12,10-2,70,34,348,87,7.2
12,Texas (Big 12),12,8-4,64,46,312,87,7.2
15,Cincinnati (AAC),12,9-3,64,44,346,86,7.2
16,Coastal Carolina (Sun Belt),12,9-3,56,58,351,85,7.1
16,Oklahoma St. (Big 12),12,7-5,65,40,259,85,7.1
18,Toledo (MAC),13,8-5,69,44,355,91,7.0
18,Miami (FL) (ACC),12,5-7,62,44,289,84,7.0
20,Texas Tech (Big 12),12,7-5,65,36,321,83,6.9
21,Alabama (SEC),12,10-2,60,44,329,82,6.8
21,Boston College (ACC),12,3-9,61,42,293,82,6.8
21,Ohio St. (Big Ten),12,11-1,70,24,312,82,6.8
21,Pittsburgh (ACC),12,8-4,69,26,399,82,6.8
25,Bowling Green (MAC),12,6-6,62,38,331,81,6.8
25,Illinois (Big Ten),12,8-4,63,36,341,81,6.8
25,Marshall (Sun Belt),12,8-4,55,52,327,81,6.8
25,Middle Tenn. (C-USA),12,7-5,62,38,380,81,6.8
25,NC State (ACC),12,8-4,50,62,291,81,6.8
30,Virginia Tech (ACC),11,3-8,48,52,258,74,6.7
31,Utah St. (Mountain West),12,6-6,49,62,252,80,6.7
31,Western Mich. (MAC),12,5-7,62,36,323,80,6.7
33,Ohio (MAC),13,9-4,62,48,365,86,6.6
34,Buffalo (MAC),12,6-6,57,44,308,79,6.6
34,South Alabama (Sun Belt),12,10-2,59,40,336,79,6.6
34,Wisconsin (Big Ten),12,6-6,61,36,311,79,6.6
37,Navy (AAC),12,4-8,55,46,318,78,6.5
38,San Diego St. (Mountain West),12,7-5,52,50,323,77,6.4
38,Texas St. (Sun Belt),12,4-8,58,38,287,77,6.4
38,Wake Forest (ACC),12,7-5,53,48,350,77,6.4
41,Utah (Pac-12),13,10-3,62,42,391,83,6.4
42,Arkansas St. (Sun Belt),12,3-9,52,48,242,76,6.3
42,Michigan St. (Big Ten),12,5-7,56,40,320,76,6.3
42,Mississippi St. (SEC),12,8-4,48,56,268,76,6.3
42,Nevada (Mountain West),12,2-10,63,26,282,76,6.3
42,UTEP (C-USA),12,5-7,52,48,286,76,6.3
47,Georgia Tech (ACC),12,5-7,62,26,286,75,6.2
47,Iowa (Big Ten),12,7-5,50,50,330,75,6.2
47,Notre Dame (FBS Independent),12,8-4,50,50,334,75,6.2
50,Georgia St. (Sun Belt),12,4-8,46,56,286,74,6.2
50,Old Dominion (Sun Belt),12,3-9,47,54,301,74,6.2
50,Ole Miss (SEC),12,8-4,59,30,342,74,6.2
50,Syracuse (ACC),12,7-5,58,32,300,74,6.2
50,Washington St. (Pac-12),12,7-5,53,42,318,74,6.2
55,Florida St. (ACC),12,9-3,57,32,292,73,6.1
56,UTSA (C-USA),13,11-2,51,54,262,78,6.0
56,Arkansas (SEC),12,6-6,61,22,298,72,6.0
56,Massachusetts (FBS Independent),12,1-11,50,44,223,72,6.0
59,FIU (C-USA),12,4-8,56,30,252,71,5.9
59,New Mexico St. (FBS Independent),12,6-6,56,30,268,71,5.9
59,Texas A&M (SEC),12,5-7,57,28,241,71,5.9
62,Boise St. (Mountain West),13,9-4,58,36,324,76,5.8
62,Georgia (SEC),13,13-0,62,28,288,76,5.8
64,East Carolina (AAC),12,7-5,49,42,261,70,5.8
64,Kent St. (MAC),12,5-7,56,28,241,70,5.8
66,Southern California (Pac-12),13,11-2,61,28,351,75,5.8
66,Troy (Sun Belt),13,11-2,49,52,348,75,5.8
68,ULM (Sun Belt),12,4-8,56,24,257,68,5.7
68,West Virginia (Big 12),12,5-7,52,32,287,68,5.7
70,UCF (AAC),13,9-4,57,32,278,73,5.6
71,Florida (SEC),12,6-6,53,28,228,67,5.6
71,Stanford (Pac-12),12,3-9,52,30,266,67,5.6
71,Washington (Pac-12),12,10-2,54,26,305,67,5.6
71,Wyoming (Mountain West),12,7-5,53,28,285,67,5.6
75,Fresno St. (Mountain West),13,9-4,58,28,274,72,5.5
76,Colorado St. (Mountain West),12,3-9,49,34,249,66,5.5
77,TCU (Big 12),13,12-1,55,32,263,71,5.5
78,App State (Sun Belt),12,6-6,51,28,266,65,5.4
78,Ball St. (MAC),12,5-7,48,34,251,65,5.4
78,Rutgers (Big Ten),12,4-8,51,28,250,65,5.4
81,Michigan (Big Ten),13,13-0,57,26,345,70,5.4
82,Air Force (Mountain West),12,9-3,48,32,270,64,5.3
82,Iowa St. (Big 12),12,4-8,44,40,245,64,5.3
82,NIU (MAC),12,3-9,50,28,284,64,5.3
85,SMU (AAC),12,7-5,55,16,297,63,5.2
85,Vanderbilt (SEC),12,5-7,48,30,190,63,5.2
87,Indiana (Big Ten),12,4-8,44,37,265,62,5.2
88,Auburn (SEC),12,5-7,54,16,269,62,5.2
88,Charlotte (C-USA),12,3-9,46,32,196,62,5.2
88,Duke (ACC),12,8-4,46,32,325,62,5.2
88,Maryland (Big Ten),12,7-5,58,8,255,62,5.2
88,New Mexico (Mountain West),12,2-10,42,40,252,62,5.2
88,South Fla. (AAC),12,1-11,52,20,199,62,5.2
88,UNLV (Mountain West),12,5-7,56,12,248,62,5.2
95,Kansas St. (Big 12),13,10-3,58,18,288,67,5.2
96,Tulsa (AAC),12,5-7,39,44,205,61,5.1
