Time of Possession Rank,Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
1,Air Force (Mountain West),12,9-3,435:08,36:16
2,Minnesota (Big Ten),12,8-4,422:52,35:14
3,Navy (AAC),12,4-8,415:36,34:38
4,Michigan (Big Ten),13,13-0,440:46,33:54
5,UTEP (C-USA),12,5-7,405:30,33:47
6,Utah (Pac-12),13,10-3,436:07,33:33
7,Missouri (SEC),12,6-6,401:39,33:28
8,Georgia (SEC),13,13-0,432:44,33:17
9,James Madison (Sun Belt),11,8-3,366:05,33:17
10,Kentucky (SEC),12,7-5,396:54,33:05
11,Pittsburgh (ACC),12,8-4,394:57,32:55
12,Illinois (Big Ten),12,8-4,394:11,32:51
13,Rice (C-USA),12,5-7,393:50,32:49
14,Duke (ACC),12,8-4,392:45,32:44
15,Coastal Carolina (Sun Belt),12,9-3,392:12,32:41
16,Baylor (Big 12),12,6-6,389:37,32:28
17,Massachusetts (FBS Independent),12,1-11,389:07,32:26
18,South Alabama (Sun Belt),12,10-2,388:44,32:24
19,Iowa St. (Big 12),12,4-8,388:02,32:20
20,Buffalo (MAC),12,6-6,387:40,32:18
21,Ohio (MAC),13,9-4,419:31,32:16
22,Marshall (Sun Belt),12,8-4,386:15,32:11
23,Oregon St. (Pac-12),12,9-3,386:06,32:11
24,Purdue (Big Ten),13,8-5,416:55,32:04
25,Vanderbilt (SEC),12,5-7,384:40,32:03
26,NC State (ACC),12,8-4,383:30,31:57
27,UAB (C-USA),12,6-6,381:38,31:48
28,Oregon (Pac-12),12,9-3,379:49,31:39
29,Army West Point (FBS Independent),12,6-6,379:39,31:38
30,Notre Dame (FBS Independent),12,8-4,378:53,31:34
31,Kansas St. (Big 12),13,10-3,409:16,31:29
32,Southern California (Pac-12),13,11-2,407:26,31:20
33,West Virginia (Big 12),12,5-7,375:47,31:19
34,TCU (Big 12),13,12-1,406:21,31:15
35,Florida St. (ACC),12,9-3,374:04,31:10
36,Eastern Mich. (MAC),12,8-4,373:34,31:08
37,Penn St. (Big Ten),12,10-2,373:03,31:05
38,LSU (SEC),13,9-4,403:55,31:04
39,Washington (Pac-12),12,10-2,371:43,30:59
40,UCF (AAC),13,9-4,402:03,30:56
41,Fresno St. (Mountain West),13,9-4,401:29,30:53
42,San Diego St. (Mountain West),12,7-5,370:18,30:52
43,Clemson (ACC),13,11-2,400:44,30:50
44,East Carolina (AAC),12,7-5,369:44,30:49
45,NIU (MAC),12,3-9,368:55,30:45
46,Miami (FL) (ACC),12,5-7,368:30,30:42
47,Arizona St. (Pac-12),12,3-9,368:29,30:42
48,Miami (OH) (MAC),12,6-6,367:44,30:39
49,Ohio St. (Big Ten),12,11-1,367:06,30:36
50,App State (Sun Belt),12,6-6,367:04,30:35
51,Wisconsin (Big Ten),12,6-6,366:41,30:33
52,Boise St. (Mountain West),13,9-4,397:06,30:33
53,Maryland (Big Ten),12,7-5,366:26,30:32
54,Akron (MAC),12,2-10,365:50,30:29
55,Texas St. (Sun Belt),12,4-8,365:27,30:27
56,Western Mich. (MAC),12,5-7,365:23,30:27
57,UConn (FBS Independent),12,6-6,364:37,30:23
58,Tulane (AAC),13,11-2,394:53,30:23
59,Alabama (SEC),12,10-2,364:29,30:22
60,Troy (Sun Belt),13,11-2,393:45,30:17
61,Memphis (AAC),12,6-6,361:34,30:08
62,UTSA (C-USA),13,11-2,389:11,29:56
