Def Rank,Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
1,Air Force (Mountain West),12,9-3,608,3077,5.06,18,18,256.4
2,Illinois (Big Ten),12,8-4,743,3166,4.26,14,14,263.8
3,Michigan (Big Ten),13,13-0,809,3602,4.45,16,18,277.1
4,Iowa (Big Ten),12,7-5,814,3335,4.1,17,18,277.9
5,Minnesota (Big Ten),12,8-4,685,3354,4.9,16,16,279.5
6,Boise St. (Mountain West),13,9-4,786,3660,4.66,25,29,281.5
7,Iowa St. (Big 12),12,4-8,725,3427,4.73,28,30,285.6
8,James Madison (Sun Belt),11,8-3,672,3184,4.74,25,28,289.5
9,Georgia (SEC),13,13-0,795,3797,4.78,16,17,292.1
10,Marshall (Sun Belt),12,8-4,772,3513,4.55,20,23,292.8
11,South Alabama (Sun Belt),12,10-2,758,3633,4.79,25,27,302.8
12,Ohio St. (Big Ten),12,11-1,747,3647,4.88,26,28,303.9
13,Wisconsin (Big Ten),12,6-6,762,3665,4.81,30,31,305.4
14,Florida St. (ACC),12,9-3,779,3687,4.73,28,28,307.2
15,Alabama (SEC),12,10-2,827,3736,4.52,25,25,311.3
16,Penn St. (Big Ten),12,10-2,829,3814,4.6,23,25,317.8
17,Pittsburgh (ACC),12,8-4,772,3836,4.97,32,34,319.7
18,Kentucky (SEC),12,7-5,732,3842,5.25,25,26,320.2
19,Troy (Sun Belt),13,11-2,902,4229,4.69,28,28,325.3
19,Utah (Pac-12),13,10-3,754,4229,5.61,33,33,325.3
21,NC State (ACC),12,8-4,772,3908,5.06,27,28,325.7
22,Notre Dame (FBS Independent),12,8-4,760,3929,5.17,33,34,327.4
23,Cincinnati (AAC),12,9-3,872,3942,4.52,30,30,328.5
24,Clemson (ACC),13,11-2,864,4307,4.98,29,32,331.3
25,Toledo (MAC),13,8-5,911,4314,4.74,39,42,331.8
26,San Jose St. (Mountain West),11,7-4,733,3663,5.0,25,28,333.0
27,San Diego St. (Mountain West),12,7-5,779,4025,5.17,32,32,335.4
28,Missouri (SEC),12,6-6,769,4045,5.26,33,37,337.1
29,Syracuse (ACC),12,7-5,823,4057,4.93,32,34,338.1
30,Navy (AAC),12,4-8,703,4068,5.79,32,34,339.0
31,New Mexico St. (FBS Independent),12,6-6,825,4074,4.94,34,35,339.5
32,Oregon St. (Pac-12),12,9-3,779,4107,5.27,28,31,342.2
33,Tulane (AAC),13,11-2,925,4451,4.81,32,33,342.4
34,Liberty (FBS Independent),12,8-4,822,4144,5.04,34,37,345.3
35,Louisville (ACC),12,7-5,795,4165,5.24,29,29,347.1
36,App State (Sun Belt),12,6-6,784,4166,5.31,38,42,347.2
37,Rutgers (Big Ten),12,4-8,811,4197,5.18,38,46,349.8
38,Purdue (Big Ten),13,8-5,821,4548,5.54,39,41,349.8
39,Mississippi St. (SEC),12,8-4,808,4204,5.2,34,35,350.3
40,Fresno St. (Mountain West),13,9-4,864,4562,5.28,30,30,350.9
41,Western Mich. (MAC),12,5-7,778,4226,5.43,33,34,352.2
42,UTEP (C-USA),12,5-7,721,4230,5.87,36,41,352.5
43,Colorado St. (Mountain West),12,3-9,828,4260,5.14,39,41,355.0
44,Virginia (ACC),10,3-7,719,3576,4.97,22,26,357.6
45,Army West Point (FBS Independent),12,6-6,748,4308,5.76,34,34,359.0
46,New Mexico (Mountain West),12,2-10,780,4322,5.54,34,38,360.2
47,Texas St. (Sun Belt),12,4-8,822,4333,5.27,36,39,361.1
48,Louisiana (Sun Belt),12,6-6,823,4339,5.27,33,35,361.6
49,LSU (SEC),13,9-4,852,4701,5.52,34,37,361.6
50,Texas (Big 12),12,8-4,887,4344,4.9,29,30,362.0
51,Maryland (Big Ten),12,7-5,860,4346,5.05,33,34,362.2
52,Texas A&M (SEC),12,5-7,847,4380,5.17,28,31,365.0
53,Kansas St. (Big 12),13,10-3,893,4756,5.33,30,31,365.8
54,Eastern Mich. (MAC),12,8-4,801,4403,5.5,42,43,366.9
55,Southern Miss. (Sun Belt),12,6-6,826,4413,5.34,33,33,367.8
56,UAB (C-USA),12,6-6,815,4419,5.42,36,37,368.2
57,Washington (Pac-12),12,10-2,801,4425,5.52,38,40,368.8
