Turnover Rank,Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
1,Southern California (Pac-12),13,11-2,9,19,28,2,4,6,22,1.69
2,Duke (ACC),12,8-4,15,9,24,4,6,10,14,1.17
2,Illinois (Big Ten),12,8-4,8,22,30,11,5,16,14,1.17
4,San Jose St. (Mountain West),11,7-4,5,13,18,2,4,6,12,1.09
5,Kansas St. (Big 12),13,10-3,8,16,24,6,4,10,14,1.08
6,Ohio (MAC),13,9-4,13,11,24,7,5,12,12,0.92
7,Georgia Tech (ACC),12,5-7,13,11,24,4,9,13,11,0.92
8,East Carolina (AAC),12,7-5,6,11,17,2,5,7,10,0.83
8,Florida (SEC),12,6-6,15,9,24,5,9,14,10,0.83
8,Oregon (Pac-12),12,9-3,5,16,21,3,8,11,10,0.83
11,App State (Sun Belt),12,6-6,13,7,20,5,6,11,9,0.75
11,Buffalo (MAC),12,6-6,14,12,26,9,8,17,9,0.75
11,Penn St. (Big Ten),12,10-2,12,12,24,8,7,15,9,0.75
11,Tennessee (SEC),12,10-2,11,9,20,8,3,11,9,0.75
15,TCU (Big 12),13,12-1,5,14,19,6,4,10,9,0.69
15,Western Ky. (C-USA),13,8-5,13,17,30,10,11,21,9,0.69
17,Fla. Atlantic (C-USA),12,5-7,9,12,21,8,5,13,8,0.67
17,Louisville (ACC),12,7-5,13,15,28,10,10,20,8,0.67
17,Marshall (Sun Belt),12,8-4,10,15,25,8,9,17,8,0.67
17,Middle Tenn. (C-USA),12,7-5,8,17,25,7,10,17,8,0.67
21,Michigan (Big Ten),13,13-0,3,12,15,3,4,7,8,0.62
21,Utah (Pac-12),13,10-3,12,12,24,8,8,16,8,0.62
23,Louisiana (Sun Belt),12,6-6,8,15,23,7,9,16,7,0.58
23,Miami (OH) (MAC),12,6-6,9,10,19,7,5,12,7,0.58
23,Ohio St. (Big Ten),12,11-1,7,10,17,4,6,10,7,0.58
23,Oklahoma (Big 12),12,6-6,5,16,21,6,8,14,7,0.58
23,Syracuse (ACC),12,7-5,9,10,19,4,8,12,7,0.58
28,California (Pac-12),12,4-8,7,11,18,3,9,12,6,0.5
28,NC State (ACC),12,8-4,3,17,20,8,6,14,6,0.5
28,UNLV (Mountain West),12,5-7,6,15,21,8,7,15,6,0.5
31,Georgia St. (Sun Belt),12,4-8,12,13,25,13,7,20,5,0.42
31,Mississippi St. (SEC),12,8-4,8,14,22,10,7,17,5,0.42
31,South Alabama (Sun Belt),12,10-2,7,12,19,4,10,14,5,0.42
34,Tulane (AAC),13,11-2,9,11,20,10,5,15,5,0.38
34,UTSA (C-USA),13,11-2,7,13,20,8,7,15,5,0.38
36,James Madison (Sun Belt),11,8-3,13,11,24,10,10,20,4,0.36
37,Army West Point (FBS Independent),12,6-6,7,10,17,9,4,13,4,0.33
37,Cincinnati (AAC),12,9-3,8,9,17,5,8,13,4,0.33
37,Coastal Carolina (Sun Belt),12,9-3,12,9,21,11,6,17,4,0.33
37,Iowa (Big Ten),12,7-5,8,13,21,10,7,17,4,0.33
37,Kansas (Big 12),12,6-6,9,11,20,10,6,16,4,0.33
37,Memphis (AAC),12,6-6,6,13,19,7,8,15,4,0.33
37,Minnesota (Big Ten),12,8-4,4,13,17,4,9,13,4,0.33
37,NIU (MAC),12,3-9,12,8,20,2,14,16,4,0.33
37,New Mexico (Mountain West),12,2-10,9,9,18,5,9,14,4,0.33
37,Washington St. (Pac-12),12,7-5,9,12,21,9,8,17,4,0.33
37,Western Mich. (MAC),12,5-7,14,11,25,8,13,21,4,0.33
48,Air Force (Mountain West),12,9-3,7,9,16,11,2,13,3,0.25
48,Arkansas St. (Sun Belt),12,3-9,6,6,12,4,5,9,3,0.25
48,Navy (AAC),12,4-8,11,8,19,10,6,16,3,0.25
48,Texas St. (Sun Belt),12,4-8,9,11,20,7,10,17,3,0.25
48,UAB (C-USA),12,6-6,8,10,18,9,6,15,3,0.25
53,Fresno St. (Mountain West),13,9-4,6,11,17,5,9,14,3,0.23
53,Troy (Sun Belt),13,11-2,11,11,22,6,13,19,3,0.23
55,BYU (FBS Independent),12,7-5,4,7,11,3,6,9,2,0.17
55,Baylor (Big 12),12,6-6,6,13,19,6,11,17,2,0.17
55,Florida St. (ACC),12,9-3,7,8,15,7,6,13,2,0.17
55,Nevada (Mountain West),12,2-10,8,11,19,9,8,17,2,0.17
