year,team0,team1,winning_team
21,Oregon,Oklahoma,1
20,Colorado,Texas,1
19,Texas,Utah,0
18,Iowa State,Washington State,1
17,Stanford,Texas Christian,1
16,Oklahoma State,Colorado,0
15,Oregon,Texas Christian,1
14,Kansas State,UCLA,1
13,Oregon,Texas,0
21,Army,Missouri,0
20,Tulsa,Mississippi State,1
18,Houston,Army,1
17,Army,San Diego State,0
16,Navy,Louisiana Tech,1
14,Pittsburgh,Houston,1
13,Navy,Middle Tennessee State,0
21,Middle Tennessee State,Toledo,0
19,Buffalo,Charlotte,0
18,Florida International,Toledo,0
17,Ohio,Alabama-Birmingham,0
16,Old Dominion,Eastern Michigan,0
15,Western Michigan,Middle Tennessee State,0
14,Western Kentucky,Central Michigan,0
21,Florida,Central Florida,1
19,Marshall,Central Florida,1
18,South Florida,Marshall,1
17,Temple,Florida International,0
16,Miami,Mississippi State,1
15,Marshall,Connecticut,0
14,Central Florida,North Carolina State,1
13,East Carolina,Ohio,0
21,Auburn,Houston,1
19,Boston College,Cincinnati,1
18,Wake Forest,Memphis,0
17,South Florida,Texas Tech,0
16,South Carolina,South Florida,1
15,Memphis,Auburn,1
14,East Carolina,Florida,1
13,Vanderbilt,Houston,0
21,Western Kentucky,Appalachian State,0
20,Central Florida,Brigham Young,1
19,Southern Methodist,Florida Atlantic,1
18,Northern Illinois,Alabama-Birmingham,1
17,Akron,Florida Atlantic,1
16,Western Kentucky,Memphis,0
15,Toledo,Temple,0
14,Northern Illinois,Marshall,1
21,West Virginia,Minnesota,1
19,Washington State,Air Force,1
18,Texas Christian,California,0
17,Kansas State,UCLA,0
15,Arizona State,West Virginia,1
14,Washington,Oklahoma State,1
13,Kansas State,Michigan,0
21,Ball State,Georgia State,1
20,Buffalo,Marshall,0
19,Arkansas State,Florida International,0
18,Georgia Southern,Eastern Michigan,0
17,Arkansas State,Middle Tennessee State,1
16,Toledo,Appalachian State,1
15,Ohio,Appalachian State,1
14,Bowling Green State,South Alabama,0
21,Iowa,Kentucky,1
20,Northwestern,Auburn,0
19,Michigan,Alabama,1
18,Kentucky,Penn State,0
17,Notre Dame,Louisiana State,0
16,Louisiana State,Louisville,0
15,Florida,Michigan,1
14,Minnesota,Missouri,1
13,Wisconsin,South Carolina,1
21,Georgia,Alabama,0
20,Alabama,Ohio State,0
19,Louisiana State,Clemson,0
18,Alabama,Clemson,1
17,Alabama,Georgia,0
16,Alabama,Clemson,1
15,Clemson,Alabama,1
14,Oregon,Ohio State,1
21,Cincinnati,Alabama,1
20,Oklahoma,Florida,0
19,Memphis,Penn State,1
18,Clemson,Notre Dame,0
17,Ohio State,Southern California,0
16,Western Michigan,Wisconsin,1
15,Michigan State,Alabama,1
14,Baylor,Michigan State,1
13,Oklahoma State,Missouri,1
21,Northern Illinois,Coastal Carolina,1
20,Coastal Carolina,Liberty,1
19,Georgia Southern,Liberty,1
18,Louisiana,Tulane,1
17,Georgia State,Western Kentucky,0
16,Central Florida,Arkansas State,1
21,North Carolina,South Carolina,1
20,Wake Forest,Wisconsin,1
21,Wyoming,Kent State,0
20,Tulane,Nevada,1
19,Ohio,Nevada,0
18,Western Michigan,Brigham Young,1
17,Wyoming,Central Michigan,0
16,Idaho,Colorado State,0
15,Akron,Utah State,0
21,Notre Dame,Oklahoma State,1
20,Oregon,Iowa State,1
19,Clemson,Ohio State,0
18,Louisiana State,Central Florida,0
17,Washington,Penn State,1
16,Ohio State,Clemson,1
